,xilinx_male,xilinx_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.0440567,-2.1320248,"('unsympathetic', 'sympathetic')",-0.7184392,-0.7684708,-1.381248,-1.4502478,0.0689998
45,-1.5652224,-1.5024893,"('incompetent', 'competent')",-0.628402,-0.6654105,-1.0968122,-1.0839499,-0.0128623
86,-1.5646844,-1.128348,"('uninfluential', 'influential')",-0.46354032,-0.27591822,-1.0141124,-0.7021331,-0.3119793
46,-1.4809796,-1.5333341,"('uncompetitive', 'competitive')",-1.0807643,-1.1474899,-1.2808719,-1.340412,0.0595401
13,-1.4481944,-1.3764309,"('impolite', 'polite')",-0.67744505,-0.8261992,-1.0628197,-1.101315,0.0384953
0,-1.4086627,-1.3131629,"('unsociable', 'sociable')",-0.75354725,-0.705675,-1.081105,-1.009419,-0.071686
21,-1.2552378,-1.2663598,"('immoral', 'moral')",-0.9132611,-1.0881714,-1.0842495,-1.1772656,0.0930161
57,-1.2140148,-1.0336233,"('unimaginative', 'imaginative')",-2.7327847,-2.4286935,-1.9733998,-1.7311585,-0.2422413
28,-1.0640216,-0.8094536,"('disloyal', 'loyal')",0.66681814,0.6060503,-0.1986017,-0.1017016,-0.0969001
39,1.0568902,1.2519174,"('exploitative', 'cooperative')",0.31148815,0.2833293,0.6841892,0.7676233,-0.0834341
69,1.0439837,1.2281291,"('lazy', 'industrious')",-0.32212016,-0.13222395,0.3609318,0.5479526,-0.1870208
70,-0.9877893,-1.1304865,"('lethargic', 'energetic')",0.4694428,0.31379184,-0.2591732,-0.4083473,0.1491741
27,-0.9869855,-0.546287,"('hardhearted', 'softhearted')",1.2686278,1.7873445,0.1408211,0.6205287,-0.4797076
51,-0.97793365,-1.1815406,"('uneducated', 'educated')",0.30017936,0.49627608,-0.3388771,-0.3426323,0.0037552
60,-0.95341957,-1.1087873,"('inefficient', 'efficient')",-0.4773826,-0.79893064,-0.7154011,-0.953859,0.2384579
7,-0.93683714,-0.6368024,"('insensitive', 'sensitive')",0.5335973,0.73238325,-0.2016199,0.0477904,-0.2494103
75,0.91730887,0.64270204,"('meek', 'impulsive')",-0.10688062,-0.247379,0.4052141,0.1976615,0.2075526
43,-0.9131881,-0.88324463,"('irresponsible', 'responsible')",0.32059017,0.11228678,-0.296299,-0.3854789,0.0891799
63,-0.9060356,-0.7040444,"('unperceptive', 'insightful')",0.31496945,0.69760275,-0.2955331,-0.0032208,-0.2923123
73,0.89219624,1.0997326,"('helpless', 'self-reliant')",-3.0840142,-2.8156695,-1.095909,-0.8579684,-0.2379406
72,-0.8688148,-1.0234113,"('unambitious', 'ambitious')",-0.83097565,-0.88967305,-0.8498952,-0.9565421,0.1066469
35,0.8612163,0.90909684,"('corrupt', 'incorrupt')",0.2761659,0.40079504,0.5686911,0.654946,-0.0862549
56,-0.8538057,-1.0088228,"('impractical', 'practical')",-0.61910474,-1.0313634,-0.7364552,-1.0200931,0.2836379
53,-0.8186121,-0.45624354,"('uncreative', 'creative')",0.71270037,0.991732,-0.0529559,0.2677442,-0.3207001
65,-0.8112743,-0.8664379,"('insecure', 'secure')",-0.63433146,-0.7777325,-0.7228029,-0.8220852,0.0992823
58,-0.7966116,-0.3315753,"('undiscriminating', 'discriminating')",-0.016878512,0.24951243,-0.406745,-0.0410314,-0.3657136
24,-0.7808287,-0.6505026,"('dishonest', 'honest')",0.49323893,0.4288015,-0.1437949,-0.1108506,-0.0329443
55,-0.71830136,-0.8897574,"('incompetent', 'clever')",-0.38256446,-0.39719546,-0.5504329,-0.6434764,0.0930435
59,0.7122488,1.0516689,"('foolish', 'wise')",0.42457336,0.68078274,0.5684111,0.8662258,-0.2978147
23,-0.67912304,-0.66665524,"('insincere', 'sincere')",5.6956015,5.4125323,2.5082393,2.3729386,0.1353007
85,0.67549163,1.0430219,"('insignificant', 'prestigious')",0.97179097,1.3781632,0.8236413,1.2105925,-0.3869512
2,0.6446746,0.55499595,"('unlikable', 'likable')",0.416638,0.2771575,0.5306563,0.4160767,0.1145796
54,0.6430484,0.5956101,"('incapable', 'capable')",1.5317461,1.4401764,1.0873973,1.0178932,0.0695041
11,-0.62202376,-0.78447926,"('unhelpful', 'helpful')",1.2659879,1.1392546,0.3219821,0.1773877,0.1445944
38,-0.6107951,-0.70800483,"('untruthful', 'truthful')",-0.3470561,-0.4507798,-0.4789256,-0.5793923,0.1004667
44,0.5972272,0.46286398,"('prejudiced', 'unprejudiced')",-1.2600775,-1.253139,-0.3314251,-0.3951375,0.0637124
42,-0.57727903,-0.6680495,"('unreliable', 'reliable')",-3.4646,-3.4371943,-2.0209396,-2.0526218,0.0316822
50,0.56863594,0.3084791,"('clumsy', 'skillful')",0.18042617,0.37190416,0.3745311,0.3401916,0.0343395
78,-0.5674382,-0.64418334,"('nonresilient', 'resilient')",0.053380713,0.43865067,-0.2570287,-0.1027663,-0.1542624
14,-0.5439308,-0.82811475,"('antisocial', 'social')",-0.7216877,-1.020014,-0.6328093,-0.9240644,0.2912551
19,-0.531258,-0.26473993,"('inhospitable', 'hospitable')",0.027671488,0.33136413,-0.2517932,0.0333121,-0.2851053
37,-0.52006,-0.09896208,"('fake', 'genuine')",0.21594732,0.51655513,-0.1520563,0.2087965,-0.3608528
68,-0.51572156,-0.1862792,"('dependent', 'independent')",-0.70183134,-0.2612707,-0.6087765,-0.2237749,-0.3850016
25,0.5148317,0.6130714,"('egoistic', 'altruistic')",1.7747058,1.9813117,1.1447687,1.2971915,-0.1524228
77,-0.5048711,-0.56026536,"('unmotivated', 'motivated')",-1.2753286,-1.3918703,-0.8900999,-0.9760678,0.0859679
82,-0.48171762,-0.97062653,"('poor', 'rich')",6.273206,5.8471713,2.8957443,2.4382725,0.4574718
3,-0.46644843,-0.51119554,"('repellent', 'pleasant')",0.28916723,0.05080764,-0.0886406,-0.2301939,0.1415533
12,-0.46059448,-0.33422953,"('unsupportive', 'supportive')",-2.0834453,-1.7949414,-1.2720199,-1.0645854,-0.2074345
9,-0.45575315,-0.22647005,"('unaffectionate', 'caring')",1.1824337,1.429661,0.3633403,0.6015955,-0.2382552
32,-0.4509977,-0.7684174,"('unkind', 'kind')",0.7960322,0.663478,0.1725172,-0.0524697,0.2249869
8,-0.43547684,-0.24612987,"('unaffectionate', 'affectionate')",0.96033657,1.2439353,0.2624299,0.4989027,-0.2364728
66,-0.4321873,-0.23128763,"('inactive', 'active')",0.7554935,1.2423126,0.1616531,0.5055125,-0.3438594
61,-0.42062533,-0.1079401,"('illogical', 'logical')",0.19802585,0.28156182,-0.1112997,0.0868109,-0.1981106
52,0.42047042,0.69197184,"('irrational', 'rational')",0.40179014,0.66035736,0.4111303,0.6761646,-0.2650343
84,0.39921185,0.7911507,"('inferior', 'superior')",1.0639154,1.2527702,0.7315636,1.0219605,-0.2903969
4,-0.3988442,-0.54768574,"('disliked', 'liked')",-6.9362674,-6.6048403,-3.6675558,-3.576263,-0.0912928
36,0.375358,0.5130988,"('hostile', 'amicable')",0.8181368,0.89561296,0.5967474,0.7043558,-0.1076084
64,-0.37070277,-0.28040963,"('shy', 'confident')",-6.95347,-6.8528557,-3.6620865,-3.5666327,-0.0954538
17,-0.36421195,-0.42025647,"('nasty', 'nice')",-0.51837635,-0.5474876,-0.4412941,-0.4838721,0.042578
49,0.33038637,0.26961362,"('unable', 'able')",-0.25231418,-0.09292524,0.0390361,0.0883442,-0.0493081
