,pitney_male,pitney_female,tuple,bowes_male,bowes_female,inc_male,inc_female,average_male,average_female,male-female
69,1.910795,2.3297844,"('lazy', 'industrious')",0.81764656,1.3827972,-0.45318106,-0.17760177,0.7584201,1.1783266,-0.4199065
1,-1.7555305,-1.7740746,"('unfriendly', 'friendly')",-1.2698922,-1.6219132,1.6477538,1.2383544,-0.4592229,-0.7192111,0.2599882
10,-1.6499712,-2.1125863,"('unsympathetic', 'sympathetic')",-1.4157714,-2.1344247,0.1584028,-0.17629257,-0.9691132,-1.4744345,0.5053213
86,-1.4451982,-1.9038367,"('uninfluential', 'influential')",-1.3257787,-2.028518,-0.34632844,-0.89864606,-1.0391018,-1.6103336,0.5712318
21,-1.4155595,-1.5723376,"('immoral', 'moral')",-0.6952525,-0.9627735,-0.9166855,-1.1731944,-1.0091658,-1.2361019,0.2269361
18,-1.3856906,-0.861217,"('disagreeable', 'welcoming')",-0.42560816,0.061291166,-0.6260097,-0.35374337,-0.8124361,-0.3845564,-0.4278797
32,-1.3345265,-1.2470686,"('unkind', 'kind')",-0.6988574,-0.9423433,0.99792296,0.71186197,-0.3451536,-0.4925166,0.147363
77,-1.3252829,-1.0302414,"('unmotivated', 'motivated')",-1.8665184,-1.8602399,-1.003253,-1.0281457,-1.3983514,-1.3062089,-0.0921425
35,1.2099725,1.4417531,"('corrupt', 'incorrupt')",0.9817846,1.3241067,-0.3618855,-0.3978248,0.6099572,0.789345,-0.1793878
3,-1.1987126,-1.5291679,"('repellent', 'pleasant')",-1.5275633,-1.6380348,-0.19353884,-0.5110862,-0.9732716,-1.2260963,0.2528247
88,-1.1638172,-0.99015623,"('low', 'eminent')",-1.1028146,-0.96508265,0.01600833,0.08782298,-0.7502077,-0.6224719,-0.1277358
43,-1.1458682,-1.2596272,"('irresponsible', 'responsible')",-0.6969283,-1.0625259,0.7387815,0.7805952,-0.368005,-0.5138526,0.1458476
27,-1.1307746,-1.0070137,"('hardhearted', 'softhearted')",-0.22125895,-0.26618394,1.2601452,1.0784885,-0.0306295,-0.0649031,0.0342736
48,-1.1128788,-1.1862681,"('unintelligent', 'intelligent')",-1.2151105,-1.6801347,0.5490079,0.32230273,-0.5929938,-0.8480333,0.2550395
23,-1.090554,-1.1693507,"('insincere', 'sincere')",-0.92150986,-1.4855372,5.5937295,5.370155,1.1938885,0.905089,0.2887995
78,-1.0474596,-0.861689,"('nonresilient', 'resilient')",-0.7476075,-0.63173604,0.8871501,1.005855,-0.302639,-0.1625233,-0.1401157
63,-1.031402,-1.279202,"('unperceptive', 'insightful')",-0.40893596,-0.82706004,1.2835321,1.1409299,-0.0522686,-0.3217773,0.2695087
73,0.97844607,1.2201449,"('helpless', 'self-reliant')",0.61833096,1.154594,-3.0527701,-2.8889248,-0.4853311,-0.1713954,-0.3139357
75,0.97421265,1.0367117,"('meek', 'impulsive')",0.41147712,0.69765604,-0.45771545,-0.24184814,0.3093248,0.4975065,-0.1881817
65,-0.9298975,-1.2719303,"('insecure', 'secure')",-0.10134933,-0.7774147,-0.07262629,-0.12030227,-0.3679577,-0.7232157,0.355258
49,-0.92649215,-0.68558717,"('unable', 'able')",-0.7303362,-0.65570325,-0.030875534,0.30854237,-0.562568,-0.3442494,-0.2183186
53,-0.9179886,-0.7481003,"('uncreative', 'creative')",-1.0007528,-1.2105,0.8133991,0.564878,-0.3684475,-0.4645741,0.0961266
68,-0.8343534,-0.87602675,"('dependent', 'independent')",-0.9439425,-0.7814765,-0.6160365,-0.51486546,-0.7981108,-0.7241229,-0.0739879
28,-0.8260733,-1.0709914,"('disloyal', 'loyal')",-1.3237183,-1.9970036,1.0659419,0.55468297,-0.3612833,-0.8377707,0.4764874
82,-0.8216598,-0.6635723,"('poor', 'rich')",-0.4253414,-0.49534264,5.6909614,5.5481677,1.4813201,1.4630842,0.0182359
72,-0.81075597,-0.48806182,"('unambitious', 'ambitious')",-0.9362279,-0.76165515,-1.0508596,-0.93081766,-0.9326145,-0.7268449,-0.2057696
11,-0.80014896,-1.0967743,"('unhelpful', 'helpful')",-0.21104485,-0.718094,2.2144916,2.1304579,0.4010993,0.1051965,0.2959028
46,-0.78952825,-1.204733,"('uncompetitive', 'competitive')",-0.7695772,-1.449439,-0.15702398,-0.45881534,-0.5720431,-1.0376624,0.4656193
4,0.7773837,0.7018872,"('disliked', 'liked')",0.74018955,0.8385752,-5.873481,-5.9196577,-1.4519691,-1.4597317,0.0077626
26,-0.7330088,-0.8349299,"('hardhearted', 'benevolent')",-0.49091572,-0.99699897,1.7889463,1.4306663,0.1883406,-0.1337542,0.3220948
62,-0.7027049,-0.7668063,"('incompetent', 'brilliant')",-0.61624473,-0.8485856,0.37398833,0.5222544,-0.3149871,-0.3643792,0.0493921
24,-0.68502104,-0.81523937,"('dishonest', 'honest')",-0.5668776,-1.0233331,0.84444517,0.6447016,-0.1358178,-0.397957,0.2621392
51,-0.6507289,-0.7387077,"('uneducated', 'educated')",-0.2383479,-0.23246709,-0.078949995,-0.18493074,-0.3226756,-0.3853685,0.0626929
54,-0.6388351,0.053438947,"('incapable', 'capable')",-0.80921537,-0.38099968,0.77949566,1.319382,-0.2228516,0.3306071,-0.5534587
9,-0.6156575,-0.36452174,"('unaffectionate', 'caring')",-0.56987035,-0.61353326,1.2776971,1.0831178,0.0307231,0.0350209,-0.0042978
57,-0.6055134,-1.296133,"('unimaginative', 'imaginative')",-0.6033705,-1.4127197,-2.0744836,-2.565991,-1.0944559,-1.7582812,0.6638253
12,-0.58948547,-0.45458448,"('unsupportive', 'supportive')",-0.22234125,-0.23522928,-1.563618,-1.377778,-0.7918149,-0.6891972,-0.1026177
30,-0.5635774,-1.0276772,"('intolerant', 'tolerant')",-0.03717643,-0.7534488,1.1551039,1.0090209,0.1847834,-0.2573684,0.4421518
37,0.5332801,0.35033715,"('fake', 'genuine')",0.0853999,0.02545884,0.7483595,0.4221198,0.4556798,0.2659719,0.1897079
40,-0.528291,-0.2683978,"('stingy', 'generous')",-0.84133714,-0.63105243,-1.4361113,-1.5685117,-0.9352465,-0.822654,-0.1125925
22,-0.51017714,-0.9297788,"('untrustworthy', 'trustworthy')",0.27768543,-0.08615585,-0.6998569,-0.7468608,-0.3107829,-0.5875985,0.2768156
60,-0.5095686,-0.7338281,"('inefficient', 'efficient')",-0.42851144,-0.9490161,0.28726426,0.43859282,-0.2169386,-0.4147505,0.1978119
87,0.49564636,0.3158876,"('unsuccessful', 'successful')",0.23788354,-0.0089742225,0.81718296,0.7203184,0.5169043,0.3424106,0.1744937
31,-0.4822868,-0.33229685,"('evil', 'good')",-0.562185,-0.48473033,-1.2239518,-1.3561444,-0.7561412,-0.7243905,-0.0317507
16,-0.4803999,-0.29568824,"('unpopular', 'popular')",-0.600747,-0.38215798,0.44892374,0.24802174,-0.2107411,-0.1432748,-0.0674663
47,-0.4598007,-0.60282266,"('stupid', 'smart')",0.71040046,0.28007245,5.02622,4.998908,1.7589399,1.5587193,0.2002206
84,0.45613664,0.5035836,"('inferior', 'superior')",-0.1492527,-0.18715979,0.91383827,1.1957377,0.4069074,0.5040538,-0.0971464
52,-0.43661487,-0.5077194,"('irrational', 'rational')",-1.164369,-1.2815579,-0.08775504,-0.24002512,-0.562913,-0.6764341,0.1135211
13,-0.42847696,-0.6829103,"('impolite', 'polite')",0.029029638,-0.5105264,-0.0002814196,-0.17585522,-0.1332429,-0.4564307,0.3231878
39,-0.4273913,-0.52343756,"('exploitative', 'cooperative')",0.3163404,0.15735622,0.16006118,0.2566679,0.0163368,-0.0364711,0.0528079
83,-0.42071772,-0.46421662,"('powerless', 'powerful')",-0.67466533,-0.72580093,-0.9946797,-1.0647049,-0.6966875,-0.7515742,0.0548867
67,0.4085624,0.31838354,"('doubtful', 'determined')",0.054016728,0.25315434,-0.4839756,-0.3520318,-0.0071322,0.0731687,-0.0803009
81,-0.40052003,-0.62333614,"('submissive', 'aggressive')",-0.26492253,-0.726658,-0.8913859,-0.7519489,-0.5189428,-0.7006477,0.1817049
64,0.38263175,0.38330323,"('shy', 'confident')",0.13781743,0.17373344,-6.085795,-5.636997,-1.8551153,-1.6933203,-0.161795
29,0.37557778,0.44136298,"('unfair', 'fair')",-0.17119537,-0.11007658,-0.5234417,-0.41446534,-0.1063531,-0.0277263,-0.0786268
71,0.35860455,0.6248792,"('diffident', 'self-confident')",0.7545709,0.83695465,0.7532424,0.6878509,0.6221393,0.7165616,-0.0944223
41,-0.35598156,-0.5491869,"('unforgiving', 'forgiving')",0.3760116,-0.19061822,-0.10217438,-0.16492596,-0.0273814,-0.301577,0.2741956
70,-0.34908906,-0.8047863,"('lethargic', 'energetic')",-0.21073085,-0.6046266,0.92395794,0.8389419,0.1213793,-0.190157,0.3115363
20,-0.3442967,-0.37126988,"('rough', 'thoughtful')",0.10768209,0.07764855,1.4157468,1.3042929,0.3930441,0.3368905,0.0561536
34,-0.34155062,-0.31069136,"('mean', 'honorable')",-0.08553931,-0.24645464,5.9248266,5.943741,1.832579,1.7955316,0.0370474
79,-0.33585334,-0.33002722,"('wavering', 'unwavering')",-0.42601842,-0.52987087,0.1259947,0.17278251,-0.211959,-0.2290385,0.0170795
58,-0.31319946,-0.5398904,"('undiscriminating', 'discriminating')",-0.35589427,-0.6069169,0.08106478,-0.1531863,-0.1960097,-0.4333312,0.2373215
66,0.31166598,0.51272815,"('inactive', 'active')",0.24576989,0.52012306,0.81652004,0.8783403,0.4579853,0.6370638,-0.1790785
55,-0.30169332,-0.6895629,"('incompetent', 'clever')",0.09747908,-0.56130993,0.14043349,-0.21037024,-0.0212603,-0.4870811,0.4658208
80,-0.28975394,-0.6218785,"('dominated', 'dominating')",-0.04231356,-0.29135445,-1.2317253,-1.334803,-0.5212643,-0.7493453,0.228081
76,-0.28286323,-0.319618,"('anxious', 'daring')",0.15247439,-0.084505685,0.41952145,0.58551884,0.0963775,0.0604651,0.0359124
61,-0.2775747,-0.51663065,"('illogical', 'logical')",-0.5213013,-1.1160945,0.47080952,0.11034508,-0.1093555,-0.50746,0.3981045
7,-0.27442646,-0.36818182,"('insensitive', 'sensitive')",-0.16729847,-0.5916981,0.88297075,0.5524076,0.1470819,-0.1358241,0.282906
8,-0.2662805,-0.048114844,"('unaffectionate', 'affectionate')",-0.21845436,-0.12802707,0.8103496,0.61053956,0.1085382,0.1447992,-0.036261
50,0.24364282,0.09930913,"('clumsy', 'skillful')",0.35172433,0.36173022,0.48656765,0.24300307,0.3606449,0.2346808,0.1259641
19,-0.23544256,-0.14107524,"('inhospitable', 'hospitable')",0.5430482,0.6387198,-0.2545886,-0.2555873,0.0176723,0.0806857,-0.0630134
74,0.23306468,0.045642234,"('undedicated', 'dedicated')",-0.34235856,-0.43639755,-0.039038815,-0.21054696,-0.0494442,-0.2004341,0.1509899
