,expedia_male,expedia_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
53,-2.002889,-1.7870173,"('uncreative', 'creative')",-0.017958146,-0.17344013,0.91168463,1.1335886,-0.3697208,-0.275623,-0.0940978
8,-1.965882,-1.5476139,"('unaffectionate', 'affectionate')",-0.7649035,-0.5290536,0.4780633,0.98443824,-0.7509073,-0.3640765,-0.3868308
1,-1.9132328,-1.2967719,"('unfriendly', 'friendly')",-0.6460111,-0.34475258,1.7801504,2.1777692,-0.2596978,0.1787483,-0.4384461
86,-1.8954587,-2.0326624,"('uninfluential', 'influential')",0.26905772,0.042136207,-0.4302126,-0.36041954,-0.6855378,-0.7836486,0.0981108
78,-1.615758,-1.4884301,"('nonresilient', 'resilient')",0.84485835,0.6417834,-0.03624684,0.0013697762,-0.2690488,-0.281759,0.0127102
9,-1.6047435,-1.215608,"('unaffectionate', 'caring')",-0.4068026,-0.11082591,1.1433395,1.603958,-0.2894022,0.092508,-0.3819102
69,1.5522147,1.5246704,"('lazy', 'industrious')",0.2019519,0.3691485,-0.35798866,-0.05875098,0.4653927,0.6116893,-0.1462966
67,1.4502237,1.4419084,"('doubtful', 'determined')",0.5850965,0.6537179,-0.44457293,-0.6501965,0.5302491,0.4818099,0.0484392
10,-1.4339648,-1.7720718,"('unsympathetic', 'sympathetic')",0.49080038,0.2571699,-0.39621016,-0.4412433,-0.4464582,-0.6520484,0.2055902
73,1.3931116,1.6839701,"('helpless', 'self-reliant')",-0.34411314,-0.01088124,-3.4229798,-2.9935443,-0.7913272,-0.4401518,-0.3511754
44,1.3829,1.2252442,"('prejudiced', 'unprejudiced')",-0.09534942,-0.12324722,-1.3356432,-1.4144614,-0.0160309,-0.1041548,0.0881239
46,-1.3198692,-1.6285367,"('uncompetitive', 'competitive')",1.7504674,1.2990532,-0.8612285,-1.0968541,-0.1435434,-0.4754459,0.3319025
55,-1.172565,-1.3302009,"('incompetent', 'clever')",1.7277026,1.3070483,-0.20964588,-0.16055912,0.1151639,-0.0612372,0.1764011
57,-1.1301795,-1.5187743,"('unimaginative', 'imaginative')",0.33768225,-0.39253733,-2.5102625,-2.6292012,-1.1009199,-1.5135043,0.4125844
40,-1.0797365,-0.6364551,"('stingy', 'generous')",-0.25722852,0.2354387,-2.2761211,-1.5330858,-1.2043621,-0.6447008,-0.5596613
28,-1.0507494,-0.9888712,"('disloyal', 'loyal')",-0.10402709,-0.23857231,0.554951,0.63741744,-0.1999419,-0.1966754,-0.0032665
19,-1.036368,-0.8360337,"('inhospitable', 'hospitable')",-1.8613333,-1.6118876,-0.09191051,0.17428705,-0.9965373,-0.7578781,-0.2386592
39,0.9815209,1.1899916,"('exploitative', 'cooperative')",1.5825332,1.8252746,-0.14766335,0.03087382,0.8054636,1.01538,-0.2099164
56,0.959858,0.49589977,"('impractical', 'practical')",1.6930308,0.9250665,0.2906337,-0.27944505,0.9811742,0.3805071,0.6006671
88,0.92674685,-0.13896763,"('low', 'eminent')",0.012854099,-1.1956943,0.9920214,0.2199691,0.6438741,-0.3715643,1.0154384
37,-0.9245187,-0.8568638,"('fake', 'genuine')",-0.47207355,-0.02616731,0.06538529,0.40391862,-0.4437356,-0.1597042,-0.2840314
24,-0.89244586,-0.73555243,"('dishonest', 'honest')",-0.4971954,-0.13047826,0.5820547,0.6536648,-0.2691955,-0.0707886,-0.1984069
64,0.88423824,0.90917057,"('shy', 'confident')",1.1575894,1.4007471,-6.921266,-6.5817156,-1.6264795,-1.4239327,-0.2025468
82,-0.8786643,-1.5353028,"('poor', 'rich')",0.39620888,-0.1706412,6.5535316,5.8831296,2.0236921,1.3923952,0.6312969
87,0.87318254,0.28282383,"('unsuccessful', 'successful')",1.5133585,0.8272722,0.9163863,0.6840403,1.1009758,0.5980454,0.5029304
31,-0.8686159,-0.2738784,"('evil', 'good')",-1.7365658,-1.0877038,-0.9111573,-0.5821422,-1.172113,-0.6479081,-0.5242049
42,0.85845834,0.4759947,"('unreliable', 'reliable')",1.3939279,1.2046072,-2.8661518,-2.974868,-0.2045885,-0.431422,0.2268335
48,-0.85063714,-0.7298816,"('unintelligent', 'intelligent')",0.09595378,0.15648647,0.54069316,0.79127365,-0.0713301,0.0726262,-0.1439563
75,0.84580034,0.7290062,"('meek', 'impulsive')",-1.3098037,-1.4009503,-0.3848786,-0.42048234,-0.2829607,-0.3641422,0.0811815
