,abbott_male,abbott_female,tuple,laboratories_male,laboratories_female,average_male,average_female,male-female
85,2.4478707,2.1635668,"('insignificant', 'prestigious')",1.8036891,1.5996819,2.1257799,1.8816243,0.2441556
26,2.2832372,2.0265057,"('hardhearted', 'benevolent')",2.15978,1.9093659,2.2215085,1.9679358,0.2535727
71,2.126141,2.096734,"('diffident', 'self-confident')",0.8092397,0.809321,1.4676903,1.4530275,0.0146628
13,-2.050287,-1.7070459,"('impolite', 'polite')",-1.1824162,-0.81539536,-1.6163516,-1.2612207,-0.3551309
65,-1.9729301,-1.890919,"('insecure', 'secure')",-1.0219257,-0.73130155,-1.4974279,-1.3111103,-0.1863176
81,-1.6199493,-1.5357435,"('submissive', 'aggressive')",-1.2730927,-1.0804365,-1.446521,-1.30809,-0.138431
76,-1.573236,-1.5158936,"('anxious', 'daring')",-0.91909873,-0.75312537,-1.2461674,-1.1345094,-0.111658
70,-1.5571264,-1.3638376,"('lethargic', 'energetic')",-0.47621226,-0.26259553,-1.0166693,-0.8132166,-0.2034527
9,1.555059,1.5573361,"('unaffectionate', 'caring')",1.7768859,1.7561994,1.6659725,1.6567677,0.0092048
57,-1.5450801,-1.76294,"('unimaginative', 'imaginative')",-2.4105263,-2.5924597,-1.9778032,-2.1776998,0.1998966
6,1.5279607,1.320013,"('distant', 'open')",0.42383888,0.12064941,0.9758998,0.7203313,0.2555685
69,1.489863,1.5809745,"('lazy', 'industrious')",0.1302144,0.053225707,0.8100387,0.8171001,-0.0070614
80,-1.4897009,-1.6538601,"('dominated', 'dominating')",-0.86184406,-0.90720713,-1.1757724,-1.2805336,0.1047612
64,-1.4557155,-1.2508425,"('shy', 'confident')",-6.427136,-6.263503,-3.9414258,-3.7571728,-0.184253
33,1.4384189,1.4479637,"('wrong', 'right')",0.5216464,0.5196483,0.9800326,0.983806,-0.0037734
25,1.3605157,1.3360515,"('egoistic', 'altruistic')",1.9054345,1.9378382,1.6329751,1.6369448,-0.0039697
3,-1.3439366,-0.98712,"('repellent', 'pleasant')",-0.21941507,-0.052062396,-0.7816758,-0.5195912,-0.2620846
5,1.3379462,1.171684,"('distant', 'outgoing')",0.0270885,-0.19938985,0.6825173,0.4861471,0.1963702
1,1.2196782,1.0005019,"('unfriendly', 'friendly')",2.3257895,2.0953083,1.7727338,1.5479051,0.2248287
42,-1.2097899,-1.1392856,"('unreliable', 'reliable')",-3.423412,-3.2581356,-2.316601,-2.1987104,-0.1178906
22,-1.2047008,-1.0569293,"('untrustworthy', 'trustworthy')",-1.1706367,-1.1538714,-1.1876688,-1.1054003,-0.0822685
62,-1.1806769,-0.8750362,"('incompetent', 'brilliant')",0.3164608,0.6144333,-0.4321081,-0.1303014,-0.3018067
46,-1.1388011,-1.2336063,"('uncompetitive', 'competitive')",-0.62251407,-0.47859013,-0.8806576,-0.8560982,-0.0245594
36,1.129863,0.83211166,"('hostile', 'amicable')",-0.03864588,-0.30906215,0.5456086,0.2615247,0.2840839
8,1.0839925,0.998132,"('unaffectionate', 'affectionate')",1.3344595,1.1748704,1.209226,1.0865011,0.1227249
41,1.0549669,0.9670471,"('unforgiving', 'forgiving')",1.1260293,0.94853026,1.0904981,0.9577887,0.1327094
55,-1.0299968,-1.0922074,"('incompetent', 'clever')",0.5670234,0.6019725,-0.2314867,-0.2451175,0.0136308
21,-1.0240595,-1.0583448,"('immoral', 'moral')",-1.1024193,-0.9557616,-1.0632393,-1.0070533,-0.056186
30,-1.0237138,-0.7206849,"('intolerant', 'tolerant')",-0.35654563,-0.19221056,-0.6901298,-0.4564477,-0.2336821
45,-0.97763205,-1.0633408,"('incompetent', 'competent')",0.06011621,-0.026928838,-0.4587579,-0.5451348,0.0863769
78,0.96570385,0.73431945,"('nonresilient', 'resilient')",1.3328373,1.2716734,1.1492705,1.0029964,0.1462741
60,-0.9532875,-0.78121215,"('inefficient', 'efficient')",-0.583133,-0.18058081,-0.7682102,-0.4808965,-0.2873137
38,0.9145319,0.9714063,"('untruthful', 'truthful')",0.52352464,0.6742739,0.7190282,0.8228401,-0.1038119
10,-0.9028808,-0.97224855,"('unsympathetic', 'sympathetic')",-0.3986277,-0.3196753,-0.6507542,-0.6459619,-0.0047923
17,-0.8664603,-0.98658913,"('nasty', 'nice')",-0.41542006,-0.6512577,-0.6409402,-0.8189234,0.1779832
59,0.86608064,0.9605509,"('foolish', 'wise')",0.33405778,0.3509575,0.6000692,0.6557542,-0.055685
32,0.8651469,0.9388093,"('unkind', 'kind')",0.98316085,1.1041098,0.9241539,1.0214596,-0.0973057
