,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.1307514,-2.1333232,"('uninfluential', 'influential')",-0.6316626,-0.77742803,0.280151,0.2201994,-0.33814582,-0.2505979,-0.7051022,-0.7352875,0.0301853
1,-2.0953712,-1.9475831,"('unfriendly', 'friendly')",-0.0898581,0.23701519,-0.15995415,-0.10339272,1.9013613,1.9244039,-0.1109555,0.0276108,-0.1385663
19,-2.0427544,-2.0111244,"('inhospitable', 'hospitable')",-0.5227922,-0.42369118,-0.74817395,-0.67056245,-0.22987273,-0.21276005,-0.8858983,-0.8295345,-0.0563638
8,-1.815175,-1.6734295,"('unaffectionate', 'affectionate')",-0.15733422,0.19541623,-0.27630228,-0.22441557,0.31180674,0.4495456,-0.4842512,-0.3132208,-0.1710304
9,-1.813919,-1.7247885,"('unaffectionate', 'caring')",0.3912966,0.5652761,0.15129378,0.121547714,1.0325302,1.0342263,-0.0596996,-0.0009346,-0.058765
10,-1.7826582,-1.7992915,"('unsympathetic', 'sympathetic')",-0.5370497,-0.86122924,-0.77350533,-0.80131054,-0.23054834,-0.03681558,-0.8309404,-0.8746617,0.0437213
6,-1.6443322,-1.6753949,"('distant', 'open')",-1.7309246,-1.460826,-1.4246026,-1.4646993,-0.11659375,-0.25574678,-1.2291133,-1.2141668,-0.0149465
53,-1.6068002,-1.5450808,"('uncreative', 'creative')",-0.46627364,-0.35770315,0.36604032,0.49037898,1.261282,1.0940286,-0.1114379,-0.0795941,-0.0318438
5,-1.5401571,-1.5304995,"('distant', 'outgoing')",-1.1661897,-0.8420795,-1.0340225,-1.0133228,-0.52119195,-0.61652935,-1.0653903,-1.0006078,-0.0647825
79,-1.3558725,-1.3301382,"('wavering', 'unwavering')",-0.694299,-0.6967948,-1.623183,-1.57817,-0.125001,-0.2869337,-0.9495888,-0.9730092,0.0234204
69,1.3388242,1.4401677,"('lazy', 'industrious')",0.89946383,1.0752032,0.92055684,0.97507334,-0.5666698,-0.69730973,0.6480438,0.6982836,-0.0502398
82,-1.29591,-1.3130299,"('poor', 'rich')",-1.1242106,-1.0297003,0.25434405,0.28726336,5.7486234,5.743239,0.8957117,0.9219431,-0.0262314
12,-1.2259141,-1.2450203,"('unsupportive', 'supportive')",0.6877091,0.601351,0.14620098,0.094633,-1.6231,-1.61113,-0.503776,-0.5400416,0.0362656
54,-1.2204574,-1.1497772,"('incapable', 'capable')",0.025473066,0.13862413,-0.051606,0.005053661,0.792064,0.90785193,-0.1136316,-0.0245619,-0.0890697
28,-1.2104334,-1.1503363,"('disloyal', 'loyal')",-0.14150348,-0.35692593,0.45399058,0.46488363,1.0136963,0.9973145,0.0289375,-0.011266,0.0402035
63,-1.1503572,-1.1485573,"('unperceptive', 'insightful')",-0.83104634,-1.1108454,0.36986706,0.26875904,1.0050532,0.99670446,-0.1516208,-0.2484848,0.096864
57,-1.1237086,-1.2488339,"('unimaginative', 'imaginative')",-1.7569033,-1.8702248,-0.347935,-0.42144534,-2.1859603,-2.2477891,-1.3536267,-1.4470732,0.0934465
67,1.0845087,1.1149571,"('doubtful', 'determined')",0.9957454,0.9080984,-0.8905113,-0.7903236,-0.7710131,-0.5927603,0.1046824,0.1599929,-0.0553105
78,-1.0616536,-1.058873,"('nonresilient', 'resilient')",-1.1106989,-1.1466366,0.9931875,0.81390214,0.6203067,0.40532225,-0.1397146,-0.2465713,0.1068567
3,-1.0515158,-1.0612708,"('repellent', 'pleasant')",-1.204174,-1.4437398,-0.5688066,-0.46506804,0.18127969,0.2969421,-0.6608042,-0.6682842,0.00748
44,1.0338339,0.9774733,"('prejudiced', 'unprejudiced')",-0.3145908,-0.41324088,0.07742726,0.052996468,-1.3013622,-1.3524615,-0.126173,-0.1838081,0.0576351
