,johnson_male,johnson_female,tuple,&_male,&_female,average_male,average_female,male-female
81,-1.8886555,-1.646146,"('submissive', 'aggressive')",0.39621264,0.349203,-0.7462214,-0.6484715,-0.0977499
71,1.8368852,1.7946663,"('diffident', 'self-confident')",0.57182825,0.710065,1.2043567,1.2523656,-0.0480089
69,1.830513,1.7808217,"('lazy', 'industrious')",1.1202112,0.84417,1.4753621,1.3124958,0.1628663
21,-1.766918,-1.1732814,"('immoral', 'moral')",0.24610199,0.54740316,-0.760408,-0.3129391,-0.4474689
82,-1.7553427,-1.8829987,"('poor', 'rich')",-0.12042043,-0.45362794,-0.9378816,-1.1683133,0.2304317
59,1.6828605,1.8270527,"('foolish', 'wise')",0.9109035,0.9204862,1.296882,1.3737695,-0.0768875
85,1.6390951,1.529757,"('insignificant', 'prestigious')",1.1963493,0.86777973,1.4177222,1.1987684,0.2189538
10,-1.5811956,-1.2054731,"('unsympathetic', 'sympathetic')",-0.22289231,-0.08763419,-0.9020439,-0.6465536,-0.2554903
6,1.3762217,1.3060143,"('distant', 'open')",0.2490116,0.22601399,0.8126166,0.7660142,0.0466024
57,-1.3336475,-1.206326,"('unimaginative', 'imaginative')",-0.7394492,-0.5935066,-1.0365484,-0.8999163,-0.1366321
49,-1.3263578,-1.0144801,"('unable', 'able')",-0.2989104,-0.17468776,-0.8126341,-0.5945839,-0.2180502
33,1.3162556,1.091326,"('wrong', 'right')",0.69469553,0.6043074,1.0054755,0.8478167,0.1576588
60,-1.3146191,-0.71110415,"('inefficient', 'efficient')",0.12344363,0.48545605,-0.5955877,-0.1128241,-0.4827636
35,1.3014281,1.12961,"('corrupt', 'incorrupt')",-0.0048921034,-0.10450919,0.648268,0.5125504,0.1357176
14,-1.2922726,-0.8950326,"('antisocial', 'social')",0.7743108,1.0722862,-0.2589809,0.0886268,-0.3476077
20,-1.2845173,-1.3547853,"('rough', 'thoughtful')",-0.29327092,-0.2067298,-0.7888941,-0.7807575,-0.0081366
62,-1.2590132,-0.8676762,"('incompetent', 'brilliant')",-0.47719833,-0.21022834,-0.8681058,-0.5389523,-0.3291535
43,-1.2161353,-0.6942839,"('irresponsible', 'responsible')",-0.5669896,-0.109376945,-0.8915625,-0.4018304,-0.4897321
22,-1.2128026,-0.6095852,"('untrustworthy', 'trustworthy')",-0.48284906,-0.2130473,-0.8478259,-0.4113163,-0.4365096
64,-1.202194,-0.5965666,"('shy', 'confident')",-0.29213372,0.031719357,-0.7471638,-0.2824236,-0.4647402
13,-1.1884001,-0.9138972,"('impolite', 'polite')",-0.5865606,-0.2767121,-0.8874804,-0.5953047,-0.2921757
45,-1.1632807,-0.80872756,"('incompetent', 'competent')",0.4270629,0.5760304,-0.3681089,-0.1163486,-0.2517603
84,1.100021,1.446825,"('inferior', 'superior')",0.6292326,0.91836333,0.8646268,1.1825942,-0.3179674
36,1.0792216,0.653331,"('hostile', 'amicable')",0.63846904,0.2114191,0.8588454,0.432375,0.4264704
70,-1.0661908,-0.8437523,"('lethargic', 'energetic')",-0.15084144,0.0025866032,-0.6085162,-0.4205829,-0.1879333
68,-1.0389078,-1.0151505,"('dependent', 'independent')",-1.2969016,-1.2416337,-1.1679046,-1.1283921,-0.0395125
67,0.9936939,1.1200057,"('doubtful', 'determined')",0.16584256,0.18118124,0.5797682,0.6505935,-0.0708253
73,0.98029286,0.9381613,"('helpless', 'self-reliant')",0.06936604,-0.14576273,0.5248294,0.3961993,0.1286301
18,-0.9410699,-1.0156763,"('disagreeable', 'welcoming')",0.45708728,0.38535765,-0.2419913,-0.3151593,0.073168
76,-0.9238577,-0.7671263,"('anxious', 'daring')",0.294691,0.6397179,-0.3145834,-0.0637042,-0.2508792
55,-0.9139499,-0.5818115,"('incompetent', 'clever')",0.24744631,0.51310146,-0.3332518,-0.034355,-0.2988968
86,-0.8985658,-0.7395311,"('uninfluential', 'influential')",0.7197242,0.61171645,-0.0894208,-0.0639073,-0.0255135
19,0.8900159,0.37982002,"('inhospitable', 'hospitable')",-0.54038113,-0.66435367,0.1748174,-0.1422668,0.3170842
