,bank_male,bank_female,tuple,of_male,of_female,new_male,new_female,york_male,york_female,mellon_male,mellon_female,corp_male,corp_female,average_male,average_female,male-female
2,2.0285957,1.9944557,"('unlikable', 'likable')",1.0773997,1.1927139,0.9166316,1.0577936,2.1179924,2.4856179,1.9692866,2.2147589,0.6798861,0.7316207,1.4649653,1.6128268,-0.1478615
71,1.9668648,1.987474,"('diffident', 'self-confident')",0.17473194,-0.110623494,0.5441289,0.44433704,0.90294063,0.7837805,2.0517957,2.0660918,0.22293693,0.15222557,0.9772332,0.8872142,0.090019
34,1.6960139,1.7676333,"('mean', 'honorable')",0.64982677,0.73159075,-0.8499235,-0.65452296,0.25919697,0.50205135,0.7461659,0.89010274,5.3058157,5.7084513,1.3011826,1.4908845,-0.1897019
83,1.6394194,1.6476251,"('powerless', 'powerful')",0.7099411,0.8333654,-0.28975475,-0.33794102,0.075784095,-0.09892453,0.804348,0.6565905,-0.83797336,-0.88236994,0.3502941,0.3030576,0.0472365
68,-1.4341263,-1.452722,"('dependent', 'independent')",0.3737401,0.28759485,-0.89318895,-0.8140457,-0.78067726,-0.6873679,-1.9582497,-1.9921985,-1.4722266,-1.5918967,-1.0274548,-1.0417726,0.0143178
56,1.385366,1.5358467,"('impractical', 'practical')",-0.37752554,-0.071329236,-1.3580408,-1.2336333,-0.8325565,-0.81446165,-1.7101138,-1.6484702,-0.65634745,-0.8241458,-0.5915364,-0.5093656,-0.0821708
9,1.3625937,1.4077115,"('unaffectionate', 'caring')",-1.0956258,-1.204197,-0.34537208,-0.6375625,0.15530518,-0.05996072,3.5909588,3.3808203,1.4241111,1.4916779,0.8486618,0.7297482,0.1189136
42,1.2750001,1.2047211,"('unreliable', 'reliable')",1.3708793,1.4577336,0.91638374,0.8690206,0.5684632,0.8009392,-0.9215899,-0.91419977,-2.823529,-3.1253805,0.0642679,0.0488056,0.0154623
15,1.2472224,1.3270817,"('boring', 'funny')",0.42557967,0.58780146,0.7338377,0.6017754,-0.0039616134,0.07124295,1.3045231,1.5130961,-0.25430056,-0.18840526,0.5754835,0.6520988,-0.0766153
63,1.2068802,1.210429,"('unperceptive', 'insightful')",0.23832622,0.38324663,-1.6436914,-1.6393687,0.19251487,0.1616217,-0.00889042,-0.2121871,0.44818228,0.12401879,0.0722203,0.0046267,0.0675936
66,1.1985774,0.98344815,"('inactive', 'active')",1.0939233,0.82342273,1.4535223,1.1378971,1.3309244,1.0986602,2.25291,2.2747822,0.4333808,0.5321129,1.2938731,1.1417206,0.1521525
41,1.1863289,1.188516,"('unforgiving', 'forgiving')",-0.0661995,0.037652545,-0.49034515,-0.5178735,-0.41373396,-0.26821688,0.7033762,0.74915695,-0.42550638,-0.46408275,0.08232,0.1208587,-0.0385387
61,1.1240859,1.2864772,"('illogical', 'logical')",-0.51639926,-0.45114958,-0.3252437,-0.274614,-0.16631162,-0.030580293,1.2663119,1.1522642,0.5529065,0.501869,0.3225583,0.3640444,-0.0414861
54,1.1066543,1.152653,"('incapable', 'capable')",0.024197657,0.11822265,0.44725356,0.36923504,0.18533708,0.23173197,1.4433082,1.3984722,0.8186174,0.8699728,0.6708947,0.6900479,-0.0191532
1,1.0832783,1.1040106,"('unfriendly', 'friendly')",-1.4642705,-1.4673212,-1.0013404,-1.1838067,-0.94203925,-0.9627814,2.617562,2.469936,1.7160199,1.9128125,0.3348684,0.3121416,0.0227268
48,-1.0563685,-0.9252869,"('unintelligent', 'intelligent')",-1.2820594,-1.1217334,-2.5370502,-2.3296757,-1.5026414,-1.3793619,-0.8924853,-1.0129311,0.5363059,0.3952175,-1.1223831,-1.0622952,-0.0600879
26,1.0320448,1.0942488,"('hardhearted', 'benevolent')",0.037211947,0.09991639,0.1365111,0.254667,0.122605525,0.3850016,2.333244,2.5241513,1.9988178,2.1095347,0.9434059,1.07792,-0.1345141
87,1.0186778,1.1267251,"('unsuccessful', 'successful')",-0.11255446,-0.0072967,-0.011378456,-0.035247542,0.09755627,0.27813244,0.08889838,0.34238943,0.2895104,0.27455845,0.2284517,0.3298769,-0.1014252
37,-0.9817037,-1.0073783,"('fake', 'genuine')",0.16940159,0.23156108,-1.738746,-1.9108472,-0.476891,-0.92792356,0.058427308,-0.327016,0.48934096,0.23793578,-0.4133618,-0.6172781,0.2039163
47,0.9745913,1.1972888,"('stupid', 'smart')",-0.09252009,-0.016492989,-0.44315916,-0.28844124,0.13752246,0.3207814,-0.017786382,0.10775611,5.230507,5.668618,0.9648592,1.1649184,-0.2000592
39,0.9714905,1.2441094,"('exploitative', 'cooperative')",0.67168057,0.9888057,0.07044678,0.35102668,0.3096344,0.7753291,1.5173981,1.7271737,0.31865805,0.5427965,0.6432181,0.9382069,-0.2949888
32,0.96880484,1.1867098,"('unkind', 'kind')",0.98985535,1.1542095,-1.1430552,-1.0490545,-0.24576825,-0.18733443,0.3819944,0.4128285,1.2379833,0.9880019,0.3649691,0.4175601,-0.052591
62,0.96463305,1.0890617,"('incompetent', 'brilliant')",-0.9601195,-0.6733376,-1.2947538,-1.1182132,-0.24443501,-0.1787244,-1.098238,-1.168365,0.14519316,-0.091470614,-0.41462,-0.3568415,-0.0577785
12,0.9455859,0.9080293,"('unsupportive', 'supportive')",0.11255697,0.1604799,0.047939956,-0.05407456,0.9930177,0.7954841,0.9533866,0.82825536,-1.6284665,-1.9589262,0.2373368,0.113208,0.1241288
14,0.927848,1.2295377,"('antisocial', 'social')",0.8072078,1.2299203,-0.24928722,0.084041595,0.24237137,0.53184766,-0.7946538,-0.7338748,-0.42875928,-0.48717913,0.0841211,0.3090489,-0.2249278
23,0.8742287,1.1368817,"('insincere', 'sincere')",-0.8463811,-0.446199,-1.6259813,-1.451759,-0.39408717,-0.3055957,0.24825884,0.10352695,6.0998836,6.305099,0.7259869,0.8903257,-0.1643388
13,0.8138084,1.0661573,"('impolite', 'polite')",-0.0015382171,0.1674979,-0.37295777,-0.24106759,-0.08286784,-0.0013517356,-0.9303425,-0.81439644,-0.9191959,-1.0597541,-0.248849,-0.1471524,-0.1016966
43,0.77143073,0.9362881,"('irresponsible', 'responsible')",-0.58272463,-0.34823483,-1.7241614,-1.4645526,-0.28098646,-0.14847973,-1.7045176,-1.5920149,0.6964405,0.36476594,-0.4707532,-0.3753713,-0.0953819
73,0.7698961,0.59530646,"('helpless', 'self-reliant')",1.128541,1.2810432,1.5465789,1.3991473,0.5992234,0.62614244,0.2933665,0.3081758,-3.6300628,-3.5521123,0.1179238,0.1096171,0.0083067
38,0.7644862,0.7166613,"('untruthful', 'truthful')",-0.32808167,-0.45290807,-0.6092551,-0.8025969,0.060552385,-0.074640915,0.574769,0.38089573,-0.20965062,-0.21477912,0.0421367,-0.0745613,0.116698
33,0.7625318,0.55552316,"('wrong', 'right')",0.1426242,-0.06744501,0.97271913,0.7870582,0.31452224,0.23549926,1.9405602,1.8657827,-0.7793917,-0.77581644,0.5589276,0.4334337,0.1254939
85,0.74806917,0.6757531,"('insignificant', 'prestigious')",-0.14661016,-0.21792288,1.9036099,1.747051,0.1658884,0.4671653,3.522886,3.6103358,-0.22464097,0.21960557,0.994867,1.0836646,-0.0887976
8,0.7390286,0.7534145,"('unaffectionate', 'affectionate')",-0.55516917,-0.62812734,-0.18677562,-0.49850965,-0.26360962,-0.44128984,3.3135707,3.1381676,0.7856442,0.9882025,0.6387815,0.5519763,0.0868052
5,0.7378282,0.6047508,"('distant', 'outgoing')",-1.0343257,-1.2728999,1.4683716,1.1485593,0.41539434,0.29185373,2.8964548,2.9510603,-0.7232618,-0.53737897,0.6267436,0.5309909,0.0957527
69,0.71060777,0.6149399,"('lazy', 'industrious')",0.25586298,0.12147717,0.9296534,1.1095054,0.17983451,0.6279932,1.5530522,2.0366697,-1.1188098,-0.902189,0.4183668,0.6013994,-0.1830326
40,0.7056482,0.49691775,"('stingy', 'generous')",1.0265024,0.8666795,1.5299857,1.2468095,0.93115026,0.54111147,1.2246659,1.1098038,-1.7785819,-1.9917476,0.6065618,0.3782624,0.2282994
81,0.690673,0.7038294,"('submissive', 'aggressive')",0.85716736,1.1941154,-0.7328759,-0.35683715,0.4953462,0.7068952,-2.2486496,-2.1770587,-0.7747944,-1.2604413,-0.2855222,-0.1982495,-0.0872727
10,-0.6851206,-0.41054103,"('unsympathetic', 'sympathetic')",-1.2192732,-1.0490146,-2.1069288,-2.0932474,-0.8594225,-1.2862369,-2.3281846,-2.5924437,0.23889461,-0.18482435,-1.1600059,-1.2693846,0.1093787
82,-0.6721313,-0.68800104,"('poor', 'rich')",-0.7968157,-0.62732404,-0.763861,-0.790961,0.29121503,0.14989547,-0.95478606,-1.0177,6.2954965,6.573183,0.5665196,0.5998487,-0.0333291
35,-0.6557824,-0.8447627,"('corrupt', 'incorrupt')",-1.0416003,-1.2800847,1.107262,0.7776607,-0.3803858,-0.42195842,1.61672,1.6158887,-0.88325524,-0.64957225,-0.039507,-0.1338048,0.0942978
