,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.7057419,-1.9664859,"('unimaginative', 'imaginative')",-3.3398364,-3.533235,-2.522789,-2.7498605,0.2270715
53,-1.5174154,-1.4864783,"('uncreative', 'creative')",0.2671402,0.2426445,-0.6251376,-0.6219169,-0.0032207
86,-1.5124762,-1.891025,"('uninfluential', 'influential')",-0.15191454,-0.44784638,-0.8321954,-1.1694356,0.3372402
10,-1.2688179,-1.6277313,"('unsympathetic', 'sympathetic')",-0.014934727,-0.22480415,-0.6418763,-0.9262677,0.2843914
45,-1.2685461,-1.4619303,"('incompetent', 'competent')",0.20505944,-0.21053675,-0.5317433,-0.8362335,0.3044902
68,-1.0764617,-0.7351184,"('dependent', 'independent')",-0.6693064,-0.44095582,-0.872884,-0.5880371,-0.2848469
28,-1.0285367,-1.2538407,"('disloyal', 'loyal')",1.0291164,1.0644652,0.0002899,-0.0946878,0.0949777
1,-0.9940633,-1.453924,"('unfriendly', 'friendly')",1.2520809,1.0944769,0.1290088,-0.1797235,0.3087323
8,-0.94251144,-1.3000953,"('unaffectionate', 'affectionate')",0.5280229,0.4981672,-0.2072443,-0.4009641,0.1937198
18,-0.9326847,-0.96684486,"('disagreeable', 'welcoming')",-0.58154756,-0.58071816,-0.7571161,-0.7737815,0.0166654
70,-0.8212566,-0.94124407,"('lethargic', 'energetic')",0.6694922,0.43875313,-0.0758822,-0.2512455,0.1753633
83,0.7732151,0.5210213,"('powerless', 'powerful')",-0.98412085,-1.021483,-0.1054529,-0.2502308,0.1447779
9,-0.75984174,-1.0752596,"('unaffectionate', 'caring')",0.95856273,1.0361729,0.0993605,-0.0195433,0.1189038
6,-0.7436699,-0.9220872,"('distant', 'open')",-0.5251771,-0.3352003,-0.6344235,-0.6286438,-0.0057797
22,-0.7304284,-0.80712295,"('untrustworthy', 'trustworthy')",-0.8724107,-1.1447645,-0.8014196,-0.9759437,0.1745241
