,occidental_male,occidental_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,male-female
0,-3.070798,-2.6945262,"('unsociable', 'sociable')",0.54599184,0.80367947,-0.1258768,0.1461549,-0.883561,-0.5815639,-0.3019971
86,-2.9659944,-2.8638752,"('uninfluential', 'influential')",0.44643477,0.43287566,-0.1263127,-0.17166829,-0.8819575,-0.8675559,-0.0144016
10,-2.7903996,-2.4153128,"('unsympathetic', 'sympathetic')",-0.18522067,0.15952756,-0.07590161,0.31783405,-1.0171739,-0.6459837,-0.3711902
55,-2.7433894,-2.5257819,"('incompetent', 'clever')",0.79924613,1.1670904,0.5358835,0.99713,-0.46942,-0.1205205,-0.3488995
60,-2.6219263,-2.0989883,"('inefficient', 'efficient')",0.57145447,1.0703458,0.078559026,0.58539176,-0.6573042,-0.1477503,-0.5095539
69,2.399455,2.1494944,"('lazy', 'industrious')",0.6156848,0.3288566,-0.8998776,-1.3985249,0.7050874,0.3599421,0.3451453
14,-2.2653458,-1.7826351,"('antisocial', 'social')",1.2509042,1.5911369,0.09114774,0.64514947,-0.3077646,0.1512171,-0.4589817
45,-2.1968384,-2.3610377,"('incompetent', 'competent')",0.58053076,0.62312794,0.11131958,0.27624536,-0.5016627,-0.4872215,-0.0144412
46,-2.118333,-1.7959955,"('uncompetitive', 'competitive')",0.5628599,1.0436174,-0.7964565,-0.20078681,-0.7839766,-0.3177216,-0.466255
13,-2.0452774,-1.6867144,"('impolite', 'polite')",0.40266436,0.78780746,-0.294631,0.05563037,-0.645748,-0.2810922,-0.3646558
43,-2.028134,-1.6633545,"('irresponsible', 'responsible')",0.26722646,0.6193301,0.43040216,0.6344752,-0.4435018,-0.1365164,-0.3069854
62,-1.952674,-1.7260118,"('incompetent', 'brilliant')",1.1275992,1.4970303,0.46831146,0.8636648,-0.1189211,0.2115611,-0.3304822
9,-1.9037712,-2.223653,"('unaffectionate', 'caring')",0.91799283,0.71153134,1.3487594,0.70667726,0.1209937,-0.2684815,0.3894752
35,1.8495625,1.750891,"('corrupt', 'incorrupt')",-1.7211624,-1.9919385,-1.2121747,-1.6446995,-0.3612582,-0.6285823,0.2673241
81,-1.839695,-0.89901626,"('submissive', 'aggressive')",-0.057614014,0.79255474,-0.5311417,0.23489931,-0.8094835,0.0428126,-0.8522961
1,-1.6557184,-1.8682768,"('unfriendly', 'friendly')",1.6276343,1.300096,1.3370919,0.63217056,0.4363359,0.0213299,0.415006
11,-1.6346054,-1.4293821,"('unhelpful', 'helpful')",0.78022194,1.2922345,1.9634401,2.399795,0.3696855,0.7542159,-0.3845304
56,-1.524545,-0.9607691,"('impractical', 'practical')",0.81298053,1.2900888,-0.53702337,-0.11682697,-0.4161959,0.0708309,-0.4870268
53,-1.5169306,-1.4297849,"('uncreative', 'creative')",0.60617656,0.5600864,0.09342051,-0.03903321,-0.2724445,-0.3029106,0.0304661
44,1.4998341,1.5683811,"('prejudiced', 'unprejudiced')",-0.4271667,-0.32937008,-1.5928509,-1.2665763,-0.1733945,-0.0091884,-0.1642061
63,-1.4874997,-1.591745,"('unperceptive', 'insightful')",1.1166888,1.2406036,0.5123862,0.5650363,0.0471918,0.0712983,-0.0241065
8,-1.4815422,-1.763778,"('unaffectionate', 'affectionate')",0.36729565,0.22706941,0.6539513,-0.08564367,-0.1534318,-0.5407841,0.3873523
30,-1.4708028,-1.0678725,"('intolerant', 'tolerant')",0.18985415,0.71838665,0.5243249,0.95346606,-0.2522079,0.2013267,-0.4535346
61,-1.4664389,-1.2979026,"('illogical', 'logical')",1.2248701,1.3495915,0.6561333,0.63039577,0.1381882,0.2273616,-0.0891734
21,-1.4651704,-0.708142,"('immoral', 'moral')",1.470138,2.0212903,-0.22143969,0.60372573,-0.0721574,0.638958,-0.7111154
73,1.4579135,1.2153057,"('helpless', 'self-reliant')",1.2933513,1.0248406,-3.6140566,-3.9683511,-0.2875973,-0.5760683,0.288471
23,-1.4412925,-1.1397765,"('insincere', 'sincere')",1.0165839,1.2977167,6.3198104,6.792014,1.9650338,2.3166515,-0.3516177
