,goodrich_male,goodrich_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-1.4705117,-0.8876631,"('evil', 'good')",-1.2229046,-0.9177615,-1.3467081,-0.9027123,-0.4439958
87,1.4605293,1.2773924,"('unsuccessful', 'successful')",1.0135574,0.9149169,1.2370434,1.0961547,0.1408887
73,1.4213272,1.2632657,"('helpless', 'self-reliant')",-3.0791802,-3.2340426,-0.8289265,-0.9853885,0.156462
6,-1.2769654,-0.9285266,"('distant', 'open')",-0.47513145,-0.329784,-0.8760484,-0.6291553,-0.2468931
53,-1.2755419,-0.849236,"('uncreative', 'creative')",0.24581335,0.3301568,-0.5148643,-0.2595396,-0.2553247
62,1.265052,0.874728,"('incompetent', 'brilliant')",0.705583,0.18216574,0.9853175,0.5284469,0.4568706
10,-1.0949142,-1.0391133,"('unsympathetic', 'sympathetic')",0.061594,0.08361285,-0.5166601,-0.4777502,-0.0389099
36,-1.0825961,-0.46191835,"('hostile', 'amicable')",-0.55389214,-0.19721885,-0.8182441,-0.3295686,-0.4886755
69,1.0612267,1.4735703,"('lazy', 'industrious')",-1.4858521,-1.1335821,-0.2123127,0.1699941,-0.3823068
86,-0.9667369,-0.6588113,"('uninfluential', 'influential')",-0.19221899,-0.1274142,-0.579478,-0.3931127,-0.1863653
1,-0.9160769,-0.61075073,"('unfriendly', 'friendly')",1.2083428,1.3595968,0.1461329,0.3744231,-0.2282902
82,-0.88753647,-1.540053,"('poor', 'rich')",6.948428,6.4996805,3.0304458,2.4798138,0.550632
60,0.7698466,0.1354877,"('inefficient', 'efficient')",0.42311817,-0.11184801,0.5964824,0.0118198,0.5846626
81,0.76203334,0.4140939,"('submissive', 'aggressive')",-0.5770665,-0.9079209,0.0924834,-0.2469135,0.3393969
3,-0.74464446,-0.7988177,"('repellent', 'pleasant')",1.218475,1.158268,0.2369153,0.1797251,0.0571902
79,-0.7315963,-0.3597043,"('wavering', 'unwavering')",-0.32699838,-0.23872422,-0.5292974,-0.2992142,-0.2300832
80,0.70280826,0.7260051,"('dominated', 'dominating')",-0.65106964,-0.784343,0.0258693,-0.029169,0.0550383
2,0.6620814,0.6005974,"('unlikable', 'likable')",0.27413034,0.34735507,0.4681059,0.4739762,-0.0058703
33,0.6507623,0.7999275,"('wrong', 'right')",-0.79325545,-0.69491833,-0.0712466,0.0525046,-0.1237512
57,-0.6333604,-0.31796712,"('unimaginative', 'imaginative')",-3.1991904,-3.0538385,-1.9162754,-1.6859028,-0.2303726
8,-0.6290513,-0.37039992,"('unaffectionate', 'affectionate')",1.0285162,1.1130584,0.1997324,0.3713292,-0.1715968
61,-0.59673893,-0.43302277,"('illogical', 'logical')",0.5912394,0.6342311,-0.0027498,0.1006042,-0.103354
5,-0.59434927,-0.29384753,"('distant', 'outgoing')",-0.55673736,-0.55592,-0.5755433,-0.4248838,-0.1506595
27,-0.5879202,-0.62656754,"('hardhearted', 'softhearted')",1.4678419,1.7318133,0.4399608,0.5526229,-0.1126621
75,0.5873695,0.61502105,"('meek', 'impulsive')",-1.031284,-1.1228608,-0.2219572,-0.2539199,0.0319627
72,-0.5807124,-0.80464816,"('unambitious', 'ambitious')",0.21241394,-0.051170636,-0.1841492,-0.4279094,0.2437602
25,0.57325006,0.8579024,"('egoistic', 'altruistic')",1.1834805,1.3581408,0.8783653,1.1080216,-0.2296563
37,0.5522606,0.5689863,"('fake', 'genuine')",0.56292194,0.45471907,0.5575913,0.5118527,0.0457386
18,-0.5391678,-0.45288697,"('disagreeable', 'welcoming')",-0.47826594,-0.3780864,-0.5087169,-0.4154867,-0.0932302
16,-0.53282404,-0.45268285,"('unpopular', 'popular')",-0.18114892,-0.154472,-0.3569865,-0.3035774,-0.0534091
40,0.52152425,0.74145824,"('stingy', 'generous')",-2.143886,-1.9614226,-0.8111809,-0.6099821,-0.2011988
67,0.5074326,0.34567687,"('doubtful', 'determined')",-0.9501274,-0.87869525,-0.2213474,-0.2665092,0.0451618
65,-0.5027687,-0.81926,"('insecure', 'secure')",0.20377189,-0.13799179,-0.1494984,-0.4786259,0.3291275
