,pepsico_male,pepsico_female,tuple,inc_male,inc_female,average_male,average_female,male-female
85,1.545287,1.3022635,"('insignificant', 'prestigious')",0.9033089,0.6879179,1.224298,0.9950907,0.2292073
57,-1.2146794,-1.1864438,"('unimaginative', 'imaginative')",-2.689147,-2.6256323,-1.9519131,-1.906038,-0.0458751
84,1.1185367,1.0399606,"('inferior', 'superior')",0.87598926,1.0207251,0.997263,1.0303428,-0.0330798
18,-1.0875171,-1.0659809,"('disagreeable', 'welcoming')",-0.48725706,-0.41622695,-0.7873871,-0.7411039,-0.0462832
14,-1.0387597,-1.0320302,"('antisocial', 'social')",-0.83376276,-0.7784296,-0.9362612,-0.9052299,-0.0310313
10,-1.0363038,-0.69291997,"('unsympathetic', 'sympathetic')",-0.5196788,-0.09812756,-0.7779913,-0.3955238,-0.3824675
82,-0.9964486,-1.2704997,"('poor', 'rich')",6.0539927,5.752146,2.5287721,2.240823,0.2879491
15,0.99330825,0.7628259,"('boring', 'funny')",0.6683441,0.34028244,0.8308262,0.5515542,0.279272
56,0.99148333,0.9442409,"('impractical', 'practical')",0.63347244,0.38086227,0.8124779,0.6625516,0.1499263
73,0.9291265,0.9428993,"('helpless', 'self-reliant')",-2.899961,-2.9369156,-0.9854172,-0.9970082,0.011591
70,-0.92652893,-0.8949744,"('lethargic', 'energetic')",0.58426577,0.75356233,-0.1711316,-0.070706,-0.1004256
87,0.92353654,0.97046494,"('unsuccessful', 'successful')",0.7981397,1.0244381,0.8608381,0.9974515,-0.1366134
39,0.90487564,1.2350855,"('exploitative', 'cooperative')",0.072178006,0.08573334,0.4885268,0.6604094,-0.1718826
71,0.9036293,0.8507232,"('diffident', 'self-confident')",0.36331895,0.34293258,0.6334741,0.5968279,0.0366462
33,0.89975476,1.0373925,"('wrong', 'right')",-0.9946727,-0.8478068,-0.047459,0.0947928,-0.1422518
72,-0.87106484,-0.76593083,"('unambitious', 'ambitious')",-1.1538482,-1.0628077,-1.0124565,-0.9143692,-0.0980873
8,-0.82091534,-0.8224923,"('unaffectionate', 'affectionate')",0.03979773,0.26697063,-0.3905588,-0.2777608,-0.112798
7,-0.8151995,-0.4045574,"('insensitive', 'sensitive')",0.19789481,0.6157363,-0.3086523,0.1055894,-0.4142417
55,-0.7898487,-0.6458039,"('incompetent', 'clever')",-0.17039287,-0.023946956,-0.4801208,-0.3348754,-0.1452454
68,-0.78889436,-0.4024966,"('dependent', 'independent')",-0.64606565,-0.20350148,-0.71748,-0.302999,-0.414481
37,-0.7429772,-0.13335148,"('fake', 'genuine')",-0.3900119,0.23041105,-0.5664946,0.0485298,-0.6150244
66,-0.7247353,-0.5335202,"('inactive', 'active')",0.4617333,0.8004353,-0.131501,0.1334575,-0.2649585
45,-0.70551646,-0.5317603,"('incompetent', 'competent')",-0.6922261,-0.46631712,-0.6988713,-0.4990387,-0.1998326
35,-0.6907766,-0.8870439,"('corrupt', 'incorrupt')",-0.43093577,-0.41858461,-0.5608562,-0.6528143,0.0919581
43,-0.66628975,-0.38750812,"('irresponsible', 'responsible')",0.49420667,0.69785416,-0.0860415,0.155173,-0.2412145
86,-0.6383414,-0.34168804,"('uninfluential', 'influential')",-0.33034527,0.1579261,-0.4843433,-0.091881,-0.3924623
22,-0.63333553,-0.47818333,"('untrustworthy', 'trustworthy')",-1.1434585,-0.93268657,-0.888397,-0.7054349,-0.1829621
51,-0.62675023,-0.6809166,"('uneducated', 'educated')",0.977936,1.1343777,0.1755929,0.2267306,-0.0511377
54,0.6079138,0.31017315,"('incapable', 'capable')",1.3691386,1.2638577,0.9885262,0.7870154,0.2015108
69,0.6051115,0.7761964,"('lazy', 'industrious')",-1.1512493,-0.9587165,-0.2730689,-0.09126,-0.1818089
20,-0.6001499,-0.4575679,"('rough', 'thoughtful')",0.89078367,1.1427708,0.1453169,0.3426014,-0.1972845
42,0.5966227,0.5764861,"('unreliable', 'reliable')",-2.7990046,-2.8523724,-1.1011909,-1.1379431,0.0367522
