,nucor_male,nucor_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-2.081209,-1.9760526,"('uncreative', 'creative')",0.21154656,0.26430532,-0.9348312,-0.8558736,-0.0789576
86,-2.0788069,-1.6447722,"('uninfluential', 'influential')",-0.42088506,-0.5242145,-1.249846,-1.0844934,-0.1653526
19,-2.0190263,-1.4633735,"('inhospitable', 'hospitable')",-0.61607844,-0.49204937,-1.3175523,-0.9777114,-0.3398409
51,-1.8005002,-1.488958,"('uneducated', 'educated')",0.4009153,0.4217213,-0.6997924,-0.5336183,-0.1661741
6,-1.7796868,-1.4380257,"('distant', 'open')",-0.51798457,-0.49998215,-1.1488357,-0.9690039,-0.1798318
1,-1.7463428,-1.4187093,"('unfriendly', 'friendly')",1.224501,1.3924334,-0.2609209,-0.0131379,-0.247783
9,-1.5289966,-1.2244184,"('unaffectionate', 'caring')",1.0909659,1.1386232,-0.2190154,-0.0428976,-0.1761178
5,-1.4814584,-1.148194,"('distant', 'outgoing')",-0.50253975,-0.49737036,-0.9919991,-0.8227822,-0.1692169
63,-1.46599,-1.1849439,"('unperceptive', 'insightful')",0.7802756,0.74478865,-0.3428572,-0.2200776,-0.1227796
54,-1.3985932,-1.2151808,"('incapable', 'capable')",0.5672141,0.59216803,-0.4156896,-0.3115064,-0.1041832
38,-1.3448462,-1.0067669,"('untruthful', 'truthful')",-0.18721423,-0.15205528,-0.7660303,-0.5794111,-0.1866192
57,-1.3406553,-1.2358167,"('unimaginative', 'imaginative')",-3.0176616,-2.9353604,-2.1791584,-2.0855885,-0.0935699
32,-1.2953998,-0.841988,"('unkind', 'kind')",0.35626405,0.6164583,-0.4695679,-0.1127649,-0.356803
8,-1.2935048,-1.1174346,"('unaffectionate', 'affectionate')",0.4615666,0.66324264,-0.4159691,-0.227096,-0.1888731
44,1.2513908,1.1723725,"('prejudiced', 'unprejudiced')",-1.4162292,-1.4101044,-0.0824192,-0.118866,0.0364468
82,-1.1992825,-0.86166584,"('poor', 'rich')",5.7714605,5.4903207,2.2860889,2.3143275,-0.0282386
13,-1.1640171,-0.44915062,"('impolite', 'polite')",-0.59175766,-0.6029211,-0.8778874,-0.5260359,-0.3518515
79,-1.1635954,-1.0316204,"('wavering', 'unwavering')",-0.3683506,-0.5261965,-0.765973,-0.7789084,0.0129354
0,-1.1584734,-0.7556044,"('unsociable', 'sociable')",-0.086244226,0.0025394876,-0.6223588,-0.3765324,-0.2458264
10,-1.1507952,-0.76380706,"('unsympathetic', 'sympathetic')",-0.42490762,-0.43597415,-0.7878515,-0.5998906,-0.1879609
23,-1.1311396,-0.53655136,"('insincere', 'sincere')",5.4100447,5.2176304,2.1394525,2.3405395,-0.201087
43,-1.1301817,-0.42465308,"('irresponsible', 'responsible')",0.025644094,0.3127464,-0.5522688,-0.0559533,-0.4963155
31,-1.0697999,-1.2063036,"('evil', 'good')",-0.7626617,-0.7685481,-0.9162308,-0.9874258,0.071195
36,-1.0327642,-1.0002408,"('hostile', 'amicable')",-0.32626405,-0.2274164,-0.6795141,-0.6138286,-0.0656855
66,-0.96859086,-1.1101912,"('inactive', 'active')",0.6456683,0.32056826,-0.1614613,-0.3948115,0.2333502
12,-0.95073456,-0.8339875,"('unsupportive', 'supportive')",-1.8738769,-1.8188816,-1.4123057,-1.3264346,-0.0858711
84,0.895923,0.83553946,"('inferior', 'superior')",1.2111948,1.2344077,1.0535588,1.0349736,0.0185852
22,-0.8801864,-0.72520465,"('untrustworthy', 'trustworthy')",-1.1756513,-1.0909172,-1.0279188,-0.9080609,-0.1198579
41,-0.8791688,-0.49221882,"('unforgiving', 'forgiving')",-0.046738643,0.13323788,-0.4629537,-0.1794905,-0.2834632
24,-0.8579545,-0.21802561,"('dishonest', 'honest')",0.30664274,0.4969655,-0.2756559,0.13947,-0.4151259
71,-0.8542506,-0.9168155,"('diffident', 'self-confident')",0.5683435,0.38341635,-0.1429535,-0.2666996,0.1237461
72,-0.83464456,-0.83822197,"('unambitious', 'ambitious')",-0.5153357,-0.6654994,-0.6749901,-0.7518607,0.0768706
74,-0.8307265,-0.6182465,"('undedicated', 'dedicated')",-0.49959806,-0.40092832,-0.6651623,-0.5095874,-0.1555749
