,compuware_male,compuware_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.539381,-2.1720123,"('unsympathetic', 'sympathetic')",-0.63129276,-0.4642161,-1.5853369,-1.3181143,-0.2672226
46,-1.9302832,-1.59407,"('uncompetitive', 'competitive')",-1.0796487,-0.78494966,-1.504966,-1.1895099,-0.3154561
63,-1.6377823,-1.6028126,"('unperceptive', 'insightful')",0.50997305,0.44740844,-0.5639046,-0.5777021,0.0137975
43,-1.6329604,-1.6661159,"('irresponsible', 'responsible')",-0.052046135,-0.17661908,-0.8425033,-0.9213675,0.0788642
45,-1.6245841,-1.2865568,"('incompetent', 'competent')",-0.34257907,-0.09800184,-0.9835815,-0.6922793,-0.2913022
70,-1.5680716,-1.4099985,"('lethargic', 'energetic')",0.018851101,0.14273122,-0.7746103,-0.6336337,-0.1409766
7,-1.3286376,-0.95377666,"('insensitive', 'sensitive')",0.2327656,0.3192247,-0.547936,-0.317276,-0.23066
73,1.313539,1.1455156,"('helpless', 'self-reliant')",-3.1186764,-3.183197,-0.9025687,-1.0188408,0.1162721
0,-1.311209,-1.1235708,"('unsociable', 'sociable')",-0.20076185,0.05680994,-0.7559854,-0.5333804,-0.222605
39,1.2799845,1.2503288,"('exploitative', 'cooperative')",0.24322572,0.33425334,0.7616051,0.792291,-0.0306859
72,-1.2301661,-1.2618423,"('unambitious', 'ambitious')",-0.6636161,-0.80065733,-0.9468911,-1.0312498,0.0843587
3,-1.215353,-0.84499675,"('repellent', 'pleasant')",0.55659896,0.9063257,-0.329377,0.0306645,-0.3600415
86,-1.1979465,-1.1155857,"('uninfluential', 'influential')",-0.027568355,-0.008501887,-0.6127574,-0.5620438,-0.0507136
76,-1.1803819,-1.1530913,"('anxious', 'daring')",-0.52560794,-0.2541482,-0.8529949,-0.7036197,-0.1493752
81,-1.1559083,-0.704208,"('submissive', 'aggressive')",-0.88761204,-0.3626176,-1.0217602,-0.5334128,-0.4883474
28,-1.1017387,-0.6169623,"('disloyal', 'loyal')",0.76893395,1.2308923,-0.1664024,0.306965,-0.4733674
42,-1.100377,-1.0564907,"('unreliable', 'reliable')",-3.2818234,-3.2668247,-2.1911001,-2.1616578,-0.0294423
55,-1.099672,-0.8365252,"('incompetent', 'clever')",0.43205002,0.8411,-0.333811,0.0022874,-0.3360984
13,-1.0933865,-1.0172439,"('impolite', 'polite')",-1.1775725,-0.899365,-1.1354795,-0.9583044,-0.1771751
66,-1.0899968,-1.0121423,"('inactive', 'active')",0.2695333,0.09601612,-0.4102318,-0.4580631,0.0478313
24,-1.0866907,-0.90575683,"('dishonest', 'honest')",0.4961708,0.62443423,-0.29526,-0.1406613,-0.1545987
21,-1.075139,-0.588827,"('immoral', 'moral')",-0.5716333,-0.05894621,-0.8233862,-0.3238866,-0.4994996
85,1.0623292,1.3784989,"('insignificant', 'prestigious')",0.29252985,0.38498148,0.6774295,0.8817402,-0.2043107
51,-1.0327978,-1.0326828,"('uneducated', 'educated')",0.8214567,0.8549225,-0.1056706,-0.0888802,-0.0167904
38,-1.0276985,-0.75175315,"('untruthful', 'truthful')",-0.5701468,-0.30241936,-0.7989227,-0.5270863,-0.2718364
15,1.0232389,1.0017122,"('boring', 'funny')",-0.0768331,0.11893648,0.4732029,0.5603243,-0.0871214
69,1.0206116,0.964552,"('lazy', 'industrious')",-1.026593,-1.4049658,-0.0029907,-0.2202069,0.2172162
52,1.0189263,0.71189755,"('irrational', 'rational')",0.08988022,-0.19796692,0.5544032,0.2569653,0.2974379
23,-0.98775744,-0.7618229,"('insincere', 'sincere')",5.343371,5.5106883,2.1778069,2.3744328,-0.1966259
12,-0.9871898,-1.0134029,"('unsupportive', 'supportive')",-1.7965978,-1.9955633,-1.3918939,-1.5044831,0.1125892
32,-0.98029655,-0.54188,"('unkind', 'kind')",0.77883834,1.0646918,-0.1007291,0.2614059,-0.362135
62,-0.96244776,-0.87518996,"('incompetent', 'brilliant')",-0.16001666,0.15186815,-0.5612322,-0.3616609,-0.1995713
56,-0.91993326,-0.43390203,"('impractical', 'practical')",-0.5897016,-0.13898735,-0.7548174,-0.2864447,-0.4683727
59,0.91281027,0.6058293,"('foolish', 'wise')",-0.32714763,-0.6587113,0.2928313,-0.026441,0.3192723
77,-0.90773857,-0.9286435,"('unmotivated', 'motivated')",-1.502555,-1.421113,-1.2051468,-1.1748782,-0.0302686
65,-0.906623,-1.0722214,"('insecure', 'secure')",-0.29681113,-0.357829,-0.6017171,-0.7150252,0.1133081
35,0.8584796,0.65382373,"('corrupt', 'incorrupt')",-0.467929,-0.85099995,0.1952753,-0.0985881,0.2938634
44,0.84295857,0.61578363,"('prejudiced', 'unprejudiced')",-1.6782564,-1.8184453,-0.4176489,-0.6013309,0.183682
14,-0.84238243,-0.53242886,"('antisocial', 'social')",-0.22500062,0.17716952,-0.5336915,-0.1776297,-0.3560618
31,0.8397754,0.11663358,"('evil', 'good')",-0.5996369,-1.2912033,0.1200692,-0.5872849,0.7073541
84,0.8240874,0.49533284,"('inferior', 'superior')",0.99794644,0.8320996,0.9110169,0.6637162,0.2473007
78,-0.8096261,-0.7953217,"('nonresilient', 'resilient')",0.013385815,-0.29578975,-0.3981201,-0.5455557,0.1474356
57,-0.8049419,-0.78694457,"('unimaginative', 'imaginative')",-2.690739,-2.7054842,-1.7478404,-1.7462144,-0.001626
82,-0.7943851,-0.08138152,"('poor', 'rich')",5.7926393,6.272959,2.4991271,3.095789,-0.5966619
80,-0.78263736,-0.94449216,"('dominated', 'dominating')",-0.8507821,-0.7718292,-0.8167098,-0.8581607,0.0414509
22,-0.7687916,-0.88266647,"('untrustworthy', 'trustworthy')",-0.8209076,-0.8883967,-0.7948496,-0.8855315,0.0906819
33,0.6675755,0.45526266,"('wrong', 'right')",-0.81099445,-1.0468434,-0.0717095,-0.2957904,0.2240809
