,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-2.3209825,-2.4080937,"('unimaginative', 'imaginative')",-1.3611902,-1.4069672,-0.6997997,-0.85351264,-2.0337152,-2.1649177,-1.6039219,-1.7083728,0.1044509
10,-1.884995,-1.9464586,"('unsympathetic', 'sympathetic')",-1.2678356,-1.430306,-0.268896,-0.30783188,0.25855127,0.1567097,-0.7907938,-0.8819717,0.0911779
1,-1.8479481,-1.8683197,"('unfriendly', 'friendly')",-0.7293291,-0.57652783,-0.16025877,-0.020507693,1.217866,1.5799224,-0.3799175,-0.2213582,-0.1585593
11,-1.799388,-1.8395185,"('unhelpful', 'helpful')",-0.8373127,-0.8231094,-1.1123464,-0.9660722,1.8612733,1.8860353,-0.4719434,-0.4356662,-0.0362772
48,-1.7848238,-1.8944331,"('unintelligent', 'intelligent')",0.21924788,0.17770979,-0.5695543,-0.51570296,0.4076047,0.31554288,-0.4318814,-0.4792208,0.0473394
28,-1.7253734,-1.852167,"('disloyal', 'loyal')",-0.105276056,-0.14452533,-0.49818742,-0.5028746,1.025424,1.1415222,-0.3258532,-0.3395112,0.013658
73,1.7223932,1.7321212,"('helpless', 'self-reliant')",0.7346293,0.759898,-0.4169612,-0.4217893,-3.5621803,-3.5656006,-0.3805298,-0.3738427,-0.0066871
41,-1.6675516,-1.5578336,"('unforgiving', 'forgiving')",0.017409157,0.04545027,-0.18020104,0.09316945,0.13223155,0.22967327,-0.424528,-0.2973851,-0.1271429
69,1.6574491,1.7772624,"('lazy', 'industrious')",1.6113093,1.6780595,0.5124014,0.54639983,-0.23183252,-0.23446633,0.8873318,0.9418138,-0.054482
0,-1.6182219,-1.7243259,"('unsociable', 'sociable')",-0.17753688,-0.3332246,0.12240118,0.23342954,-0.14470537,-0.11054315,-0.4545157,-0.483666,0.0291503
63,-1.6175883,-1.7355685,"('unperceptive', 'insightful')",-0.657639,-0.72790486,1.4856058,1.3037348,1.4345912,1.1700685,0.1612424,0.0025825,0.1586599
45,-1.5768405,-1.560663,"('incompetent', 'competent')",-0.5009066,-0.663648,-0.0052693337,0.17915742,-0.22879474,-0.2040296,-0.5779528,-0.5622957,-0.0156571
35,1.5566096,1.7385051,"('corrupt', 'incorrupt')",0.09233549,0.2298945,-1.2837236,-1.284745,-0.23909163,-0.08673638,0.0315325,0.1492296,-0.1176971
12,-1.4760468,-1.5828683,"('unsupportive', 'supportive')",0.12959015,0.062060464,-0.12977944,-0.12720194,-1.3549219,-1.4753135,-0.7077895,-0.7808309,0.0730414
86,-1.4656775,-1.6680821,"('uninfluential', 'influential')",-0.5468142,-0.6219286,-0.18358234,-0.26158997,0.061213885,-0.0749358,-0.533715,-0.6566342,0.1229192
23,-1.3898305,-1.3357219,"('insincere', 'sincere')",-0.08330636,-0.12320313,-0.60741144,-0.45966303,4.916179,5.186108,0.7089077,0.81688,-0.1079723
21,-1.3716619,-1.3479152,"('immoral', 'moral')",0.08929615,0.006849322,0.38192043,0.4504522,-0.51847583,-0.47625807,-0.3547303,-0.3417179,-0.0130124
3,-1.3562953,-1.3295324,"('repellent', 'pleasant')",-1.3703718,-1.4709028,0.46503684,0.37491953,0.19133076,0.031668518,-0.5175749,-0.5984618,0.0808869
24,-1.3392818,-1.3265929,"('dishonest', 'honest')",-0.061836775,-0.07308763,-0.84732985,-0.6229074,0.4291981,0.67641264,-0.4548126,-0.3365439,-0.1182687
50,1.3381057,1.4520538,"('clumsy', 'skillful')",0.5077959,0.58926535,0.24998304,0.31807956,0.33202547,0.29604006,0.6069775,0.6638597,-0.0568822
55,-1.3064042,-1.4874519,"('incompetent', 'clever')",-0.11468454,-0.3167171,0.24145213,0.3889513,0.18949057,0.11535755,-0.2475365,-0.324965,0.0774285
72,-1.2852039,-1.3853506,"('unambitious', 'ambitious')",-0.32748407,-0.38938296,-0.3996224,-0.3805498,-1.5207505,-1.4384588,-0.8832653,-0.8984356,0.0151703
8,-1.2654327,-1.2638615,"('unaffectionate', 'affectionate')",-0.6059778,-0.53022027,-0.69187534,-0.6291271,0.06443794,0.27796924,-0.624712,-0.53631,-0.088402
13,-1.247875,-1.1500466,"('impolite', 'polite')",0.6109566,0.44792968,0.53373027,0.568295,0.36458847,0.39749756,0.0653501,0.0659189,-0.0005688
46,-1.2459775,-1.4693959,"('uncompetitive', 'competitive')",-0.6053861,-0.8136483,1.2294325,1.065824,0.438201,0.09654058,-0.0459325,-0.2801699,0.2342374
81,-1.227671,-1.0975242,"('submissive', 'aggressive')",0.00646979,-0.08749169,0.81359255,0.8420026,-0.54058814,-0.5833701,-0.2370492,-0.2315959,-0.0054533
85,1.1961281,1.1227505,"('insignificant', 'prestigious')",-0.0039454345,0.20351133,-0.069616765,0.061558638,0.4637808,0.636886,0.3965867,0.5061766,-0.1095899
53,-1.1915271,-1.1547363,"('uncreative', 'creative')",-1.9012525,-1.8131877,0.566522,0.47836915,1.0815376,1.1595951,-0.36118,-0.3324899,-0.0286901
