,sunedison_male,sunedison_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.9745684,-2.965181,"('unfriendly', 'friendly')",1.1337634,1.1175307,-0.9204025,-0.9238252,0.0034227
6,-2.5143878,-2.1401994,"('distant', 'open')",-0.38292277,-0.33016905,-1.4486554,-1.2351842,-0.2134712
9,-2.3507745,-2.3802931,"('unaffectionate', 'caring')",0.7733536,0.72409415,-0.7887105,-0.8280995,0.039389
36,-2.2000263,-1.995677,"('hostile', 'amicable')",-0.45060363,-0.2465773,-1.325315,-1.1211271,-0.2041879
53,-2.1670346,-1.9995693,"('uncreative', 'creative')",0.54545236,0.5825615,-0.8107911,-0.7085039,-0.1022872
8,-2.1106865,-2.0926661,"('unaffectionate', 'affectionate')",0.41187292,0.4686656,-0.8494068,-0.8120003,-0.0374065
86,-2.0498633,-2.3317041,"('uninfluential', 'influential')",-0.28466275,-0.5719728,-1.167263,-1.4518385,0.2845755
31,-1.9940706,-1.74192,"('evil', 'good')",-1.5605493,-1.4669596,-1.7773099,-1.6044397,-0.1728702
5,-1.9858595,-1.6375858,"('distant', 'outgoing')",-0.7501613,-0.6050294,-1.3680104,-1.1213076,-0.2467028
78,-1.5392655,-1.2138603,"('nonresilient', 'resilient')",0.25748092,0.3181118,-0.6408923,-0.4478742,-0.1930181
19,-1.4528564,-1.12792,"('inhospitable', 'hospitable')",-0.5716199,-0.179601,-1.0122381,-0.6537605,-0.3584776
85,-1.3866706,-0.91156304,"('insignificant', 'prestigious')",-0.13453647,0.38208088,-0.7606035,-0.2647411,-0.4958624
12,-1.3453845,-1.3551924,"('unsupportive', 'supportive')",-1.5732232,-1.628521,-1.4593039,-1.4918567,0.0325528
25,-1.3424847,-1.081415,"('egoistic', 'altruistic')",1.0644246,1.3320688,-0.13903,0.1253269,-0.2643569
52,-1.1896617,-1.0927819,"('irrational', 'rational')",-0.5377041,-0.42864823,-0.8636829,-0.7607151,-0.1029678
66,-1.1737227,-1.379549,"('inactive', 'active')",0.495699,0.5310556,-0.3390119,-0.4242467,0.0852348
57,-1.1386423,-1.7957748,"('unimaginative', 'imaginative')",-1.8086671,-2.4584322,-1.4736547,-2.1271036,0.6534489
30,1.1179132,0.64658874,"('intolerant', 'tolerant')",1.8144802,1.5478226,1.4661968,1.0972056,0.3689912
58,-1.0821571,-1.641107,"('undiscriminating', 'discriminating')",0.31147847,-0.06280347,-0.3853393,-0.8519552,0.4666159
54,-1.0788503,-0.93329316,"('incapable', 'capable')",0.7836013,1.0357788,-0.1476245,0.0512428,-0.1988673
61,-1.0740528,-1.1357414,"('illogical', 'logical')",-0.11997691,-0.17572913,-0.5970148,-0.6557353,0.0587205
76,1.0120093,0.710152,"('anxious', 'daring')",0.59976614,0.42608792,0.8058877,0.5681199,0.2377678
44,1.0008214,1.075432,"('prejudiced', 'unprejudiced')",-1.5072511,-1.3347538,-0.2532149,-0.1296609,-0.123554
67,0.9923516,1.0520729,"('doubtful', 'determined')",0.10151667,0.07547255,0.5469341,0.5637727,-0.0168386
81,0.9843512,0.69289804,"('submissive', 'aggressive')",0.11533433,-0.058211446,0.5498428,0.3173433,0.2324995
28,-0.96895564,-1.2273427,"('disloyal', 'loyal')",0.84552646,0.70441514,-0.0617146,-0.2614638,0.1997492
10,-0.9569764,-1.4274372,"('unsympathetic', 'sympathetic')",0.22366345,-0.28729165,-0.3666565,-0.8573644,0.4907079
27,-0.9519239,-0.881967,"('hardhearted', 'softhearted')",1.0154325,1.0079184,0.0317543,0.0629757,-0.0312214
74,-0.9331528,-1.2256219,"('undedicated', 'dedicated')",-0.017154222,-0.31822306,-0.4751535,-0.7719225,0.296769
71,-0.9287398,-0.57842743,"('diffident', 'self-confident')",0.17887348,0.23909357,-0.3749332,-0.1696669,-0.2052663
63,-0.8960974,-1.23095,"('unperceptive', 'insightful')",1.3847841,1.0773991,0.2443433,-0.0767754,0.3211187
38,-0.895415,-1.1366019,"('untruthful', 'truthful')",-0.11572975,-0.030325625,-0.5055724,-0.5834638,0.0778914
73,0.8750464,0.8338271,"('helpless', 'self-reliant')",-2.709095,-2.6727114,-0.9170243,-0.9194422,0.0024179
0,-0.8565345,-1.3588828,"('unsociable', 'sociable')",-0.06397556,-0.40190515,-0.460255,-0.880394,0.420139
60,0.8431124,0.6584044,"('inefficient', 'efficient')",0.5611238,0.3787144,0.7021181,0.5185594,0.1835587
4,-0.8078363,-0.7526062,"('disliked', 'liked')",-5.7882605,-5.8683476,-3.2980485,-3.310477,0.0124285
16,-0.8060952,-0.55117583,"('unpopular', 'popular')",0.09433618,0.41354522,-0.3558795,-0.0688153,-0.2870642
56,0.7997011,0.3856505,"('impractical', 'practical')",0.5233962,-0.020529974,0.6615486,0.1825603,0.4789883
14,0.7543483,0.06418516,"('antisocial', 'social')",0.12386124,-0.4717655,0.4391048,-0.2037902,0.642895
42,0.7403263,0.48522982,"('unreliable', 'reliable')",-2.4909923,-2.7012336,-0.875333,-1.1080019,0.2326689
65,0.74022776,0.40612015,"('insecure', 'secure')",-0.24320766,-0.6080371,0.24851,-0.1009585,0.3494685
82,-0.7153379,-0.85958284,"('poor', 'rich')",5.409764,5.4198713,2.347213,2.2801442,0.0670688
77,-0.71337104,-0.22969365,"('unmotivated', 'motivated')",-0.6839453,-0.78435963,-0.6986582,-0.5070267,-0.1916315
59,-0.6886818,-0.56725246,"('foolish', 'wise')",0.1039354,0.21029219,-0.2923732,-0.1784801,-0.1138931
72,-0.68133724,-0.8304474,"('unambitious', 'ambitious')",-0.55712223,-0.8034115,-0.6192297,-0.8169295,0.1976998
24,-0.6076076,-0.88695085,"('dishonest', 'honest')",0.6710349,0.37129793,0.0317136,-0.2578264,0.28954
79,-0.5981858,-0.595321,"('wavering', 'unwavering')",-0.36353558,-0.30593613,-0.4808607,-0.4506286,-0.0302321
35,-0.547944,-0.5919677,"('corrupt', 'incorrupt')",-0.5137924,-0.15835238,-0.5308682,-0.37516,-0.1557082
46,-0.539694,-0.8350408,"('uncompetitive', 'competitive')",-0.118704244,-0.6472275,-0.3291991,-0.7411342,0.4119351
45,-0.53712827,-1.2495285,"('incompetent', 'competent')",0.33262256,-0.2625886,-0.1022529,-0.7560586,0.6538057
43,-0.5224606,-0.65359086,"('irresponsible', 'responsible')",0.81284124,0.4380554,0.1451903,-0.1077677,0.252958
84,0.51894546,0.53957766,"('inferior', 'superior')",1.1992956,1.2146906,0.8591205,0.8771341,-0.0180136
32,-0.48302224,-0.34546128,"('unkind', 'kind')",0.7737107,0.71385473,0.1453442,0.1841967,-0.0388525
39,0.482638,0.62381834,"('exploitative', 'cooperative')",0.0073448345,0.10106228,0.2449914,0.3624403,-0.1174489
33,-0.46776673,-0.46457314,"('wrong', 'right')",-0.7696437,-0.705601,-0.6187052,-0.5850871,-0.0336181
29,-0.46502826,-0.57403916,"('unfair', 'fair')",-0.5543345,-0.69457597,-0.5096814,-0.6343076,0.1246262
18,-0.42571598,-0.4715327,"('disagreeable', 'welcoming')",-0.67548233,-0.5871435,-0.5505992,-0.5293381,-0.0212611
41,-0.42066973,-0.76752585,"('unforgiving', 'forgiving')",0.17819676,0.011218503,-0.1212365,-0.3781537,0.2569172
37,0.39620957,-0.06430044,"('fake', 'genuine')",0.53687936,0.22887471,0.4665444,0.0822871,0.3842573
20,0.3893689,0.3227201,"('rough', 'thoughtful')",1.1694056,1.1866032,0.7793872,0.7546617,0.0247255
70,0.36356872,-0.24279357,"('lethargic', 'energetic')",1.2022631,0.67256284,0.7829159,0.2148846,0.5680313
51,-0.35954088,-0.7597963,"('uneducated', 'educated')",0.50752413,0.5453919,0.0739916,-0.1072022,0.1811938
11,-0.3557571,-0.6231387,"('unhelpful', 'helpful')",1.9876202,1.7323613,0.8159316,0.5546113,0.2613203
69,-0.34700882,0.06778066,"('lazy', 'industrious')",-0.5850402,-0.20361629,-0.4660245,-0.0679178,-0.3981067
3,-0.3439538,-0.3732996,"('repellent', 'pleasant')",0.06555601,-0.120097116,-0.1391989,-0.2466983,0.1074994
26,-0.3252955,-0.5936978,"('hardhearted', 'benevolent')",1.5511131,1.431216,0.6129088,0.4187591,0.1941497
