,perkinelmer_male,perkinelmer_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-2.011451,-1.9071901,"('uncreative', 'creative')",0.617703,0.46986306,-0.696874,-0.7186635,0.0217895
9,-1.7289134,-1.6254756,"('unaffectionate', 'caring')",1.09647,1.2624812,-0.3162217,-0.1814972,-0.1347245
6,-1.6062261,-1.6949407,"('distant', 'open')",0.18596111,0.21229418,-0.7101325,-0.7413232,0.0311907
36,-1.5599914,-1.5646002,"('hostile', 'amicable')",0.32887113,0.13681255,-0.6155601,-0.7138938,0.0983337
8,-1.5284246,-1.463077,"('unaffectionate', 'affectionate')",1.0964161,1.0635233,-0.2160043,-0.1997768,-0.0162275
1,-1.503875,-1.6442972,"('unfriendly', 'friendly')",1.767219,1.690246,0.131672,0.0229744,0.1086976
5,-1.3916224,-1.4561929,"('distant', 'outgoing')",-0.17031088,-0.10455756,-0.7809666,-0.7803752,-0.0005914
19,-1.3728366,-1.3692011,"('inhospitable', 'hospitable')",0.4020264,0.2576635,-0.4854051,-0.5557688,0.0703637
79,-1.3445876,-1.3729604,"('wavering', 'unwavering')",-0.026198896,-0.17969455,-0.6853932,-0.7763275,0.0909343
10,-1.2800252,-1.7491474,"('unsympathetic', 'sympathetic')",-0.4104591,-0.6469175,-0.8452421,-1.1980325,0.3527904
31,-1.1981689,-1.0744301,"('evil', 'good')",-0.9348138,-0.93864226,-1.0664914,-1.0065362,-0.0599552
81,1.1962022,0.968535,"('submissive', 'aggressive')",-0.88340324,-0.89565927,0.1563995,0.0364379,0.1199616
38,-1.1376779,-1.1393402,"('untruthful', 'truthful')",-0.2744066,-0.11346458,-0.7060423,-0.6264024,-0.0796399
85,-0.99462986,-1.1490854,"('insignificant', 'prestigious')",0.78145444,0.60436577,-0.1065877,-0.2723598,0.1657721
23,-0.97588617,-0.8528718,"('insincere', 'sincere')",5.30675,5.763422,2.1654317,2.4552751,-0.2898434
24,-0.9756945,-1.1620619,"('dishonest', 'honest')",0.42660818,0.46776104,-0.2745432,-0.3471504,0.0726072
63,-0.9702666,-0.9982711,"('unperceptive', 'insightful')",0.9971261,1.0766636,0.0134298,0.0391963,-0.0257665
72,-0.95617026,-0.8619762,"('unambitious', 'ambitious')",-1.2363311,-0.99536854,-1.0962507,-0.9286724,-0.1675783
78,-0.9227239,-0.6367437,"('nonresilient', 'resilient')",0.4631618,0.62260765,-0.229781,-0.007068,-0.222713
61,-0.9167107,-1.1465906,"('illogical', 'logical')",0.08871466,0.06373735,-0.413998,-0.5414266,0.1274286
60,0.9038257,0.949373,"('inefficient', 'efficient')",-0.28656715,0.067343205,0.3086293,0.5083581,-0.1997288
54,-0.88326144,-0.85192025,"('incapable', 'capable')",1.2466891,1.2497377,0.1817138,0.1989087,-0.0171949
69,0.84753096,0.76087654,"('lazy', 'industrious')",-0.38254264,-0.51158947,0.2324942,0.1246435,0.1078507
88,-0.8423333,-1.077482,"('low', 'eminent')",0.17553143,0.15005746,-0.3334009,-0.4637123,0.1303114
16,-0.8100366,-0.71955574,"('unpopular', 'popular')",0.25347412,0.2861014,-0.2782812,-0.2167272,-0.061554
44,0.7712477,0.6964841,"('prejudiced', 'unprejudiced')",-1.6212976,-1.728814,-0.425025,-0.516165,0.09114
52,-0.7657707,-0.8945958,"('irrational', 'rational')",0.41691646,0.34443986,-0.1744271,-0.275078,0.1006509
66,-0.75226516,-1.2130779,"('inactive', 'active')",0.5179542,0.12182346,-0.1171555,-0.5456272,0.4284717
56,0.75151443,0.65397966,"('impractical', 'practical')",-0.56648916,-0.3083015,0.0925126,0.1728391,-0.0803265
86,-0.7366112,-1.1060973,"('uninfluential', 'influential')",-0.08501857,-0.36288947,-0.4108149,-0.7344934,0.3236785
71,-0.7008441,-0.62675184,"('diffident', 'self-confident')",0.294104,0.30955443,-0.20337,-0.1585987,-0.0447713
64,0.6956083,0.41832083,"('shy', 'confident')",-6.298696,-6.5998783,-2.801544,-3.0907788,0.2892348
39,0.6953902,0.7012844,"('exploitative', 'cooperative')",0.17588739,0.26284572,0.4356388,0.4820651,-0.0464263
28,-0.6913804,-0.66579735,"('disloyal', 'loyal')",0.62049234,0.75057733,-0.035444,0.04239,-0.077834
27,-0.66814893,-0.5357675,"('hardhearted', 'softhearted')",1.5126296,1.5697274,0.4222403,0.5169799,-0.0947396
80,0.6418614,0.62281185,"('dominated', 'dominating')",-1.4263813,-1.3695134,-0.39226,-0.3733508,-0.0189092
77,-0.63065743,-0.6427173,"('unmotivated', 'motivated')",-1.4379861,-1.2539874,-1.0343218,-0.9483523,-0.0859695
14,0.62227356,0.6127081,"('antisocial', 'social')",-0.6186317,-0.53933716,0.0018209,0.0366855,-0.0348646
67,0.61919594,0.4913075,"('doubtful', 'determined')",-0.76219815,-0.75424,-0.0715011,-0.1314662,0.0599651
62,0.61796,0.54334843,"('incompetent', 'brilliant')",-0.22013691,0.14980252,0.1989115,0.3465755,-0.147664
73,0.60754997,0.6778979,"('helpless', 'self-reliant')",-2.6482737,-2.6386957,-1.0203619,-0.9803989,-0.039963
82,-0.60197973,-0.5206574,"('poor', 'rich')",5.5652213,5.8443527,2.4816208,2.6618476,-0.1802268
25,-0.5890544,-0.3670919,"('egoistic', 'altruistic')",1.470287,1.4587165,0.4406163,0.5458123,-0.105196
11,-0.584634,-0.6436845,"('unhelpful', 'helpful')",1.7030158,1.7150708,0.5591909,0.5356932,0.0234977
3,-0.5827359,-0.61883336,"('repellent', 'pleasant')",0.18224691,0.1025223,-0.2002445,-0.2581555,0.057911
35,-0.5758348,-0.41538557,"('corrupt', 'incorrupt')",-0.16969457,-0.14989807,-0.3727647,-0.2826418,-0.0901229
55,0.57205486,0.46255767,"('incompetent', 'clever')",-0.05885426,-0.005325038,0.2566003,0.2286163,0.027984
2,0.5565202,0.4992624,"('unlikable', 'likable')",0.54580957,0.42629856,0.5511649,0.4627805,0.0883844
