,m&t_male,m&t_female,tuple,bank_male,bank_female,corp_male,corp_female,average_male,average_female,male-female
8,-2.0978978,-1.3440206,"('unaffectionate', 'affectionate')",0.1552926,0.40854174,0.43917632,0.37960938,-0.5011429,-0.1852898,-0.3158531
24,-2.040733,-1.3498749,"('dishonest', 'honest')",-1.2072362,-0.84923244,0.6418807,0.77202207,-0.8686961,-0.4756951,-0.393001
4,1.9065045,1.802896,"('disliked', 'liked')",1.0064385,0.9295643,0.9147172,0.61704004,1.2758867,1.1165001,0.1593866
73,1.7188983,1.8287807,"('helpless', 'self-reliant')",0.72049195,0.89823914,1.2022243,1.4135807,1.2138715,1.3802001,-0.1663286
27,-1.6967636,-1.3149829,"('hardhearted', 'softhearted')",-1.3328073,-1.2244819,-0.19751304,-0.21850492,-1.0756947,-0.9193233,-0.1563714
59,1.5860147,1.5952284,"('foolish', 'wise')",1.7389694,1.7531215,0.72486985,0.9437483,1.3499513,1.4306995,-0.0807482
10,-1.5688571,-1.7111652,"('unsympathetic', 'sympathetic')",-2.2911682,-2.2279317,-0.95261735,-1.0158191,-1.6042142,-1.6516387,0.0474245
86,-1.5112095,-1.2286785,"('uninfluential', 'influential')",-2.0727148,-1.9057328,-1.3947775,-1.1740153,-1.6595672,-1.4361423,-0.2234249
48,-1.4523939,-1.3782067,"('unintelligent', 'intelligent')",-1.8546379,-1.6365083,-1.8388348,-1.7410028,-1.7152888,-1.5852394,-0.1300494
85,1.4355583,1.7540938,"('insignificant', 'prestigious')",3.0247536,2.9605865,1.5553705,1.6004766,2.0052274,2.1050523,-0.0998249
1,-1.4261458,-1.19176,"('unfriendly', 'friendly')",-0.39975044,-0.36261362,-0.26326078,-0.55749327,-0.6963857,-0.7039556,0.0075699
2,1.3036308,1.7668318,"('unlikable', 'likable')",1.5987602,1.8359889,1.6941423,1.7693106,1.5321778,1.7907104,-0.2585326
51,1.2903882,1.0362387,"('uneducated', 'educated')",-0.07699606,-0.19330148,-0.32686415,-0.5034781,0.2955093,0.113153,0.1823563
23,-1.2779338,-1.2995183,"('insincere', 'sincere')",-1.9927679,-2.0660625,0.0010499954,0.071705185,-1.089884,-1.0979586,0.0080746
47,-1.2721851,-1.1581541,"('stupid', 'smart')",-0.9194285,-0.86901015,-0.26241434,0.035201002,-0.8180094,-0.6639878,-0.1540216
65,-1.2477846,-1.1813112,"('insecure', 'secure')",-1.6464072,-1.5077891,-1.1625489,-1.0764031,-1.3522469,-1.2551678,-0.0970791
