,masco_male,masco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-1.6938062,-1.9774861,"('distant', 'open')",-0.67009056,-0.85375386,-1.1819484,-1.41562,0.2336716
19,-1.6765908,-1.7902493,"('inhospitable', 'hospitable')",-0.7540495,-0.8395093,-1.2153201,-1.3148793,0.0995592
86,-1.3700668,-1.5095541,"('uninfluential', 'influential')",-0.42393023,-0.63831717,-0.8969985,-1.0739356,0.1769371
53,-1.3627878,-1.44015,"('uncreative', 'creative')",0.37344623,0.14538005,-0.4946708,-0.647385,0.1527142
79,-1.3097557,-1.1847857,"('wavering', 'unwavering')",-0.9113217,-0.79793304,-1.1105387,-0.9913594,-0.1191793
1,-1.2169232,-1.5257077,"('unfriendly', 'friendly')",1.4286455,1.0527406,0.1058611,-0.2364836,0.3423447
9,-1.1607339,-1.4171778,"('unaffectionate', 'caring')",0.8610123,0.7795787,-0.1498608,-0.3187996,0.1689388
8,-1.0809215,-1.3286409,"('unaffectionate', 'affectionate')",0.6408579,0.44052598,-0.2200318,-0.4440575,0.2240257
5,-1.0595722,-1.2713665,"('distant', 'outgoing')",-0.7601192,-0.8251792,-0.9098457,-1.0482728,0.1384271
23,-1.0111922,-0.9321527,"('insincere', 'sincere')",5.159105,5.379794,2.0739563,2.2238207,-0.1498644
66,-1.004772,-1.1131895,"('inactive', 'active')",0.2822814,0.069802634,-0.3612453,-0.5216934,0.1604481
82,-0.9832462,-0.7258139,"('poor', 'rich')",5.894185,5.9183908,2.4554694,2.5962884,-0.140819
31,-0.97353005,-1.2067847,"('evil', 'good')",-0.5930284,-0.9347497,-0.7832792,-1.0707672,0.287488
30,0.9584929,1.0474762,"('intolerant', 'tolerant')",0.85942847,1.0117781,0.9089607,1.0296271,-0.1206664
73,0.94408804,0.9417149,"('helpless', 'self-reliant')",-3.109284,-3.0534544,-1.082598,-1.0558698,-0.0267282
11,-0.9248799,-0.7093124,"('unhelpful', 'helpful')",1.0794544,1.3715616,0.0772873,0.3311246,-0.2538373
57,-0.9244821,-0.90827507,"('unimaginative', 'imaginative')",-2.9491897,-3.1209486,-1.9368359,-2.0146117,0.0777758
28,-0.90776634,-0.9930203,"('disloyal', 'loyal')",0.7706262,0.8251613,-0.0685701,-0.0839295,0.0153594
51,-0.89367515,-0.9012931,"('uneducated', 'educated')",0.25430894,0.09693117,-0.3196831,-0.402181,0.0824979
38,-0.89314294,-0.7605423,"('untruthful', 'truthful')",-0.69907033,-0.42900294,-0.7961066,-0.5947726,-0.201334
44,0.88597304,1.0043272,"('prejudiced', 'unprejudiced')",-1.3060318,-1.0071924,-0.2100294,-0.0014326,-0.2085968
60,0.85153246,0.98500925,"('inefficient', 'efficient')",0.09225151,0.24813086,0.471892,0.6165701,-0.1446781
39,0.84818286,0.630349,"('exploitative', 'cooperative')",0.06980695,0.19509394,0.4589949,0.4127215,0.0462734
58,-0.84207255,-1.0147046,"('undiscriminating', 'discriminating')",0.25629103,0.14739633,-0.2928908,-0.4336541,0.1407633
36,-0.8054766,-1.0459706,"('hostile', 'amicable')",-0.04289516,-0.44387406,-0.4241859,-0.7449223,0.3207364
7,-0.79318213,-0.6574977,"('insensitive', 'sensitive')",0.28240943,0.45076045,-0.2553864,-0.1033686,-0.1520178
54,-0.7019894,-0.6447898,"('incapable', 'capable')",0.38216865,0.5143661,-0.1599104,-0.0652119,-0.0946985
52,-0.700496,-1.1061772,"('irrational', 'rational')",-0.015055899,-0.27652368,-0.357776,-0.6913505,0.3335745
81,0.6798321,0.971062,"('submissive', 'aggressive')",-0.63336223,-0.31015062,0.0232349,0.3304557,-0.3072208
10,-0.6664501,-0.51265264,"('unsympathetic', 'sympathetic')",-0.5699869,-0.56620777,-0.6182185,-0.5394302,-0.0787883
2,0.66148496,0.80127317,"('unlikable', 'likable')",0.61781,0.68623364,0.6396475,0.7437534,-0.1041059
18,-0.6523251,-0.7217839,"('disagreeable', 'welcoming')",-0.41454896,-0.6220073,-0.533437,-0.6718956,0.1384586
14,0.65227467,0.8100679,"('antisocial', 'social')",0.37038708,0.41784066,0.5113308,0.6139543,-0.1026235
16,-0.65222496,-0.47756523,"('unpopular', 'popular')",0.2055614,0.14078623,-0.2233318,-0.1683895,-0.0549423
63,-0.639306,-0.44290513,"('unperceptive', 'insightful')",0.40935186,0.528247,-0.1149771,0.0426709,-0.157648
43,-0.63568646,-0.44363892,"('irresponsible', 'responsible')",0.16975315,0.38489592,-0.2329667,-0.0293715,-0.2035952
64,0.62859046,0.61314535,"('shy', 'confident')",-6.107139,-6.086587,-2.7392743,-2.7367208,-0.0025535
78,-0.6258939,-0.4876598,"('nonresilient', 'resilient')",0.09472268,0.07968896,-0.2655856,-0.2039854,-0.0616002
87,0.6119094,0.67377067,"('unsuccessful', 'successful')",0.78417146,0.83117646,0.6980404,0.7524736,-0.0544332
76,0.606005,0.7780947,"('anxious', 'daring')",-0.4024936,-0.09851278,0.1017557,0.339791,-0.2380353
35,-0.59066904,-0.6076722,"('corrupt', 'incorrupt')",-0.25479183,-0.3946211,-0.4227304,-0.5011467,0.0784163
71,-0.586298,-0.5749948,"('diffident', 'self-confident')",0.03426592,0.21118078,-0.276016,-0.181907,-0.094109
62,0.58084303,0.9108068,"('incompetent', 'brilliant')",0.29044107,0.52164644,0.4356421,0.7162266,-0.2805845
84,0.5326092,0.44807965,"('inferior', 'superior')",1.1192238,0.97077805,0.8259165,0.7094288,0.1164877
29,-0.50549126,-0.5390704,"('unfair', 'fair')",-0.36389965,-0.6645191,-0.4346955,-0.6017947,0.1670992
55,0.487613,0.5955889,"('incompetent', 'clever')",0.5548746,0.44198936,0.5212438,0.5187892,0.0024546
32,-0.47965163,-0.34607735,"('unkind', 'kind')",0.38008717,0.43466443,-0.0497822,0.0442935,-0.0940757
70,-0.46567526,-0.16603377,"('lethargic', 'energetic')",0.16959882,0.4241559,-0.1480382,0.1290611,-0.2770993
88,-0.46325397,-0.45944056,"('low', 'eminent')",-0.47245884,-0.3694818,-0.4678564,-0.4144612,-0.0533952
50,-0.45456836,-0.2268049,"('clumsy', 'skillful')",-0.16137075,-0.097597934,-0.3079696,-0.1622014,-0.1457682
12,-0.44478098,-0.40549716,"('unsupportive', 'supportive')",-2.1136715,-2.0941257,-1.2792263,-1.2498114,-0.0294149
80,0.43302327,0.5257927,"('dominated', 'dominating')",-1.0206594,-0.79265386,-0.2938181,-0.1334306,-0.1603875
42,0.39923978,0.7541547,"('unreliable', 'reliable')",-3.3108187,-3.1337433,-1.4557894,-1.1897943,-0.2659951
