,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.5034876,-2.602601,"('unfriendly', 'friendly')",1.65942,1.5866532,-0.4220338,-0.5079739,0.0859401
9,-2.049258,-1.9188089,"('unaffectionate', 'caring')",1.0788311,1.1436611,-0.4852135,-0.3875739,-0.0976396
53,-1.9515389,-1.7612406,"('uncreative', 'creative')",0.80163234,0.78432244,-0.5749533,-0.4884591,-0.0864942
86,-1.9423547,-2.086945,"('uninfluential', 'influential')",0.15889502,-0.17285949,-0.8917298,-1.1299022,0.2381724
8,-1.7503154,-1.8183491,"('unaffectionate', 'affectionate')",0.73102033,0.69695526,-0.5096475,-0.560697,0.0510495
19,-1.6562766,-1.3739878,"('inhospitable', 'hospitable')",-0.024805387,0.27037275,-0.840541,-0.5518075,-0.2887335
0,-1.5848347,-1.5206733,"('unsociable', 'sociable')",-0.35960248,-0.41313013,-0.9722186,-0.9669017,-0.0053169
69,1.4867581,1.0877973,"('lazy', 'industrious')",-0.6108158,-0.53648984,0.4379711,0.2756537,0.1623174
57,-1.4565773,-1.3358335,"('unimaginative', 'imaginative')",-2.3857636,-2.576406,-1.9211705,-1.9561198,0.0349493
12,-1.4249054,-1.3118321,"('unsupportive', 'supportive')",-1.6954709,-1.721623,-1.5601882,-1.5167274,-0.0434608
5,-1.3955684,-1.409161,"('distant', 'outgoing')",-0.27194747,0.02680374,-0.8337579,-0.6911786,-0.1425793
6,-1.3468137,-1.4312276,"('distant', 'open')",0.15470277,0.3140018,-0.5960554,-0.5586129,-0.0374425
28,-1.2635874,-1.1155336,"('disloyal', 'loyal')",0.9560914,0.99238527,-0.153748,-0.0615742,-0.0921738
71,-1.1686022,-1.1212143,"('diffident', 'self-confident')",0.3927563,0.3721589,-0.3879229,-0.3745277,-0.0133952
23,-1.1580743,-0.74777204,"('insincere', 'sincere')",6.0451145,6.186117,2.4435201,2.7191725,-0.2756524
31,-1.1288513,-1.424306,"('evil', 'good')",-1.343971,-1.410282,-1.2364111,-1.417294,0.1808829
77,-1.1008583,-0.96504396,"('unmotivated', 'motivated')",-1.1330854,-0.9706167,-1.1169719,-0.9678303,-0.1491416
18,-1.0190598,-0.8114417,"('disagreeable', 'welcoming')",-0.35239792,-0.2742565,-0.6857288,-0.5428491,-0.1428797
44,1.008962,1.0712692,"('prejudiced', 'unprejudiced')",-1.5664551,-1.4642923,-0.2787465,-0.1965116,-0.0822349
52,-0.9828502,-1.1406798,"('irrational', 'rational')",-0.23301223,-0.23006128,-0.6079312,-0.6853706,0.0774394
3,-0.9735521,-0.97799987,"('repellent', 'pleasant')",0.11651476,-0.11529763,-0.4285187,-0.5466487,0.11813
11,-0.958935,-0.37046975,"('unhelpful', 'helpful')",2.1203403,2.303983,0.5807027,0.9667566,-0.3860539
73,0.8978712,0.9612495,"('helpless', 'self-reliant')",-3.14276,-3.1095858,-1.1224444,-1.0741682,-0.0482762
46,-0.8977016,-0.8538871,"('uncompetitive', 'competitive')",-0.5332662,-0.60061044,-0.7154839,-0.7272488,0.0117649
43,-0.8915497,-0.6989467,"('irresponsible', 'responsible')",0.6527027,0.7072629,-0.1194235,0.0041581,-0.1235816
38,-0.85668695,-0.5966838,"('untruthful', 'truthful')",-0.05100611,0.3209033,-0.4538465,-0.1378902,-0.3159563
36,-0.8167014,-0.98462844,"('hostile', 'amicable')",-0.2604421,-0.20226508,-0.5385718,-0.5934467,0.0548749
2,0.8089831,1.1498537,"('unlikable', 'likable')",0.35236463,0.49652797,0.5806739,0.8231908,-0.2425169
55,-0.8064102,-0.81059676,"('incompetent', 'clever')",0.14834067,-0.11880687,-0.3290347,-0.4647018,0.1356671
61,-0.7907847,-0.70267713,"('illogical', 'logical')",0.07117708,0.082780235,-0.3598038,-0.3099484,-0.0498554
32,-0.7824776,-0.5879592,"('unkind', 'kind')",1.0309193,1.0235496,0.1242208,0.2177952,-0.0935744
67,0.7636544,0.8510633,"('doubtful', 'determined')",-0.479568,-0.21319655,0.1420432,0.3189334,-0.1768902
35,0.73984826,0.5497468,"('corrupt', 'incorrupt')",-0.45869192,-0.30869305,0.1405782,0.1205269,0.0200513
84,0.7355739,0.614566,"('inferior', 'superior')",1.1262059,1.1438315,0.9308899,0.8791988,0.0516911
10,-0.71967745,-0.69834524,"('unsympathetic', 'sympathetic')",0.025778988,-0.1283055,-0.3469492,-0.4133254,0.0663762
42,0.6657901,0.90454644,"('unreliable', 'reliable')",-2.8536787,-2.9178672,-1.0939443,-1.0066603,-0.087284
45,-0.66426194,-0.59904027,"('incompetent', 'competent')",0.0025703087,-0.08601843,-0.3308458,-0.3425294,0.0116836
72,-0.65307283,-0.692242,"('unambitious', 'ambitious')",-0.8144279,-0.9506619,-0.7337503,-0.821452,0.0877017
24,-0.63838476,-0.5053496,"('dishonest', 'honest')",0.84026325,0.9073695,0.1009392,0.20101,-0.1000708
13,-0.63020134,-0.32360095,"('impolite', 'polite')",-0.33452585,-0.20813265,-0.4823636,-0.2658668,-0.2164968
63,-0.61601937,-0.44163474,"('unperceptive', 'insightful')",1.1391246,0.99428636,0.2615526,0.2763258,-0.0147732
16,-0.6073589,-0.62801254,"('unpopular', 'popular')",0.31485105,0.40607223,-0.1462539,-0.1109702,-0.0352837
50,0.59474105,0.5742972,"('clumsy', 'skillful')",0.3204421,0.32588214,0.4575916,0.4500897,0.0075019
54,-0.5789232,-0.37872905,"('incapable', 'capable')",1.1681246,1.3999811,0.2946007,0.5106261,-0.2160254
4,-0.5722004,-0.4833954,"('disliked', 'liked')",-6.4697313,-6.3562956,-3.5209658,-3.4198456,-0.1011202
7,-0.5689684,-0.2622487,"('insensitive', 'sensitive')",0.80304766,0.7159102,0.1170396,0.2268308,-0.1097912
81,0.5592767,0.97892505,"('submissive', 'aggressive')",-0.29010808,-0.2390879,0.1345843,0.3699186,-0.2353343
20,0.52013516,0.2893163,"('rough', 'thoughtful')",1.1417198,0.9072301,0.8309275,0.5982732,0.2326543
29,-0.52005506,-0.6501972,"('unfair', 'fair')",-0.4085821,-0.6915628,-0.4643186,-0.67088,0.2065614
78,-0.49727786,-0.65869427,"('nonresilient', 'resilient')",0.12937006,0.15145129,-0.1839539,-0.2536215,0.0696676
25,-0.49009585,-0.41143054,"('egoistic', 'altruistic')",1.2717888,1.2720368,0.3908465,0.4303031,-0.0394566
59,-0.4742145,-0.44094858,"('foolish', 'wise')",0.33389065,0.42552683,-0.0701619,-0.0077109,-0.062451
34,0.47161022,0.53781444,"('mean', 'honorable')",6.4125333,6.586253,3.4420717,3.5620339,-0.1199622
51,-0.3769621,-0.1200424,"('uneducated', 'educated')",0.92095107,0.7366265,0.2719945,0.3082921,-0.0362976
22,-0.35742927,-0.2974731,"('untrustworthy', 'trustworthy')",-1.0749564,-1.3160464,-0.7161928,-0.8067597,0.0905669
41,-0.34667188,-0.28183556,"('unforgiving', 'forgiving')",0.029330224,-0.12915352,-0.1586708,-0.2054945,0.0468237
76,0.3424116,0.62143946,"('anxious', 'daring')",0.26570162,0.39551473,0.3040566,0.5084771,-0.2044205
85,-0.32246485,-0.28984433,"('insignificant', 'prestigious')",0.258821,0.42098826,-0.0318219,0.065572,-0.0973939
79,-0.32207632,-0.04009381,"('wavering', 'unwavering')",0.05780295,0.30219197,-0.1321367,0.1310491,-0.2631858
27,-0.3143165,-0.6514282,"('hardhearted', 'softhearted')",1.4840306,1.2912495,0.584857,0.3199106,0.2649464
66,-0.28200755,-0.40026003,"('inactive', 'active')",0.7637281,0.7171797,0.2408603,0.1584598,0.0824005
