,merrill_male,merrill_female,tuple,lynch_male,lynch_female,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
85,3.4787447,3.4580107,"('insignificant', 'prestigious')",2.773063,2.8977473,2.257071,2.3114088,2.265346,2.2667615,1.284232,1.6157805,2.4116915,2.5099419,-0.0982504
66,2.8193798,2.669623,"('inactive', 'active')",2.474586,2.349937,2.5281293,2.480793,3.198979,3.0812645,2.005781,1.9848111,2.6053711,2.5132856,0.0920855
26,2.4741573,2.5964518,"('hardhearted', 'benevolent')",1.5115157,1.7235708,2.419098,2.4039688,1.4057854,1.4417878,1.6598021,1.8723111,1.8940718,2.007618,-0.1135462
2,2.395742,2.6001537,"('unlikable', 'likable')",1.8763394,2.0060964,1.786907,1.9146268,1.5968775,1.6746498,0.6019249,0.80774486,1.6515583,1.8006544,-0.1490961
33,2.332069,2.3313267,"('wrong', 'right')",1.2810282,1.2783911,0.35769174,0.38136816,0.53526103,0.5689643,-0.40177625,-0.1571081,0.8208548,0.8805884,-0.0597336
83,2.3305197,2.2348819,"('powerless', 'powerful')",1.4491109,1.3902968,0.86623144,0.82520086,0.69094414,0.6428535,-0.14672606,-0.32000092,1.038016,0.9546464,0.0833696
5,2.2814808,2.0721958,"('distant', 'outgoing')",1.1571664,1.078165,0.38209483,0.38065737,0.6561566,0.7210303,-0.15503448,0.11164023,0.8643728,0.8727378,-0.008365
45,-2.227581,-2.0939138,"('incompetent', 'competent')",-1.3850844,-1.3321122,-0.08869663,-0.14097804,-2.7423804,-2.7229333,-0.56949717,-0.6484438,-1.402648,-1.3876761,-0.0149719
9,2.0022283,2.0545616,"('unaffectionate', 'caring')",1.1624242,1.3408315,0.098395914,0.13365301,-0.43537077,-0.44418243,1.9309778,2.1854925,0.9517311,1.0540712,-0.1023401
81,-1.994723,-1.9237257,"('submissive', 'aggressive')",-1.3270125,-1.3446468,0.65195024,0.5821631,-1.4327257,-1.4003547,-1.3016105,-1.4849901,-1.0808242,-1.1143108,0.0334866
10,-1.981852,-1.8335248,"('unsympathetic', 'sympathetic')",-1.6218678,-1.4683475,-0.050747044,-0.033751026,-2.06093,-2.0381494,-0.017843965,-0.085412264,-1.1466482,-1.0918369,-0.0548113
6,1.868594,1.6803474,"('distant', 'open')",1.1657529,1.1630268,0.6109191,0.55762786,0.54896617,0.5708622,0.8100108,1.044146,1.0008486,1.0032021,-0.0023535
1,1.7974813,1.8175282,"('unfriendly', 'friendly')",0.2689111,0.48021284,-0.012848589,-0.00043858262,-0.6975141,-0.7125615,2.0314922,2.3720634,0.6775044,0.7913609,-0.1138565
52,1.7061603,1.5878304,"('irrational', 'rational')",0.29654306,0.3265585,-0.8530812,-0.87585664,-0.48577052,-0.48224345,0.04179204,0.24641696,0.1411287,0.1605412,-0.0194125
53,1.673768,1.6859953,"('uncreative', 'creative')",0.06855118,0.15109687,1.007386,1.0346057,0.284506,0.23593432,1.2840244,1.3862062,0.8636472,0.8987677,-0.0351205
73,1.6589538,1.6900522,"('helpless', 'self-reliant')",1.3315027,1.3617256,-0.51277316,-0.41262504,1.340382,1.4071708,-3.858093,-3.6378212,-0.0080055,0.0817005,-0.089706
69,1.5384136,1.4804322,"('lazy', 'industrious')",2.176237,2.0923676,0.23394327,0.11104582,2.7317884,2.7231095,-0.5163294,-0.38154083,1.2328106,1.2050828,0.0277278
84,1.5354233,1.3864282,"('inferior', 'superior')",0.91404206,0.8031545,1.2376764,1.117586,0.81548446,0.7666328,0.8788099,0.90859807,1.0762872,0.99648,0.0798072
58,1.5353681,1.591659,"('undiscriminating', 'discriminating')",0.40630916,0.5835364,0.41936567,0.52688074,0.8263892,0.8621341,0.08557378,0.19439794,0.6546012,0.7517216,-0.0971204
61,1.4793564,1.5360105,"('illogical', 'logical')",0.64104676,0.6399582,0.6375487,0.6187512,-0.5782488,-0.57506037,0.32607323,0.36331192,0.5011553,0.5165943,-0.015439
22,-1.4586163,-1.2474804,"('untrustworthy', 'trustworthy')",-1.1929079,-1.0668085,-0.373352,-0.25935432,-2.0278893,-1.8990878,-1.2598268,-1.2725178,-1.2625184,-1.1490498,-0.1134686
0,-1.4327666,-1.3301821,"('unsociable', 'sociable')",-1.388606,-1.389496,-0.046125453,-0.07938716,-1.368745,-1.395159,-0.5149741,-0.67690897,-0.9502434,-0.9742267,0.0239833
79,1.4325905,1.4032294,"('wavering', 'unwavering')",1.7124299,1.7183865,1.0017984,0.93786037,0.7506351,0.74988776,0.49364755,0.62880117,1.0782204,1.0876331,-0.0094127
54,1.3780186,1.5518262,"('incapable', 'capable')",0.8637527,0.96593684,1.2637378,1.3582048,0.33485913,0.43589526,1.3834317,1.6680995,1.0447599,1.1959926,-0.1512327
55,-1.3400799,-1.2796733,"('incompetent', 'clever')",-1.7980396,-1.8295537,0.36508715,0.2872946,-2.174012,-2.19322,-0.1299738,-0.36094496,-1.0154037,-1.0752194,0.0598157
20,1.3254788,1.3360863,"('rough', 'thoughtful')",-0.106848754,-0.12676844,1.0634356,1.0013605,-0.055878025,-0.060013004,0.8393778,0.80771565,0.6131131,0.5916762,0.0214369
36,1.299827,1.153586,"('hostile', 'amicable')",1.0585346,1.0843592,-0.26780915,-0.4165408,1.5872395,1.5119966,0.62553287,0.6070535,0.8606649,0.7880908,0.0725741
12,1.2509179,1.3109795,"('unsupportive', 'supportive')",1.4845123,1.6199745,1.1119103,1.2208796,-0.7272266,-0.653448,-1.3077422,-1.1962805,0.3624743,0.460421,-0.0979467
29,1.2180904,1.103716,"('unfair', 'fair')",0.3255243,0.37789857,-0.21187095,-0.12978013,-0.7019282,-0.65531796,-0.5664133,-0.5157942,0.0126805,0.0361444,-0.0234639
87,1.2165515,1.3112737,"('unsuccessful', 'successful')",0.9528825,0.9597752,2.0876923,2.101386,1.3778396,1.470639,1.1647744,1.2407259,1.3599481,1.41676,-0.0568119
70,-1.2134197,-0.9514071,"('lethargic', 'energetic')",-0.30298874,-0.11395427,1.0510612,1.2262821,-1.619439,-1.4928249,0.8017509,0.7645514,-0.2566071,-0.1134706,-0.1431365
71,1.1914454,1.2307483,"('diffident', 'self-confident')",1.5852365,1.6297715,0.17242053,0.1462676,-0.09590251,-0.09977034,0.87014407,1.0919045,0.7446688,0.7997844,-0.0551156
78,1.1847417,1.0967377,"('nonresilient', 'resilient')",0.81435925,0.73015445,1.6019828,1.4722245,1.4623022,1.3677433,1.3543851,1.2036574,1.2835543,1.1741034,0.1094509
3,-1.1459546,-1.0565342,"('repellent', 'pleasant')",-1.0395266,-1.030737,-0.37547073,-0.42006564,0.8968913,0.8635446,0.2177026,0.015282026,-0.2892715,-0.325702,0.0364305
