,cincinnati_male,cincinnati_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
60,2.2662039,2.2219265,"('inefficient', 'efficient')",-0.7886146,-0.5422372,0.48096713,0.6768711,0.6528522,0.7855201,-0.1326679
16,-1.9880373,-2.020491,"('unpopular', 'popular')",-0.34446245,-0.48090768,-0.4338376,-0.456617,-0.9221125,-0.9860051,0.0638926
63,1.9376917,2.043216,"('unperceptive', 'insightful')",1.030282,1.1373019,0.78475535,0.8712567,1.2509096,1.3505915,-0.0996819
10,1.9116709,1.5164238,"('unsympathetic', 'sympathetic')",-1.2753848,-1.4520683,0.6721496,0.5620457,0.4361452,0.2088004,0.2273448
23,1.8895346,1.8246086,"('insincere', 'sincere')",0.25509846,0.3658412,6.227565,6.410284,2.7907327,2.8669113,-0.0761786
70,1.6984133,1.7841151,"('lethargic', 'energetic')",-0.09950608,-0.035125963,1.1838644,1.2796553,0.9275905,1.0095482,-0.0819577
36,-1.6895307,-1.7393072,"('hostile', 'amicable')",0.7456005,0.55002075,-1.467463,-1.5563838,-0.8037977,-0.9152234,0.1114257
32,1.6375488,1.5804505,"('unkind', 'kind')",-0.07004945,-0.061277356,0.75497615,0.8121032,0.7741585,0.7770921,-0.0029336
35,-1.6345366,-1.5161929,"('corrupt', 'incorrupt')",-0.41322383,-0.48227215,-1.8543775,-1.9467077,-1.3007127,-1.3150576,0.0143449
26,1.564789,1.4635503,"('hardhearted', 'benevolent')",2.0134869,1.9713736,1.1786242,1.1502063,1.5856333,1.5283767,0.0572566
74,1.5012172,1.4807949,"('undedicated', 'dedicated')",0.42151386,0.48476085,-0.34123182,-0.3038982,0.5271664,0.5538859,-0.0267195
43,1.4975996,1.427415,"('irresponsible', 'responsible')",0.24993952,0.37970224,0.5125959,0.61280763,0.7533784,0.8066416,-0.0532632
24,1.4801011,1.437425,"('dishonest', 'honest')",-0.13309363,-0.117437035,0.4974157,0.55255824,0.6148077,0.6241821,-0.0093744
71,1.4633923,1.3660432,"('diffident', 'self-confident')",1.736085,1.8036816,-0.13197888,-0.0958145,1.0224994,1.0246368,-0.0021374
39,1.4174161,1.3204257,"('exploitative', 'cooperative')",0.64856416,0.67716444,0.51385087,0.42138067,0.8599437,0.8063236,0.0536201
51,1.3916832,1.2015289,"('uneducated', 'educated')",-0.19182296,-0.3281234,0.89024925,0.7955229,0.6967031,0.5563095,0.1403936
14,1.3848604,1.1620492,"('antisocial', 'social')",1.6213932,1.5905914,0.5245669,0.5084408,1.1769402,1.0870272,0.089913
7,1.347681,1.2064859,"('insensitive', 'sensitive')",0.4593137,0.48737702,1.0185049,1.0274534,0.9418332,0.9071054,0.0347278
40,1.3427101,1.1520473,"('stingy', 'generous')",1.3673819,1.2302846,-2.1544666,-2.3131278,0.1852085,0.023068,0.1621405
12,1.3292992,1.2711731,"('unsupportive', 'supportive')",1.340422,1.4498347,-1.9535595,-2.0052054,0.2387205,0.2386008,0.0001197
