,cnx_male,cnx_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,male-female
1,-1.5080874,-1.8353864,"('unfriendly', 'friendly')",0.2388787,-0.27138755,1.0065732,0.8784355,-0.0875452,-0.4094461,0.3219009
0,-1.4835294,-1.3159312,"('unsociable', 'sociable')",-0.4182097,-0.33421186,-0.39057642,-0.19313812,-0.7641052,-0.614427,-0.1496782
84,1.3045926,1.2103701,"('inferior', 'superior')",1.1347613,1.0870223,0.8480168,0.79578954,1.0957902,1.0310606,0.0647296
39,1.1465167,1.5545633,"('exploitative', 'cooperative')",0.018527191,0.23093936,0.44452855,0.517971,0.5365241,0.7678246,-0.2313005
41,-1.1276569,-1.0698498,"('unforgiving', 'forgiving')",-0.2668161,-0.25600234,0.02687574,-0.020764356,-0.4558658,-0.4488722,-0.0069936
86,-1.0053455,-1.1217097,"('uninfluential', 'influential')",-0.39587855,-0.476917,-0.16403984,-0.2847242,-0.5217546,-0.6277837,0.1060291
18,-0.92214984,-0.51830375,"('disagreeable', 'welcoming')",-0.8549706,-0.8095746,-0.5857792,-0.46138367,-0.7876332,-0.5964207,-0.1912125
10,-0.91699874,-0.6628845,"('unsympathetic', 'sympathetic')",-0.85708433,-0.7550016,-0.16483468,0.03007256,-0.646306,-0.4626045,-0.1837015
2,0.8786786,1.1461749,"('unlikable', 'likable')",0.72724634,0.82068634,0.36212355,0.55842406,0.6560162,0.8417617,-0.1857455
8,-0.85730743,-0.7536702,"('unaffectionate', 'affectionate')",-0.3360796,-0.58183265,0.66309536,0.4508554,-0.1767639,-0.2948825,0.1181186
27,-0.8569939,-1.3215189,"('hardhearted', 'softhearted')",-0.022872478,-0.34438953,1.2237303,1.0378907,0.1146213,-0.2093393,0.3239606
38,-0.8468465,-1.0881052,"('untruthful', 'truthful')",0.06339012,-0.12827615,-0.58567584,-0.578782,-0.4563774,-0.5983878,0.1420104
36,-0.83248246,-1.0967597,"('hostile', 'amicable')",-1.7845229,-2.0545917,-0.25658134,-0.5005913,-0.9578622,-1.2173142,0.259452
59,0.82768863,0.76882714,"('foolish', 'wise')",1.2131288,1.1037624,-0.4287092,-0.41936603,0.5373694,0.4844079,0.0529615
31,-0.8246482,-1.3704383,"('evil', 'good')",-0.7750791,-1.1455296,-1.2277783,-1.5122101,-0.9425019,-1.3427261,0.4002242
6,-0.81276345,-1.6146543,"('distant', 'open')",-0.59197754,-1.1601522,-0.70087004,-1.0393915,-0.7018704,-1.2713993,0.5695289
80,0.78911227,0.81957006,"('dominated', 'dominating')",0.26257485,0.4524117,-0.37139466,-0.32693684,0.2267642,0.315015,-0.0882508
13,-0.7558128,-0.7226536,"('impolite', 'polite')",-0.23036799,-0.25403666,-0.6130471,-0.43328026,-0.533076,-0.4699902,-0.0630858
87,0.7306043,0.4667471,"('unsuccessful', 'successful')",0.5962003,0.48633105,0.8984163,0.79657173,0.7417403,0.5832166,0.1585237
9,-0.70431995,-0.8427898,"('unaffectionate', 'caring')",0.6438561,0.30479577,1.265045,1.0449288,0.4015271,0.1689783,0.2325488
73,0.6770243,0.5879916,"('helpless', 'self-reliant')",0.6223902,0.50355226,-3.3369842,-3.5535789,-0.6791898,-0.8206783,0.1414885
57,-0.6749695,-0.840793,"('unimaginative', 'imaginative')",-0.031545676,-0.05577351,-2.8463955,-2.9387293,-1.1843036,-1.2784319,0.0941283
23,-0.6621342,-0.4124667,"('insincere', 'sincere')",0.54230183,0.5201921,5.859691,6.196279,1.9132862,2.1013349,-0.1880487
69,0.61894065,0.2946671,"('lazy', 'industrious')",1.2677196,1.1369317,-1.1780852,-1.4207382,0.2361917,0.0036202,0.2325715
48,-0.61173785,-0.1557018,"('unintelligent', 'intelligent')",0.10504572,0.20268919,0.4409971,0.47773665,-0.0218983,0.174908,-0.1968063
33,0.5964678,0.06624064,"('wrong', 'right')",1.5175811,1.0367016,-0.77939385,-1.0390228,0.444885,0.0213065,0.4235785
68,-0.5887836,-0.5545649,"('dependent', 'independent')",-0.9863164,-0.9794168,-0.89371866,-0.9861836,-0.8229396,-0.8400551,0.0171155
72,-0.5780766,-0.63885033,"('unambitious', 'ambitious')",0.27598035,0.12355986,-0.44920114,-0.60404915,-0.2504325,-0.3731132,0.1226807
51,-0.57624197,-0.7095511,"('uneducated', 'educated')",-0.7816375,-0.7763735,0.6337965,0.5015721,-0.241361,-0.3281175,0.0867565
26,-0.5493342,-0.45873147,"('hardhearted', 'benevolent')",0.58901083,0.59607404,1.4735435,1.3275566,0.5044067,0.4882997,0.016107
79,-0.54598844,-1.055322,"('wavering', 'unwavering')",-0.7910523,-1.1472604,-0.57311654,-0.8017962,-0.6367191,-1.0014595,0.3647404
42,0.5387015,0.59025276,"('unreliable', 'reliable')",0.4718344,0.58273876,-2.7833102,-2.758249,-0.5909248,-0.5284192,-0.0625056
5,-0.532581,-1.315535,"('distant', 'outgoing')",0.06858659,-0.51734257,-0.8372641,-1.1605054,-0.4337529,-0.9977943,0.5640414
66,0.5256077,0.10148558,"('inactive', 'active')",-0.42028016,-0.7058492,0.63311344,0.5223171,0.246147,-0.0273488,0.2734958
50,0.5235647,0.647895,"('clumsy', 'skillful')",0.42062488,0.4127523,0.12536019,0.085765846,0.3565166,0.3821377,-0.0256211
17,-0.50596005,-0.21557146,"('nasty', 'nice')",-0.36166024,-0.35977742,-0.7488261,-0.55206317,-0.5388155,-0.375804,-0.1630115
65,-0.5039011,-0.05855625,"('insecure', 'secure')",-0.29929295,0.1116055,-0.025924843,0.19476175,-0.276373,0.0826037,-0.3589767
21,-0.50354904,-0.058729474,"('immoral', 'moral')",0.7076708,0.95325106,-0.33092868,-0.08866711,-0.042269,0.2686182,-0.3108872
14,-0.49542055,-0.15473352,"('antisocial', 'social')",0.7028546,0.94643456,0.024327371,0.18182372,0.0772538,0.3245082,-0.2472544
29,0.4927407,0.05006078,"('unfair', 'fair')",0.32504362,-0.013416402,-0.30150086,-0.58555657,0.1720945,-0.1829707,0.3550652
49,-0.49012017,-0.16835523,"('unable', 'able')",-0.39838997,-0.25907832,-0.60804206,-0.34075406,-0.4988507,-0.2560625,-0.2427882
60,-0.4834734,-0.13760464,"('inefficient', 'efficient')",0.58170176,0.8781353,-0.040166654,0.20348465,0.0193539,0.3146718,-0.2953179
32,-0.4630145,-0.2782099,"('unkind', 'kind')",-0.07985376,-0.026499957,0.8732274,0.8520344,0.1101197,0.1824415,-0.0723218
28,-0.46026063,-0.27049857,"('disloyal', 'loyal')",-0.17335156,-0.13185187,1.0683849,1.1923895,0.1449242,0.2633464,-0.1184222
64,0.457092,0.3431475,"('shy', 'confident')",0.64965093,0.64505154,-6.276637,-6.3543034,-1.7232981,-1.7887014,0.0654033
4,-0.45420364,-0.6617041,"('disliked', 'liked')",-0.2967492,-0.42641237,-7.0440903,-7.204734,-2.5983477,-2.7642835,0.1659358
61,0.4524847,0.2634149,"('illogical', 'logical')",0.75268424,0.55216205,0.546078,0.55563813,0.583749,0.4570717,0.1266773
56,-0.4421758,-0.17916146,"('impractical', 'practical')",0.5724089,0.72304046,-0.9703779,-0.8052473,-0.2800483,-0.0871228,-0.1929255
3,0.43921936,0.6884533,"('repellent', 'pleasant')",0.84407187,0.91708857,1.1302118,1.2786288,0.8045011,0.9613903,-0.1568892
34,-0.4337933,-0.20856948,"('mean', 'honorable')",0.08256647,0.18840912,5.6502585,5.995734,1.7663439,1.991858,-0.2255141
45,-0.4330994,-0.45887718,"('incompetent', 'competent')",-0.44416416,-0.37372038,-0.22251391,-0.1191947,-0.3665925,-0.3172641,-0.0493284
78,-0.43177533,-0.47591856,"('nonresilient', 'resilient')",0.2565775,0.12140732,0.21847105,0.08337825,0.0144244,-0.0903777,0.1048021
77,-0.41944462,-0.51860434,"('unmotivated', 'motivated')",1.2168205,1.0619985,-1.1114295,-1.0965525,-0.1046845,-0.1843861,0.0797016
35,-0.40087846,-0.73837847,"('corrupt', 'incorrupt')",-0.80901605,-1.103323,-0.88764143,-1.1301839,-0.6991787,-0.9906285,0.2914498
71,0.38841322,0.301939,"('diffident', 'self-confident')",1.8753155,1.7127519,0.25921798,0.18616027,0.8409823,0.7336171,0.1073652
76,0.387547,0.6322505,"('anxious', 'daring')",-0.25598,-0.010191759,-0.05053974,0.12825534,0.0270091,0.2501047,-0.2230956
19,-0.38079727,-0.7133221,"('inhospitable', 'hospitable')",-1.03064,-1.4207855,-0.6005813,-0.78311,-0.6706729,-0.9724059,0.301733
15,0.35188264,0.24511008,"('boring', 'funny')",-0.34483415,-0.36793572,-0.26800033,-0.2439792,-0.0869839,-0.1222683,0.0352844
75,0.34786576,0.19032586,"('meek', 'impulsive')",0.14880466,0.07916495,-0.66972756,-0.70873904,-0.0576857,-0.1464161,0.0887304
12,0.3393713,0.19089435,"('unsupportive', 'supportive')",0.7273231,0.3120163,-1.8572228,-2.08653,-0.2635095,-0.5278731,0.2643636
67,0.33584294,0.37295038,"('doubtful', 'determined')",0.5911112,0.6163999,-0.8589953,-0.7007458,0.0226529,0.0962015,-0.0735486
55,-0.32812613,0.0037149033,"('incompetent', 'clever')",-0.7274779,-0.47534057,0.38675052,0.5173296,-0.2229512,0.0152346,-0.2381858
62,0.31912947,0.50557095,"('incompetent', 'brilliant')",-0.010950625,0.05494122,0.08595417,0.22882232,0.1313777,0.2631115,-0.1317338
37,-0.31463692,-0.64296657,"('fake', 'genuine')",0.058200877,-0.21691607,0.26444373,0.015475175,0.0026692,-0.2814692,0.2841384
44,0.31406733,0.15804172,"('prejudiced', 'unprejudiced')",-0.549912,-0.45783734,-1.1874002,-1.0972018,-0.4744149,-0.4656658,-0.0087491
47,-0.31022483,-0.09700395,"('stupid', 'smart')",0.278852,0.42872828,5.266659,5.505635,1.7450953,1.9457863,-0.200691
54,-0.3037804,-0.31540313,"('incapable', 'capable')",-0.06621015,-0.29064983,0.44166422,0.5221156,0.0238912,-0.0279791,0.0518703
20,-0.29329824,-0.26103485,"('rough', 'thoughtful')",-0.0143580325,0.09220447,0.77581424,0.6260928,0.1560526,0.1524208,0.0036318
53,-0.27067974,-0.6248514,"('uncreative', 'creative')",0.2780184,-0.07471606,0.4672173,0.2790222,0.1581853,-0.1401818,0.2983671
11,-0.2672579,-0.104365736,"('unhelpful', 'helpful')",0.396277,0.4977039,1.7848942,1.9925715,0.6379711,0.7953032,-0.1573321
40,0.26054013,-0.002260454,"('stingy', 'generous')",0.030884199,-0.21476488,-1.7075653,-2.1062713,-0.472047,-0.7744322,0.3023852
30,0.25661805,0.61185825,"('intolerant', 'tolerant')",0.8008942,1.0964417,0.4803198,0.7777386,0.5126107,0.8286796,-0.3160689
88,-0.22715959,-0.02006887,"('low', 'eminent')",-0.22509073,-0.07239581,-0.3800606,-0.278044,-0.277437,-0.1235029,-0.1539341
46,0.17489904,0.42495507,"('uncompetitive', 'competitive')",0.10292759,0.28884277,-0.57287455,-0.3610004,-0.0983493,0.1175991,-0.2159484
7,0.16623287,0.25196785,"('insensitive', 'sensitive')",1.0558285,0.9207128,0.8639455,0.78187907,0.6953355,0.6515199,0.0438156
70,0.15379871,0.10743043,"('lethargic', 'energetic')",0.64664924,0.6230318,0.79187036,0.8195523,0.5307728,0.5166715,0.0141013
22,0.13322048,0.048348356,"('untrustworthy', 'trustworthy')",-0.21696433,-0.31114316,-0.72448075,-0.73713475,-0.2694082,-0.3333098,0.0639016
82,-0.11841985,0.09069234,"('poor', 'rich')",-0.38438222,-0.16966127,6.3522253,6.6760206,1.9498078,2.1990172,-0.2492094
74,0.10510765,-0.110055536,"('undedicated', 'dedicated')",0.46200675,0.46954107,-0.37118754,-0.49456975,0.065309,-0.0450281,0.1103371
83,0.10307126,0.085419685,"('powerless', 'powerful')",0.19579747,0.23454243,-0.8360661,-0.90904236,-0.1790658,-0.1963601,0.0172943
52,-0.09965594,-0.48831916,"('irrational', 'rational')",-0.11439206,-0.4445367,-0.31871507,-0.41323888,-0.1775877,-0.4486982,0.2711105
24,-0.096989036,-0.13306288,"('dishonest', 'honest')",-0.23188584,-0.37907147,0.42347983,0.43372205,0.031535,-0.0261374,0.0576724
63,0.07832782,0.008961733,"('unperceptive', 'insightful')",1.2405131,1.1241547,0.863394,0.70317554,0.7274116,0.6120973,0.1153143
58,-0.053028863,-0.41643223,"('undiscriminating', 'discriminating')",0.5987694,0.31012487,0.2508427,0.0484537,0.2655277,-0.0192846,0.2848123
25,-0.04757054,-0.13870111,"('egoistic', 'altruistic')",1.0935795,0.8969296,1.2902175,1.1279789,0.7787422,0.6287358,0.1500064
81,0.039648503,0.7166007,"('submissive', 'aggressive')",0.80686903,1.3055316,-0.634877,-0.2528336,0.0705468,0.5897663,-0.5192195
43,0.026931785,-0.038006727,"('irresponsible', 'responsible')",-0.4105219,-0.46763307,0.2908416,0.2853312,-0.0309162,-0.0734362,0.04252
85,-0.007861324,-0.11021032,"('insignificant', 'prestigious')",0.8784384,0.6105349,-0.10175328,-0.21985105,0.2562746,0.0934912,0.1627834
16,0.002823405,-0.040950317,"('unpopular', 'popular')",-0.19874,-0.21713844,-0.045578312,0.058008306,-0.0804983,-0.0666935,-0.0138048
