,norfolk_male,norfolk_female,tuple,southern_male,southern_female,corp_male,corp_female,average_male,average_female,male-female
26,1.6481938,1.7435395,"('hardhearted', 'benevolent')",1.012442,1.2111548,1.1116049,1.0755751,1.2574136,1.3434232,-0.0860096
40,1.4538013,1.9654797,"('stingy', 'generous')",0.4488553,0.64827013,-2.3819032,-2.4099417,-0.1597489,0.0679361,-0.227685
76,-1.2322636,-1.1476073,"('anxious', 'daring')",-0.8448757,-0.74941194,0.026721008,0.26103187,-0.6834728,-0.5453291,-0.1381437
77,-1.2242712,-1.1394875,"('unmotivated', 'motivated')",-0.2525565,-0.08809419,-0.7771379,-0.6594419,-0.7513218,-0.6290079,-0.1223139
33,1.1932136,1.1423464,"('wrong', 'right')",1.3452709,1.3719851,-0.83557385,-0.802413,0.5676369,0.5706395,-0.0030026
37,1.1348501,1.3867618,"('fake', 'genuine')",0.6140662,0.8225606,0.1782307,0.29670763,0.6423824,0.8353434,-0.192961
9,1.111187,1.145676,"('unaffectionate', 'caring')",0.5534353,0.6213622,1.1151919,1.1925191,0.9266047,0.9865191,-0.0599144
25,1.1028439,0.70047724,"('egoistic', 'altruistic')",1.8999507,1.6851751,1.3222754,1.0889307,1.4416901,1.1581944,0.2834957
2,1.085716,0.9922459,"('unlikable', 'likable')",0.81255823,0.91078097,0.6351279,0.58023643,0.8444673,0.8277544,0.0167129
20,-1.079449,-0.7898198,"('rough', 'thoughtful')",-0.6725092,-0.50800115,0.9182739,0.91021925,-0.2778948,-0.1292006,-0.1486942
12,1.0361613,1.2959057,"('unsupportive', 'supportive')",-0.5456462,-0.5088681,-1.9380274,-1.8151743,-0.4825041,-0.3427122,-0.1397919
45,-0.94446766,-0.2784329,"('incompetent', 'competent')",-2.0299296,-1.3683078,-0.057700083,-0.011251064,-1.0106991,-0.5526639,-0.4580352
58,-0.93772715,-0.49841258,"('undiscriminating', 'discriminating')",-0.62773323,-0.15601306,-0.2507036,-0.09492432,-0.605388,-0.2497833,-0.3556047
7,0.9129147,1.1443932,"('insensitive', 'sensitive')",0.18387869,0.43622503,0.69614834,0.9407076,0.5976473,0.8404419,-0.2427946
10,-0.8394446,-0.5137297,"('unsympathetic', 'sympathetic')",-1.5242921,-1.2913271,0.24484438,0.42274624,-0.7062974,-0.4607702,-0.2455272
39,0.8253903,0.9384757,"('exploitative', 'cooperative')",0.23196344,0.41520587,0.21030739,0.25896344,0.4225537,0.5375483,-0.1149946
85,0.79829645,0.64266133,"('insignificant', 'prestigious')",1.4125906,1.3585232,-1.0303593,-1.1299994,0.3935092,0.290395,0.1031142
68,-0.78528786,-0.5793327,"('dependent', 'independent')",-0.81007457,-0.7834285,-1.0746543,-0.88253963,-0.8900056,-0.7484336,-0.141572
32,0.77907026,0.6869135,"('unkind', 'kind')",-0.30146953,-0.40499535,0.89699745,0.9077403,0.4581994,0.3965528,0.0616466
22,-0.7500137,-0.3897954,"('untrustworthy', 'trustworthy')",-1.6634592,-1.2287267,-1.0384109,-0.8421851,-1.1506279,-0.8202357,-0.3303922
74,0.7485511,0.9062968,"('undedicated', 'dedicated')",-0.6296815,-0.62806463,-0.50024444,-0.5415507,-0.127125,-0.0877728,-0.0393522
49,-0.7397597,-0.72032523,"('unable', 'able')",-1.0337712,-0.99903667,-0.25996777,-0.14047928,-0.6778328,-0.6199471,-0.0578857
28,0.7384262,1.0385163,"('disloyal', 'loyal')",-0.4947603,-0.32109863,1.2350693,1.3124893,0.4929117,0.6766357,-0.183724
13,-0.703614,-0.48596528,"('impolite', 'polite')",-0.7411231,-0.48914272,-0.3021326,-0.12148933,-0.5822899,-0.3655324,-0.2167575
54,-0.69957006,-0.8562049,"('incapable', 'capable')",-0.98448884,-0.98014545,0.46385056,0.573682,-0.4067361,-0.4208895,0.0141534
78,-0.689646,-0.51549333,"('nonresilient', 'resilient')",0.15249528,0.1187679,0.36714673,0.4169977,-0.056668,0.0067574,-0.0634254
59,0.6766527,0.6116698,"('foolish', 'wise')",0.079914644,-0.06388043,-0.17118397,-0.2847237,0.1951278,0.0876885,0.1074393
79,-0.65853196,-0.7715366,"('wavering', 'unwavering')",-0.026079174,-0.2946785,-0.7160613,-0.7092751,-0.4668908,-0.5918301,0.1249393
3,-0.6550216,-0.60904115,"('repellent', 'pleasant')",-0.52461636,-0.54293126,1.3017046,1.1424669,0.0406889,-0.0031685,0.0438574
35,0.6258619,0.3616824,"('corrupt', 'incorrupt')",0.81019634,0.46818918,-0.9028692,-1.10831,0.1777297,-0.0928128,0.2705425
19,-0.597793,-0.72812515,"('inhospitable', 'hospitable')",-0.22954792,-0.26083118,-1.0221863,-0.9918399,-0.616509,-0.6602654,0.0437564
