,coca_male,coca_female,tuple,cola_male,cola_female,europacific_male,europacific_female,partners_male,partners_female,average_male,average_female,male-female
73,2.4164133,2.2194853,"('helpless', 'self-reliant')",0.31416053,0.28668436,0.6602482,0.5132351,-3.7862227,-4.03012,-0.0988501,-0.2526788,0.1538287
85,2.0135143,1.9256682,"('insignificant', 'prestigious')",-0.18550941,-0.09351508,0.013682788,-0.02184176,0.23555566,-0.36535,0.5193108,0.3612404,0.1580704
45,-1.603452,-1.7145715,"('incompetent', 'competent')",-0.63284004,-0.5485089,-0.5892016,-0.39469278,-0.0117162615,0.08723607,-0.7093025,-0.6426342,-0.0666683
82,-1.5997534,-1.2873391,"('poor', 'rich')",-0.89159876,-0.7013591,-0.9817356,-0.70626426,5.3143115,5.7317524,0.4603059,0.7591975,-0.2988916
3,-1.5976634,-1.4333919,"('repellent', 'pleasant')",-0.7050337,-0.7229687,0.104556926,0.17834698,0.5905459,0.9015883,-0.4018986,-0.2691063,-0.1327923
51,-1.4240004,-1.0849339,"('uneducated', 'educated')",-0.37967658,-0.3087739,-0.7759637,-0.4120627,0.29973838,0.5809021,-0.5699756,-0.3062171,-0.2637585
65,-1.3911738,-1.0113643,"('insecure', 'secure')",0.45698953,0.5849061,0.34319702,0.6461234,0.86765707,1.3862919,0.0691674,0.4014893,-0.3323219
71,1.3896561,1.177987,"('diffident', 'self-confident')",1.221961,1.1574754,-1.0166715,-1.2452453,0.96771485,0.7418732,0.6406651,0.4580225,0.1826426
39,1.307444,1.248475,"('exploitative', 'cooperative')",1.3334013,1.4024088,1.3114905,1.2119802,1.3166982,1.4239256,1.3172585,1.3216975,-0.004439
56,1.2586619,1.5582061,"('impractical', 'practical')",1.3951513,1.5702097,0.1428944,0.49931347,0.13218254,0.33346057,0.7322226,0.9902975,-0.2580749
83,1.2289503,1.2831465,"('powerless', 'powerful')",0.823743,0.8419272,0.308018,0.47733283,-0.43525565,-0.37348524,0.4813639,0.5572303,-0.0758664
77,-1.2233875,-1.0796412,"('unmotivated', 'motivated')",-0.4179862,-0.39713454,-0.31102014,-0.14331308,-0.1419318,0.12266163,-0.5235814,-0.3743568,-0.1492246
69,1.1520402,0.85928565,"('lazy', 'industrious')",0.6501571,0.51615417,1.3361127,0.9537615,-1.0938404,-1.5064164,0.5111174,0.2056963,0.3054211
