,avery_male,avery_female,tuple,dennison_male,dennison_female,corp_male,corp_female,average_male,average_female,male-female
31,-2.946935,-2.2561677,"('evil', 'good')",-0.75766325,-0.6558226,-1.469492,-1.7093469,-1.7246968,-1.5404456,-0.1842512
60,2.5221817,2.0890138,"('inefficient', 'efficient')",0.04071242,-0.35317892,0.5737464,0.7474464,1.0455468,0.8277604,0.2177864
55,2.4085708,1.8067003,"('incompetent', 'clever')",-0.00503261,-0.38517234,0.37872422,0.29523313,0.9274208,0.5722537,0.3551671
13,2.3259218,1.8607062,"('impolite', 'polite')",0.50507087,-0.01447632,-0.21102023,-0.21844965,0.8733242,0.5425934,0.3307308
52,-2.315106,-2.122848,"('irrational', 'rational')",-1.1388235,-1.4524624,-0.24265742,-0.7078433,-1.2321956,-1.4277178,0.1955222
16,-2.1943524,-1.8555516,"('unpopular', 'popular')",-0.82187796,-0.61943495,-0.2242828,-0.40746564,-1.080171,-0.9608174,-0.1193536
81,2.1255584,1.3281469,"('submissive', 'aggressive')",0.2097486,-0.083344966,0.013834868,0.13977773,0.7830473,0.4615266,0.3215207
85,-2.1215668,-1.3096957,"('insignificant', 'prestigious')",-0.4377757,-0.3314405,-0.9370545,-1.1677231,-1.1654657,-0.9362864,-0.2291793
62,1.9020102,1.5160873,"('incompetent', 'brilliant')",0.24790724,0.1678716,0.75407326,0.8426549,0.9679969,0.8422046,0.1257923
35,-1.8326715,-1.1935722,"('corrupt', 'incorrupt')",0.82494736,1.2535853,-1.1720276,-1.2140054,-0.726584,-0.3846641,-0.3419199
46,1.8257724,1.1609238,"('uncompetitive', 'competitive')",0.039373524,-0.41744307,-0.07367587,-0.22735421,0.5971567,0.1720422,0.4251145
56,1.7177564,1.4594178,"('impractical', 'practical')",0.25980082,0.07572927,0.0629975,0.21930183,0.6801849,0.5848163,0.0953686
69,-1.6847363,-1.0845212,"('lazy', 'industrious')",1.3041179,1.5281745,-0.8735154,-0.95542717,-0.4180446,-0.1705913,-0.2474533
79,-1.6827323,-1.2183028,"('wavering', 'unwavering')",-0.5395521,-0.35937628,-0.5013478,-0.6008607,-0.9078774,-0.7261799,-0.1816975
36,-1.5931664,-0.93888235,"('hostile', 'amicable')",-0.34671533,-0.34863663,-0.62228954,-1.0046276,-0.8540571,-0.7640489,-0.0900082
80,1.5414153,0.81165165,"('dominated', 'dominating')",0.29032153,0.13327238,-0.7585449,-0.4791872,0.3577306,0.1552456,0.202485
75,-1.4701082,-0.98780245,"('meek', 'impulsive')",1.4603152,1.888903,-0.97337604,-0.9735709,-0.327723,-0.0241568,-0.3035662
29,-1.4291705,-1.326412,"('unfair', 'fair')",-0.11111063,-0.21652168,-0.30649143,-0.4748276,-0.6155908,-0.6725871,0.0569963
6,-1.3755965,-0.4764651,"('distant', 'open')",-0.3636076,-0.07745429,-0.6737288,-0.8820391,-0.804311,-0.4786528,-0.3256582
0,1.3156048,0.8413919,"('unsociable', 'sociable')",0.0640552,-0.5591393,-0.027310468,-0.2895941,0.4507832,-0.0024472,0.4532304
39,1.2526658,1.0334207,"('exploitative', 'cooperative')",0.31713212,0.19252399,0.04950219,0.17236769,0.5397667,0.4661041,0.0736626
76,1.2335591,0.62842375,"('anxious', 'daring')",0.17541783,0.16252132,0.16545321,0.29232457,0.52481,0.3610899,0.1637201
4,-1.2003695,-0.94358647,"('disliked', 'liked')",0.13058512,0.16216968,-6.1440353,-6.5175533,-2.4046065,-2.4329901,0.0283836
67,1.1752058,1.148519,"('doubtful', 'determined')",1.3461072,1.4941843,-0.18378419,-0.21868391,0.7791763,0.8080064,-0.0288301
14,1.1723739,0.29230833,"('antisocial', 'social')",-0.050128035,-0.5525286,-0.17489754,-0.32151425,0.3157828,-0.1939115,0.5096943
30,1.1492784,0.53691137,"('intolerant', 'tolerant')",0.0782394,-0.2962523,1.0490928,1.0079397,0.7588702,0.4161996,0.3426706
21,1.1489229,0.79071265,"('immoral', 'moral')",-0.40565866,-0.67886525,-0.5696817,-0.54660916,0.0578609,-0.1449206,0.2027815
84,1.141392,1.2863301,"('inferior', 'superior')",0.4145049,0.4890934,1.5465047,1.6406823,1.0341339,1.1387019,-0.104568
3,-1.1008079,-1.2852198,"('repellent', 'pleasant')",-0.81658363,-0.915642,0.51725996,0.4813243,-0.4667105,-0.5731792,0.1064687
