,firstenergy_male,firstenergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.9274517,-1.8808497,"('unimaginative', 'imaginative')",-3.3599293,-3.5966167,-2.6436906,-2.7387333,0.0950427
10,-1.8812771,-1.8908231,"('unsympathetic', 'sympathetic')",-0.6852441,-0.49091628,-1.2832606,-1.1908697,-0.0923909
0,-1.5476551,-1.6662314,"('unsociable', 'sociable')",-0.4803148,-0.5664669,-1.0139849,-1.1163492,0.1023643
69,1.5008229,1.5607346,"('lazy', 'industrious')",-0.53629833,-0.78754604,0.4822623,0.3865943,0.095668
71,1.4744186,1.5099821,"('diffident', 'self-confident')",0.5256597,0.6603131,1.0000391,1.0851476,-0.0851085
55,-1.2791394,-1.1442683,"('incompetent', 'clever')",0.1779959,0.02891171,-0.5505717,-0.5576783,0.0071066
33,1.276428,1.1708977,"('wrong', 'right')",-0.3412815,-0.21624072,0.4675732,0.4773285,-0.0097553
73,1.2298347,1.0386909,"('helpless', 'self-reliant')",-3.0568516,-3.1086297,-0.9135085,-1.0349693,0.1214608
65,-1.2167671,-1.4582204,"('insecure', 'secure')",-0.43799073,-0.29460055,-0.8273789,-0.8764105,0.0490316
45,-1.1904929,-1.1766878,"('incompetent', 'competent')",-0.15331677,-0.3550884,-0.6719048,-0.7658881,0.0939833
58,-1.1085849,-1.167867,"('undiscriminating', 'discriminating')",-0.08016546,-0.14472103,-0.5943752,-0.656294,0.0619188
46,-1.1074255,-1.098297,"('uncompetitive', 'competitive')",-1.1671965,-1.3130927,-1.137311,-1.2056949,0.0683839
14,-1.1031948,-1.2110051,"('antisocial', 'social')",-0.6671516,-0.8725559,-0.8851732,-1.0417805,0.1566073
86,-1.0716327,-1.0595547,"('uninfluential', 'influential')",-0.2904724,-0.4706936,-0.6810526,-0.7651241,0.0840715
22,-1.0054746,-0.97636557,"('untrustworthy', 'trustworthy')",-0.9420441,-0.88896155,-0.9737593,-0.9326636,-0.0410957
5,0.96557397,1.1945915,"('distant', 'outgoing')",0.077991314,0.20083986,0.5217826,0.6977157,-0.1759331
25,0.94696397,1.1927844,"('egoistic', 'altruistic')",1.6408759,1.7354378,1.2939199,1.4641111,-0.1701912
13,-0.9162639,-1.1372163,"('impolite', 'polite')",-0.8279578,-0.87884456,-0.8721108,-1.0080304,0.1359196
85,0.87459946,0.78481805,"('insignificant', 'prestigious')",0.10554257,-0.0056408793,0.490071,0.3895886,0.1004824
6,0.8395429,0.97256786,"('distant', 'open')",-0.082754925,0.29771632,0.378394,0.6351421,-0.2567481
82,-0.82020754,-0.84773386,"('poor', 'rich')",6.435688,7.062514,2.8077402,3.1073899,-0.2996497
51,-0.81659055,-0.8895923,"('uneducated', 'educated')",0.6032764,0.34480062,-0.1066571,-0.2723958,0.1657387
72,-0.78239995,-0.7154804,"('unambitious', 'ambitious')",-0.46191204,0.00038395263,-0.622156,-0.3575482,-0.2646078
15,0.75071836,0.6991261,"('boring', 'funny')",-0.03398726,0.03222033,0.3583655,0.3656732,-0.0073077
32,0.7505096,0.71641034,"('unkind', 'kind')",0.9863403,0.8920364,0.868425,0.8042234,0.0642016
70,-0.72874975,-0.53236604,"('lethargic', 'energetic')",0.06183345,0.19009353,-0.3334582,-0.1711363,-0.1623219
76,-0.7282683,-0.67872643,"('anxious', 'daring')",-0.8123982,-0.7790776,-0.7703333,-0.728902,-0.0414313
59,0.7247811,0.5570346,"('foolish', 'wise')",0.26218936,0.5041741,0.4934852,0.5306044,-0.0371192
64,-0.71403855,-0.8180449,"('shy', 'confident')",-6.7203627,-7.4288535,-3.7172005,-4.1234493,0.4062488
2,0.7124246,0.37719718,"('unlikable', 'likable')",0.7769908,0.42056438,0.7447077,0.3988808,0.3458269
3,-0.69702536,-0.6494701,"('repellent', 'pleasant')",1.0147172,1.143527,0.1588459,0.2470285,-0.0881826
27,0.6854712,1.0050055,"('hardhearted', 'softhearted')",1.8676336,2.1012282,1.2765524,1.5531168,-0.2765644
68,-0.6726307,-0.62895465,"('dependent', 'independent')",-0.40992665,-0.44939458,-0.5412787,-0.5391746,-0.0021041
28,-0.6364583,-0.63894516,"('disloyal', 'loyal')",0.9684604,1.1359649,0.1660011,0.2485099,-0.0825088
48,-0.6346654,-0.59120584,"('unintelligent', 'intelligent')",0.7673687,0.60140836,0.0663516,0.0051013,0.0612503
34,0.60963064,0.5701982,"('mean', 'honorable')",5.67821,6.103329,3.1439202,3.3367636,-0.1928434
