,nicor_male,nicor_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-1.8523372,-1.8896824,"('hostile', 'amicable')",-0.052406713,-0.058412455,-0.952372,-0.9740474,0.0216754
6,-1.7982992,-2.1123142,"('distant', 'open')",-0.24993984,-0.4911778,-1.0241195,-1.301746,0.2776265
31,-1.67251,-1.5962718,"('evil', 'good')",-1.0293858,-1.1442492,-1.3509479,-1.3702605,0.0193126
81,1.6240911,2.0159173,"('submissive', 'aggressive')",-0.34009618,-0.13373497,0.6419975,0.9410912,-0.2990937
5,-1.5461199,-1.8128383,"('distant', 'outgoing')",-0.5826203,-0.73458195,-1.0643702,-1.2737101,0.2093399
79,-1.45627,-1.539918,"('wavering', 'unwavering')",-0.20160623,-0.34344497,-0.8289381,-0.9416814,0.1127433
53,-1.3510555,-1.3828075,"('uncreative', 'creative')",0.7315885,0.6352782,-0.3097335,-0.3737646,0.0640311
60,1.347794,1.467591,"('inefficient', 'efficient')",0.40796778,0.54927176,0.8778809,1.0084314,-0.1305505
56,1.2828859,1.5001227,"('impractical', 'practical')",-0.043771118,0.08745739,0.6195574,0.79379,-0.1742326
62,1.2622815,1.4457254,"('incompetent', 'brilliant')",0.33376333,0.47570124,0.7980224,0.9607133,-0.1626909
30,1.1339525,1.4384911,"('intolerant', 'tolerant')",1.5001231,1.6490481,1.3170378,1.5437696,-0.2267318
1,-1.0750632,-1.2025633,"('unfriendly', 'friendly')",1.5168698,1.3532184,0.2209033,0.0753276,0.1455757
39,1.0563031,1.2468569,"('exploitative', 'cooperative')",0.12942567,0.39602906,0.5928644,0.821443,-0.2285786
4,-1.0105276,-1.0272408,"('disliked', 'liked')",-5.542508,-5.8303704,-3.2765179,-3.4288056,0.1522877
88,-0.93075436,-0.83112395,"('low', 'eminent')",0.31372896,0.46029013,-0.3085127,-0.1854169,-0.1230958
19,-0.90660703,-0.91758394,"('inhospitable', 'hospitable')",-0.12430526,-0.19237313,-0.5154561,-0.5549785,0.0395224
21,0.89252055,1.020761,"('immoral', 'moral')",-0.047344632,0.029878566,0.422588,0.5253198,-0.1027318
14,0.8906054,1.1631649,"('antisocial', 'social')",-0.32709786,-0.073555805,0.2817538,0.5448045,-0.2630507
70,0.839287,0.66045946,"('lethargic', 'energetic')",0.87017393,0.8745524,0.8547305,0.7675059,0.0872246
