,american_male,american_female,tuple,express_male,express_female,co_male,co_female,average_male,average_female,male-female
73,1.7733943,1.6948869,"('helpless', 'self-reliant')",0.48089644,0.52998346,-3.2560432,-3.2060592,-0.3339175,-0.3270629,-0.0068546
45,-1.5801327,-1.3700347,"('incompetent', 'competent')",-0.47687757,-0.38586408,-0.54284835,-0.56425554,-0.8666195,-0.7733847,-0.0932348
47,-1.4420524,-1.130496,"('stupid', 'smart')",-0.008692912,0.035344504,5.285984,5.559096,1.278413,1.4879815,-0.2095685
0,-1.3284128,-1.0440854,"('unsociable', 'sociable')",0.071328685,0.30800927,-0.25488368,-0.23011725,-0.5039893,-0.3220645,-0.1819248
42,1.1858346,0.84650815,"('unreliable', 'reliable')",0.32031596,0.1387145,-2.638293,-2.8237705,-0.3773808,-0.6128493,0.2354685
29,-1.1726748,-0.9145984,"('unfair', 'fair')",-1.0081009,-0.87538385,-0.9289113,-0.7248981,-1.0365623,-0.8382935,-0.1982688
39,1.111054,1.1421921,"('exploitative', 'cooperative')",0.85421073,0.73153174,0.66999084,0.4646042,0.8784185,0.7794427,0.0989758
36,-1.1089852,-1.2918596,"('hostile', 'amicable')",0.27639058,0.15893233,-0.4227101,-0.1707411,-0.4184349,-0.4345561,0.0161212
22,-1.0482774,-0.7209034,"('untrustworthy', 'trustworthy')",-0.7815482,-0.6127645,-0.8767275,-0.84079266,-0.9021844,-0.7248201,-0.1773643
31,-1.0180535,-0.8881032,"('evil', 'good')",-0.7127731,-0.6700822,-1.1508622,-0.69503313,-0.9605629,-0.7510728,-0.2094901
16,-0.91631716,-0.8584072,"('unpopular', 'popular')",-0.38884827,-0.42957407,0.0700113,0.23916334,-0.4117181,-0.349606,-0.0621121
76,0.9023381,0.9052928,"('anxious', 'daring')",0.5836889,0.6783269,0.09031099,-0.06562695,0.525446,0.5059976,0.0194484
3,-0.7881102,-0.6247876,"('repellent', 'pleasant')",-1.0369315,-0.87124115,0.53273904,0.5880272,-0.4307676,-0.3026672,-0.1281004
56,0.7773072,0.7406131,"('impractical', 'practical')",1.0233661,1.0106463,0.017422073,-0.24645533,0.6060318,0.5016014,0.1044304
57,-0.77111447,-0.5928656,"('unimaginative', 'imaginative')",-0.8710163,-0.8768315,-3.5000405,-3.5398042,-1.7140571,-1.6698338,-0.0442233
