,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,male-female
0,-1.5946747,-1.9334639,"('unsociable', 'sociable')",0.7092457,0.6447615,-0.009655533,-0.049459208,-0.2983615,-0.4460539,0.1476924
13,-1.5483211,-1.8776001,"('impolite', 'polite')",0.6675089,0.5791512,-0.27030122,-0.29980257,-0.3837045,-0.5327504,0.1490459
28,-1.473579,-1.6987214,"('disloyal', 'loyal')",0.5254033,0.5757874,0.73732305,0.629692,-0.0702842,-0.164414,0.0941298
45,-1.4552358,-1.6838717,"('incompetent', 'competent')",0.36317977,0.50601053,-0.012902319,0.01783675,-0.3683194,-0.3866748,0.0183554
10,-1.4118379,-1.7524513,"('unsympathetic', 'sympathetic')",-0.29733235,-0.059306514,-0.21819595,-0.031918883,-0.6424554,-0.6145589,-0.0278965
86,-1.3892866,-1.5192353,"('uninfluential', 'influential')",0.09643188,0.35113624,-0.4894662,-0.30578473,-0.594107,-0.4912946,-0.1028124
1,-1.3281902,-1.3370528,"('unfriendly', 'friendly')",0.7682495,1.1639129,0.37473592,0.5536837,-0.0617349,0.1268479,-0.1885828
9,-1.2938557,-1.2412924,"('unaffectionate', 'caring')",0.23771758,0.4070984,0.4703513,0.6982777,-0.1952622,-0.0453054,-0.1499568
61,-1.241007,-1.5395211,"('illogical', 'logical')",1.0221745,1.0336087,0.39462218,0.40900695,0.0585966,-0.0323018,0.0908984
43,-1.2332346,-1.5658501,"('irresponsible', 'responsible')",0.5011128,0.505783,0.5053501,0.44512713,-0.0755906,-0.20498,0.1293894
20,-1.1930261,-1.1558595,"('rough', 'thoughtful')",-0.6177015,-0.66636086,0.2339822,0.21438466,-0.5255818,-0.5359452,0.0103634
63,-1.1696407,-1.3579556,"('unperceptive', 'insightful')",1.0285276,1.0536238,0.323046,0.4102367,0.0606443,0.0353016,0.0253427
44,1.095278,1.1769695,"('prejudiced', 'unprejudiced')",0.03946474,-0.0996335,-1.1995273,-1.2427738,-0.0215948,-0.0551459,0.0335511
77,-1.0742099,-1.2714014,"('unmotivated', 'motivated')",0.43710878,0.47895658,-0.97265327,-0.98422843,-0.5365848,-0.5922244,0.0556396
75,1.0713298,1.0319668,"('meek', 'impulsive')",-0.90418106,-1.0802813,-0.7487118,-0.90067756,-0.1938544,-0.3163307,0.1224763
38,-1.0315177,-1.4247262,"('untruthful', 'truthful')",0.4756248,0.46726936,-0.5460874,-0.619064,-0.3673268,-0.525507,0.1581802
15,0.99929637,0.7139736,"('boring', 'funny')",0.10400945,0.06731093,-0.097367704,-0.18389878,0.3353127,0.1991286,0.1361841
41,-0.9565424,-1.3050677,"('unforgiving', 'forgiving')",0.1378681,0.32300064,-0.53551716,-0.5532046,-0.4513971,-0.5117572,0.0603601
21,-0.95588326,-1.3698342,"('immoral', 'moral')",1.5866796,1.6169873,-0.013258666,-0.07142931,0.2058459,0.0585746,0.1472713
60,-0.9457411,-1.359275,"('inefficient', 'efficient')",1.0339974,1.052439,0.30917266,0.33484888,0.1324763,0.0093376,0.1231387
58,-0.9402183,-0.93346655,"('undiscriminating', 'discriminating')",0.38054997,0.56067085,-0.2588276,-0.17082268,-0.272832,-0.1812061,-0.0916259
12,-0.93182963,-0.79933274,"('unsupportive', 'supportive')",0.8449707,1.0391234,-2.0200126,-1.7906945,-0.7022905,-0.5169679,-0.1853226
78,-0.9306144,-0.8607912,"('nonresilient', 'resilient')",0.2401685,0.28865868,0.35723472,0.44340548,-0.1110704,-0.042909,-0.0681614
46,-0.92397374,-1.2000554,"('uncompetitive', 'competitive')",0.75542057,0.8659679,-0.38099742,-0.39242005,-0.1831835,-0.2421692,0.0589857
83,-0.91139036,-1.2460698,"('powerless', 'powerful')",0.2591236,0.10897153,-1.0151932,-1.0593184,-0.55582,-0.732139,0.176319
35,0.8992925,0.8412137,"('corrupt', 'incorrupt')",-1.7782696,-1.8156697,-1.28555,-1.4266096,-0.7215091,-0.8003552,0.0788461
55,-0.8880115,-0.9982122,"('incompetent', 'clever')",0.5788232,0.8124386,0.5805124,0.68003553,0.0904414,0.164754,-0.0743126
2,0.84932005,0.40552503,"('unlikable', 'likable')",1.4874873,1.3661722,0.47130108,0.39939457,0.9360361,0.7236973,0.2123388
23,-0.84634817,-1.1692934,"('insincere', 'sincere')",0.9162763,0.91378784,5.86754,5.7775526,1.979156,1.8406823,0.1384737
8,-0.82859504,-0.6851606,"('unaffectionate', 'affectionate')",-0.11639677,-0.0016447939,-0.10273744,0.11433846,-0.3492431,-0.1908223,-0.1584208
57,-0.8197638,-0.96215516,"('unimaginative', 'imaginative')",-0.031417146,0.25471497,-2.7754834,-2.6428678,-1.2088881,-1.1167693,-0.0921188
