,campbell_male,campbell_female,tuple,soup_male,soup_female,co_male,co_female,average_male,average_female,male-female
73,1.9840511,1.9141674,"('helpless', 'self-reliant')",-0.022215016,-0.12527373,-3.3896022,-3.4514256,-0.475922,-0.5541773,0.0782553
65,-1.9393601,-1.8735986,"('insecure', 'secure')",-2.1349938,-1.6772075,-0.8058016,-0.44570598,-1.6267185,-1.3321706,-0.2945479
69,1.7534499,1.6817601,"('lazy', 'industrious')",1.5929966,1.3761641,-0.18681137,-0.5613302,1.0532117,0.832198,0.2210137
17,-1.6754122,-1.6007962,"('nasty', 'nice')",-0.7853829,-0.7867453,-0.6953363,-0.74209124,-1.0520438,-1.0432109,-0.0088329
46,-1.5725447,-1.4170133,"('uncompetitive', 'competitive')",-1.1210498,-0.9394749,-1.6076334,-1.6936222,-1.4337425,-1.3500368,-0.0837057
33,1.4597197,1.2448442,"('wrong', 'right')",0.8731133,0.6202437,0.1498945,0.0009098351,0.8275758,0.6219993,0.2055765
85,1.409393,0.85677034,"('insignificant', 'prestigious')",1.4146261,0.9647907,0.45471507,0.032063685,1.0929113,0.6178749,0.4750364
35,1.382056,1.1346604,"('corrupt', 'incorrupt')",0.91994643,0.46052775,-0.22634836,-0.3645975,0.6918847,0.4101969,0.2816878
71,1.3385545,1.1296744,"('diffident', 'self-confident')",2.0408485,1.9724125,0.717849,0.7175141,1.3657506,1.2732004,0.0925502
9,1.3159438,1.2311035,"('unaffectionate', 'caring')",0.99627215,0.93574136,1.3828391,1.4824241,1.231685,1.216423,0.015262
16,-1.2953405,-1.3629835,"('unpopular', 'popular')",-0.9021022,-0.89779425,-0.023695283,-0.12617776,-0.7403793,-0.7956518,0.0552725
6,1.2638136,1.2356436,"('distant', 'open')",1.8574421,1.6592935,0.6604845,0.6997299,1.2605801,1.1982223,0.0623578
11,-1.172526,-1.0063831,"('unhelpful', 'helpful')",-0.7191818,-0.37430662,1.6507177,1.7739469,-0.08033,0.1310858,-0.2114158
47,-1.1551899,-1.2334032,"('stupid', 'smart')",-0.097826205,0.07821101,5.201485,5.516099,1.3161564,1.4536355,-0.1374791
5,1.1101924,1.0249383,"('distant', 'outgoing')",1.3101628,1.1388272,0.38808438,0.373001,0.9361466,0.8455888,0.0905578
