,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,male-female
2,1.50387,1.5307485,"('unlikable', 'likable')",1.186288,1.2191005,1.2202271,1.4345787,1.3034617,1.3948091,-0.0913474
73,1.3418531,1.4213748,"('helpless', 'self-reliant')",0.81522405,0.8471345,1.2745908,1.4125893,1.1438894,1.2270329,-0.0831435
57,-1.3089617,-1.3141996,"('unimaginative', 'imaginative')",-1.7539878,-1.9198376,-1.775584,-1.802768,-1.6128445,-1.6789351,0.0660906
28,-1.2868763,-1.301823,"('disloyal', 'loyal')",-1.3891132,-1.4063402,-1.4353395,-1.495672,-1.370443,-1.4012785,0.0308355
1,-1.2647145,-1.2262955,"('unfriendly', 'friendly')",-0.5996593,-0.59482074,-0.9465312,-0.8566177,-0.9369683,-0.892578,-0.0443903
62,1.0913408,1.0442282,"('incompetent', 'brilliant')",-1.6076576,-1.7488118,0.5433385,0.5678486,0.0090072,-0.0455783,0.0545855
10,-1.0562795,-1.108133,"('unsympathetic', 'sympathetic')",-2.418317,-2.4817731,-1.1514035,-1.2980977,-1.542,-1.6293346,0.0873346
53,-1.046845,-0.92200756,"('uncreative', 'creative')",-0.31978217,-0.26549357,-1.4722033,-1.3078287,-0.9462768,-0.8317766,-0.1145002
23,-0.9854091,-1.0557665,"('insincere', 'sincere')",-2.352483,-2.4959278,-0.7958359,-0.83817637,-1.3779093,-1.4632902,0.0853809
15,0.9843964,0.93534005,"('boring', 'funny')",1.045643,0.93844,-0.18793151,-0.26418427,0.6140359,0.5365319,0.077504
86,-0.9639361,-1.0564723,"('uninfluential', 'influential')",-1.9487108,-2.036389,-1.4071922,-1.47894,-1.4399463,-1.5239337,0.0839874
64,0.9631925,1.0915265,"('shy', 'confident')",-0.05943547,-0.009356577,0.16842194,0.34866953,0.357393,0.4769465,-0.1195535
42,0.9393872,1.0759668,"('unreliable', 'reliable')",1.0871174,1.0552785,0.69547397,0.7448329,0.9073261,0.9586927,-0.0513666
87,0.9056607,0.78789604,"('unsuccessful', 'successful')",1.3590192,1.2983068,1.3648221,1.508369,1.209834,1.1981906,0.0116434
60,0.8501257,0.71088475,"('inefficient', 'efficient')",-1.8318868,-1.946195,0.47808298,0.29245675,-0.1678927,-0.3142845,0.1463918
78,-0.80795795,-0.8602191,"('nonresilient', 'resilient')",-1.2631973,-1.4098568,-0.7668983,-0.8231031,-0.9460179,-1.0310596,0.0850417
82,-0.76967907,-0.9426026,"('poor', 'rich')",-0.8482232,-0.9647231,-1.1466286,-1.2835839,-0.9215103,-1.0636365,0.1421262
18,-0.73340446,-0.5817954,"('disagreeable', 'welcoming')",0.36021274,0.44328928,-0.69141257,-0.51992095,-0.3548681,-0.2194757,-0.1353924
33,0.7151072,0.83137476,"('wrong', 'right')",1.063049,1.0906054,1.1906296,1.3482434,0.9895953,1.0900745,-0.1004792
76,0.7089174,0.62360924,"('anxious', 'daring')",0.30124035,0.19001684,0.23023735,0.174981,0.413465,0.3295357,0.0839293
85,0.6814791,0.786185,"('insignificant', 'prestigious')",2.6087198,2.80593,1.3651594,1.627681,1.5517861,1.7399321,-0.188146
26,-0.6799549,-0.6050228,"('hardhearted', 'benevolent')",1.1989697,1.346019,-0.6066426,-0.53595066,-0.0292093,0.0683485,-0.0975578
49,-0.66653126,-0.70626915,"('unable', 'able')",-0.96503305,-0.87054133,-0.7888275,-0.6835214,-0.8067973,-0.753444,-0.0533533
38,-0.6583649,-0.6033946,"('untruthful', 'truthful')",-1.1825553,-1.1541315,-0.0006419197,0.05144922,-0.6138541,-0.5686923,-0.0451618
47,-0.656431,-0.6768045,"('stupid', 'smart')",-1.1927105,-1.1802438,-0.5106355,-0.44505578,-0.7865923,-0.767368,-0.0192243
52,0.650376,0.7653686,"('irrational', 'rational')",1.1325845,1.1989362,-0.20853722,0.02356705,0.5248077,0.662624,-0.1378163
20,-0.64884275,-0.7271377,"('rough', 'thoughtful')",-0.80039585,-0.80845404,-0.1618365,-0.17859074,-0.537025,-0.5713942,0.0343692
0,-0.6393218,-0.78226936,"('unsociable', 'sociable')",-2.6152606,-2.7309616,-0.2818485,-0.39222714,-1.1788103,-1.3018193,0.123009
61,0.63381726,0.6187464,"('illogical', 'logical')",-0.82274616,-0.78825355,0.5742535,0.6641225,0.1284415,0.1648718,-0.0364303
83,0.6166051,0.63009757,"('powerless', 'powerful')",-0.21253762,-0.22770584,0.45312232,0.5790306,0.2857299,0.3271408,-0.0414109
6,0.5836737,0.78080577,"('distant', 'open')",1.2961127,1.3920829,0.3517946,0.5213028,0.7438603,0.8980638,-0.1542035
54,-0.5267344,-0.35977557,"('incapable', 'capable')",0.1976446,0.34681022,0.42350888,0.7262429,0.031473,0.2377592,-0.2062862
35,-0.52223563,-0.40562397,"('corrupt', 'incorrupt')",0.96649915,1.1199322,0.18683934,0.24089274,0.2103676,0.3184003,-0.1080327
8,-0.503631,-0.4650302,"('unaffectionate', 'affectionate')",-0.014576569,0.05958443,-0.5914686,-0.54433,-0.369892,-0.3165919,-0.0533001
80,0.46656075,0.3987735,"('dominated', 'dominating')",-1.1232461,-1.2837692,-0.13256241,-0.24441862,-0.2630826,-0.3764714,0.1133888
31,-0.44170642,-0.33965242,"('evil', 'good')",1.4581559,1.5445192,0.5109496,0.5649134,0.509133,0.5899267,-0.0807937
39,0.43002427,0.57740444,"('exploitative', 'cooperative')",-0.6146964,-0.42709586,0.42450002,0.51178306,0.0799426,0.2206972,-0.1407546
22,-0.42767915,-0.5721996,"('untrustworthy', 'trustworthy')",-0.33268136,-0.39485776,-0.81369543,-0.93701786,-0.5246853,-0.6346917,0.1100064
44,0.40531206,0.5491001,"('prejudiced', 'unprejudiced')",0.30356395,0.38435534,0.40061456,0.5520907,0.3698302,0.495182,-0.1253518
16,0.39536172,0.39256853,"('unpopular', 'popular')",0.9729439,0.9610885,0.05080538,0.17680803,0.473037,0.510155,-0.037118
41,-0.3890273,-0.41285712,"('unforgiving', 'forgiving')",-1.6763153,-1.6298227,-0.2769586,-0.29646307,-0.7807671,-0.7797143,-0.0010528
12,0.3783318,0.5844754,"('unsupportive', 'supportive')",-0.9112925,-0.7938594,0.5554052,0.73265135,0.0074815,0.1744224,-0.1669409
4,-0.35854697,-0.28573132,"('disliked', 'liked')",0.54711765,0.57984304,0.66870916,0.7053086,0.2857599,0.3331401,-0.0473802
36,-0.34942758,-0.26109365,"('hostile', 'amicable')",0.49862772,0.5861069,-0.061651878,0.078115724,0.0291828,0.1343763,-0.1051935
74,-0.3311304,-0.3295178,"('undedicated', 'dedicated')",-0.44046488,-0.41620418,-0.44896978,-0.46087733,-0.406855,-0.4021998,-0.0046552
17,-0.32775158,-0.37070376,"('nasty', 'nice')",-0.18393026,-0.23646212,0.66182184,0.6287932,0.0500467,0.0072091,0.0428376
67,0.32080576,0.42565867,"('doubtful', 'determined')",-0.6329663,-0.49064267,0.27875125,0.3795427,-0.0111364,0.1048529,-0.1159893
25,-0.30972645,-0.2900312,"('egoistic', 'altruistic')",0.18800476,0.20584698,0.33823577,0.3184006,0.0721714,0.0780721,-0.0059007
45,0.3084917,0.21507654,"('incompetent', 'competent')",-2.2178402,-2.265726,-0.32993227,-0.47800508,-0.7464269,-0.8428849,0.096458
