,integrys_male,integrys_female,tuple,energy_male,energy_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.009591,-2.211503,"('uninfluential', 'influential')",0.41601962,0.6120987,0.23303558,0.15763529,0.30798444,0.060399413,-0.2631378,-0.3453424,0.0822046
1,-2.007012,-2.3005795,"('unfriendly', 'friendly')",0.63121265,0.4568339,-0.3465044,-0.50686735,1.2670163,1.4830155,-0.1138218,-0.2168994,0.1030776
45,-1.4857354,-1.8998195,"('incompetent', 'competent')",-0.24901938,-0.40893686,0.7990635,0.11610559,0.14719412,-0.16285823,-0.1971243,-0.5888773,0.391753
0,-1.2648339,-1.7719346,"('unsociable', 'sociable')",-0.16238642,-0.37128,0.79229856,0.5192888,-0.1892522,-0.4662981,-0.2060435,-0.522556,0.3165125
31,-1.1733422,-0.76027524,"('evil', 'good')",-0.89264196,-0.9750268,-1.7361006,-1.3681272,-1.8842534,-1.292086,-1.4215846,-1.0988789,-0.3227057
9,-1.1266812,-1.2129741,"('unaffectionate', 'caring')",0.7509844,0.5981572,-0.19430062,-0.34381524,0.67086124,0.840391,0.025216,-0.0295603,0.0547763
55,-1.1056433,-1.3703951,"('incompetent', 'clever')",-0.87321913,-0.6008201,0.9286556,0.8515229,0.36755735,0.18980396,-0.1706624,-0.2324721,0.0618097
8,-1.1035855,-1.232885,"('unaffectionate', 'affectionate')",-0.047169626,-0.3871199,-0.17468141,-0.586408,-0.08582298,0.063878596,-0.3528149,-0.5356336,0.1828187
10,-1.0645939,-1.5790098,"('unsympathetic', 'sympathetic')",-0.7251942,-0.45463204,0.26749557,0.08488981,1.250108,0.24089445,-0.0680462,-0.4269644,0.3589182
66,1.0602804,0.8776316,"('inactive', 'active')",-0.19195962,-0.20090966,1.148266,0.9852261,0.9463845,1.108889,0.7407428,0.6927092,0.0480336
80,1.0584543,0.59834814,"('dominated', 'dominating')",-0.088403985,0.0092549175,2.3952045,1.7301755,-0.24020289,-1.1468531,0.781263,0.2977314,0.4835316
72,-1.0200858,-1.0977218,"('unambitious', 'ambitious')",0.5806367,0.5301096,0.4120356,0.18496442,-0.40132666,-0.9276066,-0.107185,-0.3275636,0.2203786
13,-1.0121464,-0.8428252,"('impolite', 'polite')",-0.46844235,-0.13671649,-0.17482252,0.39829868,-0.05939786,-0.07126404,-0.4287023,-0.1631268,-0.2655755
24,-1.0027504,-0.84928244,"('dishonest', 'honest')",0.4631766,0.6597663,-0.16315702,0.13306436,1.263374,1.0018295,0.1401608,0.2363444,-0.0961836
82,-1.0017052,-1.3001549,"('poor', 'rich')",-0.75264215,-0.36584407,-0.46302217,-0.24593465,5.601797,6.2450356,0.8461069,1.0832756,-0.2371687
73,0.991554,1.333475,"('helpless', 'self-reliant')",1.6555532,1.4193857,0.3029108,0.015532538,-2.9859614,-3.5486095,-0.0089859,-0.1950541,0.1860682
37,0.9654752,0.44956806,"('fake', 'genuine')",0.5061071,0.23210742,0.41233835,0.26906928,1.2554406,0.655007,0.7848403,0.4014379,0.3834024
28,-0.96158785,-1.394291,"('disloyal', 'loyal')",0.39053667,0.15260574,0.7502202,0.0939022,2.037633,1.2635173,0.5542005,0.0289336,0.5252669
75,0.9543146,0.85383064,"('meek', 'impulsive')",0.3517469,0.04599246,-1.2445772,-1.1851109,-0.59397477,-0.4290831,-0.1331226,-0.1785927,0.0454701
44,0.94085056,0.91743654,"('prejudiced', 'unprejudiced')",-0.2438162,-0.2728139,-0.09997494,-0.3218427,-1.3447704,-1.5118868,-0.1869278,-0.2972767,0.1103489
23,-0.94068855,-1.2089841,"('insincere', 'sincere')",-0.6908212,-0.3950042,-0.42501688,-0.0056840777,5.290972,5.772452,0.8086114,1.0406948,-0.2320834
43,-0.9353187,-1.1064639,"('irresponsible', 'responsible')",0.667388,0.9559546,0.57974696,0.6646028,1.1982498,0.6968471,0.3775165,0.3027351,0.0747814
63,-0.905258,-0.86460304,"('unperceptive', 'insightful')",0.5955683,0.8114549,1.4476929,1.4821019,1.2293962,1.2810642,0.5918498,0.6775045,-0.0856547
48,-0.90476125,-1.2536441,"('unintelligent', 'intelligent')",0.33711433,0.52111053,-0.55604166,-0.6011818,0.42118588,0.41608086,-0.1756257,-0.2294087,0.053783
88,-0.90424436,-1.0124326,"('low', 'eminent')",-0.16169046,-0.3775404,-0.8909993,-1.0243281,0.9018691,0.4643667,-0.2637662,-0.4874836,0.2237174
57,-0.89357644,-1.6974864,"('unimaginative', 'imaginative')",0.7050069,0.5427769,0.22783145,-0.61216027,-0.95716864,-2.3336248,-0.2294767,-1.0251236,0.7956469
3,-0.890186,-0.96817964,"('repellent', 'pleasant')",-0.87493706,-0.6164679,0.6175795,1.0032814,0.636307,0.37627715,-0.1278092,-0.0512723,-0.0765369
50,0.88331735,0.67748207,"('clumsy', 'skillful')",0.22912274,0.082665026,0.32767788,0.37776726,0.32176816,0.33589813,0.4404715,0.3684531,0.0720184
6,-0.8522687,-0.74752754,"('distant', 'open')",0.1674923,0.08674236,-1.6075034,-1.6983893,-0.18010409,0.097050205,-0.6180959,-0.5655311,-0.0525648
69,0.83484006,1.3068304,"('lazy', 'industrious')",1.3959687,1.3398226,0.28633273,0.36755335,-1.5609975,-0.67718244,0.239036,0.584256,-0.34522
22,-0.8255544,-1.1212107,"('untrustworthy', 'trustworthy')",-0.8986054,-0.9308811,1.1295077,1.0448338,-1.2012265,-1.120868,-0.4489696,-0.5320315,0.0830619
54,-0.81527716,-1.0519865,"('incapable', 'capable')",-0.11366854,-0.13046065,-0.34057996,-0.35487223,0.02922067,0.5536819,-0.3100762,-0.2459093,-0.0641669
67,0.7964337,0.97774,"('doubtful', 'determined')",0.13243073,0.050738983,0.64843106,1.045306,-0.40117398,-0.41096815,0.2940304,0.4157042,-0.1216738
41,-0.77762944,-0.9531976,"('unforgiving', 'forgiving')",-0.6374759,-0.76432604,0.6517865,0.6432765,-0.40231365,0.25027743,-0.2914081,-0.2059924,-0.0854157
12,-0.7498612,-0.8495168,"('unsupportive', 'supportive')",0.90531623,0.8963472,0.9099778,1.0166882,-0.9919841,-1.3012447,0.0183622,-0.0594315,0.0777937
35,0.7440931,0.81227744,"('corrupt', 'incorrupt')",0.044442482,-0.23433158,-1.249864,-1.5101602,-0.63406557,-0.32866332,-0.2738485,-0.3152194,0.0413709
47,-0.69903964,-0.8091083,"('stupid', 'smart')",0.19720581,0.58717096,0.5427667,0.8620984,4.401618,5.322444,1.1106377,1.4906512,-0.3800135
65,-0.69727993,-0.5855148,"('insecure', 'secure')",-0.42067215,-0.07413694,0.7810986,0.89826125,-0.24948339,-0.124312714,-0.1465842,0.0285742,-0.1751584
51,-0.65483254,-0.81258184,"('uneducated', 'educated')",-0.5933547,-0.3203217,0.6432448,0.9677954,1.0050356,1.0538815,0.1000233,0.2221933,-0.12217
85,-0.6454062,-0.13706298,"('insignificant', 'prestigious')",0.8857321,0.44351476,-0.56686664,-0.80886996,-0.6261091,-0.244355,-0.2381625,-0.1866933,-0.0514692
32,-0.6416951,-0.7893517,"('unkind', 'kind')",-0.18102644,0.014650457,0.5662428,0.8258636,1.1640894,1.0957276,0.2269027,0.2867225,-0.0598198
25,-0.63040566,-0.553706,"('egoistic', 'altruistic')",0.30882937,0.48472774,-0.46704823,-0.46258524,0.70995176,1.3710378,-0.0196682,0.2098686,-0.2295368
53,-0.62701094,-1.0523969,"('uncreative', 'creative')",0.41644222,0.69626546,-0.018697243,-0.14366573,1.9371986,1.2795634,0.4269832,0.1949416,0.2320416
18,-0.59610146,-0.80854213,"('disagreeable', 'welcoming')",-1.2091593,-1.1059926,-1.2367845,-0.60342103,-0.9677758,-0.389664,-1.0024552,-0.7269049,-0.2755503
42,0.5943644,0.29864585,"('unreliable', 'reliable')",0.34939104,0.11621826,1.6141334,1.3060338,-1.9256283,-2.5874696,0.1580651,-0.2166429,0.374708
2,0.5723254,0.65453416,"('unlikable', 'likable')",1.0169338,1.1195205,1.6995388,1.8241682,0.010465812,0.90387106,0.8248159,1.1255236,-0.3007077
58,0.5693788,0.11316585,"('undiscriminating', 'discriminating')",0.9722356,0.7285832,1.4046873,0.6249082,0.92645913,0.07233536,0.9681902,0.3847482,0.583442
30,-0.52418405,-0.4638726,"('intolerant', 'tolerant')",0.75838244,0.7947217,0.42046335,0.57400525,0.98180014,1.0288607,0.4091155,0.4834288,-0.0743133
27,-0.51546,-0.53381395,"('hardhearted', 'softhearted')",0.012197167,0.18833272,-0.4852295,-0.07626422,1.1541907,1.2859218,0.0414246,0.2160441,-0.1746195
84,0.5083312,0.7376344,"('inferior', 'superior')",0.37427276,0.41529924,0.48299676,0.87276316,0.29506254,0.65812135,0.4151658,0.6709545,-0.2557887
21,-0.4574884,-0.3948441,"('immoral', 'moral')",0.30232862,0.8599542,0.006066926,0.54317117,-0.8484244,-0.742685,-0.2493793,0.0663991,-0.3157784
59,-0.4558183,0.07569221,"('foolish', 'wise')",0.96096164,1.003644,-1.0398434,-0.8145785,-0.72237074,0.02377717,-0.3142677,0.0721337,-0.3864014
62,-0.45543247,-0.6772808,"('incompetent', 'brilliant')",0.17616208,0.35307562,0.64866924,0.4258275,0.021142121,0.1909759,0.0976352,0.0731496,0.0244856
40,-0.449282,-0.522712,"('stingy', 'generous')",0.51189435,0.27268428,0.6452124,0.24692193,-0.7224941,-1.4331045,-0.0036673,-0.3590526,0.3553853
87,0.44772094,0.35884714,"('unsuccessful', 'successful')",0.11842479,0.027125657,1.6160415,1.2689546,0.6739469,0.71773916,0.7140335,0.5931666,0.1208669
