,baxter_male,baxter_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
75,-2.2433722,-1.7917831,"('meek', 'impulsive')",-0.48116153,-0.3457489,-0.61382455,-0.4895196,-1.1127861,-0.8756839,-0.2371022
39,2.0696623,1.7747563,"('exploitative', 'cooperative')",0.94711936,0.85311955,0.25374126,0.23676445,1.0901744,0.9548801,0.1352943
44,-2.0411286,-2.168757,"('prejudiced', 'unprejudiced')",-0.011500046,-0.044743612,-1.5743829,-1.4811289,-1.2090039,-1.2315431,0.0225392
16,-1.8730652,-1.6402136,"('unpopular', 'popular')",-0.27456445,-0.13057174,0.2773686,0.3218719,-0.6234204,-0.4829712,-0.1404492
71,1.7607093,1.961559,"('diffident', 'self-confident')",0.80249244,0.9649442,0.5184042,0.5070401,1.027202,1.1445144,-0.1173124
61,1.6250886,1.4223392,"('illogical', 'logical')",-0.25223783,-0.31864244,0.35660645,0.25247735,0.5764858,0.4520581,0.1244277
4,-1.4898688,-0.952843,"('disliked', 'liked')",-0.6156742,-0.38118124,-6.5288663,-6.489911,-2.8781363,-2.6079785,-0.2701578
9,1.4431794,1.7020395,"('unaffectionate', 'caring')",0.32923132,0.6081052,1.1612881,1.4185902,0.9778996,1.2429117,-0.2650121
12,1.4042997,1.15867,"('unsupportive', 'supportive')",0.7000976,0.6118275,-1.5004091,-1.5527143,0.2013294,0.0725944,0.128735
6,-1.3330649,-0.50429475,"('distant', 'open')",-0.25149685,-0.10815307,0.5247855,0.6117707,-0.3532588,-0.0002257,-0.3530331
74,1.3251189,1.3548908,"('undedicated', 'dedicated')",0.60186976,0.52335894,0.25348708,0.29195547,0.7268252,0.7234017,0.0034235
66,-1.2397429,-1.1159098,"('inactive', 'active')",0.64643735,0.5082244,0.9460491,0.7819349,0.1175812,0.0580832,0.059498
56,1.22573,0.8280511,"('impractical', 'practical')",0.8404279,0.8369175,-0.5904476,-0.5035726,0.4919034,0.387132,0.1047714
43,1.2052042,0.83186173,"('irresponsible', 'responsible')",0.46665233,0.40278047,0.34302285,0.27795437,0.6716265,0.5041989,0.1674276
48,1.1985313,0.90621626,"('unintelligent', 'intelligent')",0.191043,0.27484822,0.29833248,0.36414182,0.5626356,0.5150688,0.0475668
32,1.191916,1.2085887,"('unkind', 'kind')",0.07584026,0.18330102,0.8965145,1.0197755,0.7214235,0.8038884,-0.0824649
36,-1.1645461,-0.51056826,"('hostile', 'amicable')",-0.023525663,0.05972493,0.49464655,0.5222774,-0.2311418,0.0238114,-0.2549532
7,1.162675,0.6699786,"('insensitive', 'sensitive')",0.2705701,0.32813302,1.1681418,1.2316409,0.867129,0.7432508,0.1238782
