,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,male-female
10,-3.0390112,-3.1308093,"('unsympathetic', 'sympathetic')",-0.25312614,-0.2119319,-1.6460687,-1.6713706,0.0253019
86,-2.653704,-2.8908536,"('uninfluential', 'influential')",-0.08522923,-0.3534648,-1.3694665,-1.6221592,0.2526927
11,-2.4264536,-2.3331676,"('unhelpful', 'helpful')",1.0821098,1.171499,-0.6721719,-0.5808343,-0.0913376
12,-2.3121364,-2.4955637,"('unsupportive', 'supportive')",-1.7156626,-1.8484951,-2.0138996,-2.1720295,0.1581299
0,-1.9555367,-2.1065097,"('unsociable', 'sociable')",-0.22260498,-0.24995796,-1.0890708,-1.1782339,0.0891631
35,1.9507974,1.9958298,"('corrupt', 'incorrupt')",-0.2435636,-0.15640257,0.8536169,0.9197136,-0.0660967
69,1.891811,1.8569727,"('lazy', 'industrious')",-0.16689172,-0.030723756,0.8624597,0.9131244,-0.0506647
46,-1.868847,-1.9245559,"('uncompetitive', 'competitive')",-0.07160754,-0.25870156,-0.9702273,-1.0916288,0.1214015
57,-1.8474205,-2.0826392,"('unimaginative', 'imaginative')",-0.48714003,-1.0177194,-1.1672802,-1.5501792,0.382899
23,-1.8197933,-1.6288502,"('insincere', 'sincere')",4.1718554,4.5189233,1.1760311,1.4450365,-0.2690054
13,-1.8185744,-1.6673748,"('impolite', 'polite')",-0.83082426,-0.7815984,-1.3246994,-1.2244866,-0.1002128
60,-1.7263026,-1.6348838,"('inefficient', 'efficient')",0.002693165,0.049514662,-0.8618047,-0.7926846,-0.0691201
21,-1.7172962,-1.3953192,"('immoral', 'moral')",-1.3183453,-0.9777425,-1.5178208,-1.1865308,-0.33129
55,-1.708469,-1.8607782,"('incompetent', 'clever')",0.5528095,0.452002,-0.5778298,-0.7043881,0.1265583
48,-1.6573566,-1.9815,"('unintelligent', 'intelligent')",0.73183477,0.54099506,-0.4627609,-0.7202525,0.2574916
63,-1.6210467,-1.6574041,"('unperceptive', 'insightful')",0.8393057,0.656216,-0.3908705,-0.500594,0.1097235
43,-1.5951546,-1.5070934,"('irresponsible', 'responsible')",0.79207605,0.93106306,-0.4015393,-0.2880152,-0.1135241
62,-1.5667199,-1.556528,"('incompetent', 'brilliant')",0.15136722,0.25744832,-0.7076764,-0.6495398,-0.0581366
