,boeing_male,boeing_female,tuple,co_male,co_female,average_male,average_female,male-female
44,-2.0665028,-1.5745835,"('prejudiced', 'unprejudiced')",-1.7374285,-1.6826353,-1.9019656,-1.6286094,-0.2733562
71,1.8444673,1.9929583,"('diffident', 'self-confident')",0.18175307,0.43629503,1.0131102,1.2146267,-0.2015165
26,1.8346032,1.604282,"('hardhearted', 'benevolent')",0.9118962,1.1106035,1.3732498,1.3574427,0.0158071
74,1.5186429,1.3378906,"('undedicated', 'dedicated')",0.47657695,0.58455104,0.9976099,0.9612209,0.036389
39,1.4957432,1.6231258,"('exploitative', 'cooperative')",0.6555862,0.754117,1.0756646,1.1886214,-0.1129568
33,1.4327475,1.6067526,"('wrong', 'right')",-0.76898694,-0.5988622,0.3318803,0.5039452,-0.1720649
56,1.4237499,1.1630017,"('impractical', 'practical')",0.40006322,0.28786185,0.9119066,0.7254317,0.1864749
61,1.3960384,1.2530428,"('illogical', 'logical')",0.116854444,0.30175123,0.7564464,0.777397,-0.0209506
86,1.2272662,0.92525935,"('uninfluential', 'influential')",-0.41406026,-0.07993582,0.406603,0.4226618,-0.0160588
23,1.1983263,0.92747414,"('insincere', 'sincere')",5.9586277,6.3561525,3.5784769,3.6418133,-0.0633364
62,1.1871423,1.1012021,"('incompetent', 'brilliant')",0.38015825,0.59163946,0.7836503,0.8464208,-0.0627705
63,1.1723856,0.9968026,"('unperceptive', 'insightful')",0.53433114,0.6623199,0.8533584,0.8295612,0.0237972
75,-1.1302886,-0.82625353,"('meek', 'impulsive')",-0.65733486,-0.6744993,-0.8938117,-0.7503764,-0.1434353
25,1.1084603,1.0525572,"('egoistic', 'altruistic')",0.7239147,0.7559448,0.9161875,0.904251,0.0119365
51,1.1010432,0.7934034,"('uneducated', 'educated')",1.9811352,1.3923614,1.5410893,1.0928824,0.4482069
84,1.0793854,1.0879502,"('inferior', 'superior')",0.5448563,0.60975957,0.8121209,0.8488549,-0.036734
12,1.0779232,0.9650006,"('unsupportive', 'supportive')",-1.625037,-1.5441087,-0.2735569,-0.2895541,0.0159972
9,1.0697157,0.9165128,"('unaffectionate', 'caring')",0.46842888,0.9081558,0.7690723,0.9123343,-0.143262
72,1.0537863,0.98319817,"('unambitious', 'ambitious')",-0.73333126,-0.38057882,0.1602275,0.3013097,-0.1410822
47,1.0333513,0.97948205,"('stupid', 'smart')",4.513048,5.0708203,2.7731998,3.0251513,-0.2519515
83,1.0226306,1.0700481,"('powerless', 'powerful')",-1.0695672,-1.0044887,-0.0234683,0.0327797,-0.056248
28,1.0176467,0.6618184,"('disloyal', 'loyal')",1.0899659,1.0009493,1.0538063,0.8313838,0.2224225
1,1.0097965,0.82241005,"('unfriendly', 'friendly')",0.78048414,1.1706274,0.8951403,0.9965187,-0.1013784
21,0.9921782,0.6169119,"('immoral', 'moral')",-0.63240683,-0.62971425,0.1798857,-0.0064012,0.1862869
54,0.96692604,0.97399384,"('incapable', 'capable')",0.6036489,0.6638856,0.7852875,0.8189397,-0.0336522
17,-0.9249995,-0.7797324,"('nasty', 'nice')",0.004732445,-0.30514377,-0.4601335,-0.5424381,0.0823046
79,-0.92138034,-0.7060414,"('wavering', 'unwavering')",-0.6480594,-0.6746937,-0.7847199,-0.6903676,-0.0943523
