,hasbro_male,hasbro_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-1.558295,-1.3256752,"('unimaginative', 'imaginative')",-2.632872,-2.697713,-2.0955834,-2.011694,-0.0838894
22,-1.5274931,-1.262513,"('untrustworthy', 'trustworthy')",-1.1453038,-1.1216532,-1.3363985,-1.1920831,-0.1443154
0,-1.1835159,-0.86260027,"('unsociable', 'sociable')",-0.44878185,-0.34654978,-0.8161489,-0.604575,-0.2115739
10,-1.1493167,-0.8989625,"('unsympathetic', 'sympathetic')",-0.3941614,-0.193507,-0.771739,-0.5462347,-0.2255043
18,-1.0712503,-1.035333,"('disagreeable', 'welcoming')",-0.45653355,-0.45290503,-0.7638919,-0.744119,-0.0197729
13,-1.0642561,-0.50142604,"('impolite', 'polite')",-0.9550429,-0.5644036,-1.0096495,-0.5329148,-0.4767347
51,-1.0468601,-0.98345816,"('uneducated', 'educated')",0.51379097,0.4491611,-0.2665346,-0.2671485,0.0006139
27,0.9652457,0.3853798,"('hardhearted', 'softhearted')",1.7647982,1.3081546,1.3650219,0.8467672,0.5182547
53,-0.95121783,-0.89300895,"('uncreative', 'creative')",0.95712554,0.96722025,0.0029539,0.0371056,-0.0341517
68,-0.94761455,-1.1005563,"('dependent', 'independent')",-0.23964603,-0.333552,-0.5936303,-0.7170541,0.1234238
72,-0.8617038,-0.7137322,"('unambitious', 'ambitious')",-0.55141157,-0.36127153,-0.7065577,-0.5375019,-0.1690558
14,-0.85976624,-0.36676052,"('antisocial', 'social')",-0.87522686,-0.5809617,-0.8674966,-0.4738611,-0.3936355
20,-0.85096776,-0.93330514,"('rough', 'thoughtful')",1.3945032,1.1151061,0.2717677,0.0909005,0.1808672
28,-0.8431648,-0.44599473,"('disloyal', 'loyal')",0.8754089,0.9463184,0.016122,0.2501618,-0.2340398
87,0.81068987,1.0335989,"('unsuccessful', 'successful')",0.88204104,0.88546115,0.8463655,0.95953,-0.1131645
86,-0.78152436,-0.7298278,"('uninfluential', 'influential')",0.21798566,0.18328005,-0.2817693,-0.2732739,-0.0084954
45,-0.7806437,-0.46049413,"('incompetent', 'competent')",-0.068617485,0.03053099,-0.4246306,-0.2149816,-0.209649
38,-0.7425097,-0.4995659,"('untruthful', 'truthful')",-0.36049333,-0.111630335,-0.5515015,-0.3055981,-0.2459034
55,-0.68056154,-0.3571666,"('incompetent', 'clever')",0.055710893,0.1857315,-0.3124253,-0.0857175,-0.2267078
69,0.6751481,0.40175486,"('lazy', 'industrious')",-0.54272205,-0.72123253,0.066213,-0.1597388,0.2259518
85,0.6684507,0.23533389,"('insignificant', 'prestigious')",0.70827264,0.44650555,0.6883616,0.3409197,0.3474419
71,0.6586143,0.61382484,"('diffident', 'self-confident')",0.83754706,0.8085336,0.7480807,0.7111793,0.0369014
73,0.63674283,0.6385665,"('helpless', 'self-reliant')",-3.120469,-3.295246,-1.2418631,-1.3283397,0.0864766
63,-0.6240848,-0.4169363,"('unperceptive', 'insightful')",1.1174074,0.9829976,0.2466613,0.2830306,-0.0363693
67,0.5534426,0.51261246,"('doubtful', 'determined')",-0.6154771,-0.39446953,-0.0310172,0.0590715,-0.0900887
3,-0.55315953,-0.39598706,"('repellent', 'pleasant')",0.20095071,0.40760076,-0.1761044,0.0058068,-0.1819112
70,-0.5476695,-0.27195948,"('lethargic', 'energetic')",0.7249165,0.8057956,0.0886235,0.2669181,-0.1782946
59,0.54442275,0.33367103,"('foolish', 'wise')",0.3884591,0.31066108,0.4664409,0.3221661,0.1442748
25,0.53857934,0.5042386,"('egoistic', 'altruistic')",1.5197035,1.4753016,1.0291414,0.9897701,0.0393713
41,-0.5371915,-0.30767116,"('unforgiving', 'forgiving')",0.0377992,-0.16615786,-0.2496962,-0.2369145,-0.0127817
65,-0.5370231,0.0014590025,"('insecure', 'secure')",-0.7175884,-0.5293825,-0.6273057,-0.2639618,-0.3633439
23,-0.49024877,-0.12789956,"('insincere', 'sincere')",5.7266583,6.087349,2.6182048,2.9797246,-0.3615198
75,0.48693192,0.36375803,"('meek', 'impulsive')",-0.44407806,-0.39538014,0.0214269,-0.0158111,0.037238
88,-0.48393315,-0.38343397,"('low', 'eminent')",0.14971581,0.31058735,-0.1671087,-0.0364233,-0.1306854
77,-0.4590153,-0.27855065,"('unmotivated', 'motivated')",-1.193297,-1.1167403,-0.8261561,-0.6976455,-0.1285106
21,-0.44757602,0.08724816,"('immoral', 'moral')",-0.8662501,-0.6860808,-0.656913,-0.2994163,-0.3574967
33,0.44519633,0.312446,"('wrong', 'right')",-0.56074655,-0.71530676,-0.0577751,-0.2014304,0.1436553
35,0.44299203,0.03056329,"('corrupt', 'incorrupt')",-0.03514931,-0.12152817,0.2039214,-0.0454824,0.2494038
58,-0.4392641,-0.49871838,"('undiscriminating', 'discriminating')",0.40118176,0.06514854,-0.0190412,-0.2167849,0.1977437
66,0.43906397,0.018348098,"('inactive', 'active')",1.0972642,0.82445264,0.768164,0.4214004,0.3467636
9,0.432693,0.26652598,"('unaffectionate', 'caring')",1.1321404,1.1411486,0.7824167,0.7038373,0.0785794
31,-0.4260503,-0.5363432,"('evil', 'good')",-0.79331404,-0.879669,-0.6096822,-0.7080061,0.0983239
47,-0.42003545,-0.02652274,"('stupid', 'smart')",5.225821,5.514365,2.4028928,2.7439213,-0.3410285
