,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,male-female
39,1.5727744,1.8895007,"('exploitative', 'cooperative')",0.8371859,0.9788374,0.18303151,0.31954622,0.8643306,1.0626281,-0.1982975
6,-1.5272725,-1.4330661,"('distant', 'open')",-0.8862225,-0.7477395,0.0833776,0.14906368,-0.7767058,-0.6772474,-0.0994584
73,1.4190651,1.4256088,"('helpless', 'self-reliant')",0.70007396,0.5979304,-3.1860514,-3.2483215,-0.3556374,-0.4082608,0.0526234
27,-1.3211217,-1.1960249,"('hardhearted', 'softhearted')",-0.3587386,-0.38753688,1.2456936,1.3507313,-0.1447223,-0.0776102,-0.0671121
26,1.2953417,1.1834755,"('hardhearted', 'benevolent')",2.4894044,2.389819,1.63913,1.7620094,1.8079588,1.7784346,0.0295242
67,1.2650543,1.2046134,"('doubtful', 'determined')",0.253025,0.2460084,-0.3920257,-0.4885556,0.3753512,0.3206887,0.0546625
84,1.1847755,1.0643647,"('inferior', 'superior')",0.03192051,0.0035574213,0.7587815,0.7467299,0.6584925,0.604884,0.0536085
31,-1.1476343,-1.2581173,"('evil', 'good')",0.00037591346,0.11983733,-0.7473146,-0.7222677,-0.6315243,-0.6201826,-0.0113417
68,-1.1234819,-1.0000808,"('dependent', 'independent')",-1.1075171,-1.1122032,-0.37053832,-0.29244265,-0.8671791,-0.8015756,-0.0656035
49,-1.1144359,-0.91252977,"('unable', 'able')",-0.80975616,-0.6641834,-0.38643023,-0.17457014,-0.7702074,-0.5837611,-0.1864463
82,-1.1004103,-1.0424882,"('poor', 'rich')",-0.09950375,-0.05458329,6.0170016,5.8431873,1.6056959,1.5820386,0.0236573
56,1.0135809,1.2423663,"('impractical', 'practical')",1.4702764,1.5208579,-0.027555073,0.0635518,0.8187674,0.9422587,-0.1234913
5,-1.008337,-0.934437,"('distant', 'outgoing')",-0.11523052,-0.029121105,-0.43771705,-0.33514118,-0.5204282,-0.4328998,-0.0875284
71,1.0051165,1.1208522,"('diffident', 'self-confident')",1.3944339,1.4695519,0.53602856,0.6627725,0.9785264,1.0843922,-0.1058658
44,-0.97859895,-0.8183937,"('prejudiced', 'unprejudiced')",-1.7093925,-1.6537642,-1.4508643,-1.4472715,-1.3796186,-1.3064764,-0.0731422
12,0.95997465,0.7464298,"('unsupportive', 'supportive')",0.3973962,0.30819866,-1.8229576,-1.7351084,-0.1551956,-0.2268266,0.071631
74,0.95611745,0.775276,"('undedicated', 'dedicated')",1.0795473,0.8582195,0.35050878,0.35257638,0.7953912,0.662024,0.1333672
1,-0.9452133,-0.88806504,"('unfriendly', 'friendly')",0.48683003,0.50564724,1.7909447,1.8012526,0.4441871,0.4729449,-0.0287578
34,-0.93747324,-0.74372053,"('mean', 'honorable')",-0.3239485,-0.24625024,6.1876764,6.1426954,1.6420849,1.7175749,-0.07549
36,-0.86683375,-1.0746933,"('hostile', 'amicable')",-0.7045096,-0.7286855,0.124587506,0.031205095,-0.482252,-0.5907246,0.1084726
3,-0.8658459,-0.9516001,"('repellent', 'pleasant')",-0.06269338,-0.0751628,0.45541424,0.31597307,-0.1577083,-0.2369299,0.0792216
42,0.8543149,0.91431874,"('unreliable', 'reliable')",0.46118423,0.5662025,-2.9200528,-2.683984,-0.5348512,-0.4011543,-0.1336969
55,-0.8219279,-0.8213314,"('incompetent', 'clever')",-0.2542782,-0.32626992,0.064732835,0.089893326,-0.3371578,-0.3525693,0.0154115
87,0.8110832,0.7033431,"('unsuccessful', 'successful')",0.65636027,0.5161399,0.6685878,0.83793914,0.7120104,0.6858074,0.026203
54,-0.8064529,-0.7696397,"('incapable', 'capable')",-0.49057686,-0.35592052,0.99189115,0.99213606,-0.1017129,-0.0444747,-0.0572382
50,0.7953522,0.5857478,"('clumsy', 'skillful')",-0.25010026,-0.3435936,0.24037896,0.0075353086,0.261877,0.0832298,0.1786472
17,-0.7589211,-0.7768049,"('nasty', 'nice')",-0.57197905,-0.48963454,-0.27344406,-0.09832285,-0.5347814,-0.4549208,-0.0798606
16,-0.7450946,-0.95276105,"('unpopular', 'popular')",-1.0040427,-1.0567249,0.3010766,0.27966407,-0.4826869,-0.5766073,0.0939204
45,-0.74085563,-0.7054514,"('incompetent', 'competent')",0.0044469163,0.07305583,-0.27162164,-0.10541384,-0.3360101,-0.2459365,-0.0900736
62,-0.7325338,-0.5717311,"('incompetent', 'brilliant')",-0.09368506,0.092140056,-0.042426176,0.06262321,-0.2895483,-0.1389893,-0.150559
20,-0.7064533,-0.6133663,"('rough', 'thoughtful')",-1.0445354,-1.0340605,1.1979825,1.13407,-0.1843354,-0.1711189,-0.0132165
77,-0.6866317,-0.698325,"('unmotivated', 'motivated')",-1.0030198,-0.8824728,-1.3146895,-1.1815675,-1.001447,-0.9207884,-0.0806586
37,0.68464845,0.9597633,"('fake', 'genuine')",-0.41934305,-0.23010504,0.44391155,0.4398703,0.2364057,0.3898428,-0.1534371
40,0.67100644,0.3074621,"('stingy', 'generous')",0.38736555,0.12076138,-1.3486366,-1.3925158,-0.0967549,-0.3214308,0.2246759
47,-0.61214656,-0.50854737,"('stupid', 'smart')",0.113455415,0.15290198,5.3481183,5.2792425,1.6164757,1.6411991,-0.0247234
78,-0.58117425,-1.0103588,"('nonresilient', 'resilient')",-0.615359,-0.8711785,0.021567041,0.016385026,-0.3916554,-0.6217174,0.230062
72,0.5707072,0.33204156,"('unambitious', 'ambitious')",0.21888019,0.008888851,-0.97039676,-1.1502475,-0.0602698,-0.2697724,0.2095026
29,-0.56911826,-0.4774679,"('unfair', 'fair')",-0.88414675,-0.8304154,-0.2846218,-0.32255623,-0.5792956,-0.5434798,-0.0358158
57,-0.55471075,-0.6246275,"('unimaginative', 'imaginative')",-0.31729013,-0.2893305,-2.7120006,-2.50491,-1.1946672,-1.1396227,-0.0550445
24,0.5285806,0.953472,"('dishonest', 'honest')",-0.36817682,-0.20406303,0.7452588,0.85505253,0.3018875,0.5348205,-0.232933
38,-0.51667327,-0.3304685,"('untruthful', 'truthful')",-0.6264356,-0.4797976,0.011066645,0.0795545,-0.3773474,-0.2435705,-0.1337769
0,-0.48550785,-0.5501277,"('unsociable', 'sociable')",0.22008564,0.13785796,-0.36652657,-0.18906102,-0.2106496,-0.2004436,-0.010206
28,-0.48277637,-0.29118493,"('disloyal', 'loyal')",-0.20060986,-0.099155754,0.74722385,0.8125263,0.0212792,0.1407285,-0.1194493
9,0.473937,0.5420082,"('unaffectionate', 'caring')",0.41370025,0.43577585,0.9577387,0.9906314,0.6151253,0.6561385,-0.0410132
79,0.46324426,0.18196042,"('wavering', 'unwavering')",-0.6569068,-0.7477763,0.15509255,-0.010317706,-0.0128567,-0.1920445,0.1791878
15,0.44571376,0.71913993,"('boring', 'funny')",0.21622688,0.40895605,0.45450175,0.7141773,0.3721475,0.6140911,-0.2419436
80,0.4284795,0.2758783,"('dominated', 'dominating')",0.32286194,0.18734455,-0.91965955,-0.90458184,-0.056106,-0.1471197,0.0910137
18,-0.42715165,-0.47154966,"('disagreeable', 'welcoming')",-0.583876,-0.7150894,-0.5536697,-0.5061138,-0.5215658,-0.5642509,0.0426851
48,-0.4238103,-0.42653385,"('unintelligent', 'intelligent')",-0.30125478,-0.45388535,0.3407437,0.38262728,-0.1281071,-0.1659306,0.0378235
60,-0.41518098,-0.20784253,"('inefficient', 'efficient')",0.14453864,0.15768754,0.13086757,0.31313935,-0.0465916,0.0876615,-0.1342531
22,-0.4070856,-0.34641534,"('untrustworthy', 'trustworthy')",-0.4964344,-0.5156855,-0.92928255,-0.7988663,-0.6109342,-0.5536557,-0.0572785
30,-0.39433748,-0.19411191,"('intolerant', 'tolerant')",1.0488286,1.0842415,1.0488453,1.1173394,0.5677788,0.6691563,-0.1013775
33,0.39299554,0.47599077,"('wrong', 'right')",-0.073576406,-0.1169702,-0.8582468,-0.9390784,-0.1796092,-0.1933526,0.0137434
65,0.39219296,0.32478207,"('insecure', 'secure')",0.1608859,0.08377217,-0.30902287,-0.21691984,0.081352,0.0638781,0.0174739
46,0.38407874,0.14283708,"('uncompetitive', 'competitive')",0.12448309,0.081319846,-0.7345776,-0.6712572,-0.0753386,-0.1490334,0.0736948
10,-0.37556407,-0.37057814,"('unsympathetic', 'sympathetic')",-0.5469445,-0.48812613,-0.30108798,-0.20455882,-0.4078655,-0.354421,-0.0534445
14,0.36160034,0.40836096,"('antisocial', 'social')",1.2044312,1.0955482,-0.594238,-0.42336506,0.3239312,0.3601813,-0.0362501
88,-0.32115948,-0.15409985,"('low', 'eminent')",-0.19900647,-0.029604133,0.3296931,0.4774453,-0.0634909,0.0979138,-0.1614047
32,0.31820333,0.2713967,"('unkind', 'kind')",0.42569277,0.28063244,1.10923,0.9738204,0.6177087,0.5086165,0.1090922
21,0.29869366,0.2696591,"('immoral', 'moral')",0.44512355,0.30548698,-0.54166377,-0.49841747,0.0673845,0.0255762,0.0418083
64,0.2601506,0.32849407,"('shy', 'confident')",-0.08443577,-0.05274117,-6.754682,-6.538228,-2.192989,-2.0874917,-0.1054973
11,-0.25942546,-0.12545699,"('unhelpful', 'helpful')",-0.99273586,-0.9338795,1.8603029,2.0324771,0.2027139,0.3243802,-0.1216663
59,0.2571137,0.33325085,"('foolish', 'wise')",-0.30466676,-0.19978715,0.18721184,0.18201545,0.0465529,0.1051597,-0.0586068
4,-0.24080004,-0.25312686,"('disliked', 'liked')",0.06893939,0.22454223,-6.295169,-5.95979,-2.1556765,-1.9961249,-0.1595516
7,-0.19291067,-0.061826475,"('insensitive', 'sensitive')",-0.057621215,0.01460943,0.7635813,0.8145724,0.1710165,0.2557851,-0.0847686
85,-0.1861299,-0.11136227,"('insignificant', 'prestigious')",-0.45457026,-0.24720208,0.49756944,0.6196482,-0.0477102,0.087028,-0.1347382
13,0.1802164,0.24720322,"('impolite', 'polite')",0.21354052,0.14087707,-0.25936288,-0.09793271,0.044798,0.0967159,-0.0519179
43,-0.16595921,0.04053034,"('irresponsible', 'responsible')",-0.23535194,-0.19150095,0.38467005,0.5095444,-0.005547,0.1195246,-0.1250716
35,-0.15718147,-0.059775602,"('corrupt', 'incorrupt')",-1.0449082,-0.8995546,-0.18844247,-0.18963835,-0.4635107,-0.3829895,-0.0805212
23,-0.15412945,-0.10701975,"('insincere', 'sincere')",-0.008413758,0.03391608,5.985282,5.7673626,1.9409129,1.8980862,0.0428267
83,-0.14587976,-0.04862048,"('powerless', 'powerful')",-0.2592094,-0.20085481,-1.2192258,-1.247428,-0.5414383,-0.4989678,-0.0424705
81,-0.13719755,-0.036217414,"('submissive', 'aggressive')",-0.22021002,-0.2557973,-0.71558684,-0.60786784,-0.3576648,-0.2999609,-0.0577039
61,-0.13649292,0.03787937,"('illogical', 'logical')",-0.0371167,-0.00019986555,0.50755787,0.5949028,0.1113161,0.2108608,-0.0995447
75,-0.13222335,-0.22563699,"('meek', 'impulsive')",-1.1902869,-1.1704845,-0.372435,-0.48607826,-0.5649817,-0.6273999,0.0624182
2,0.13021259,0.2352081,"('unlikable', 'likable')",-0.036886726,0.024213634,0.658006,0.6999557,0.250444,0.3197925,-0.0693485
52,-0.11612631,-0.31838572,"('irrational', 'rational')",-0.8297033,-0.8860687,-0.14810254,-0.3317486,-0.3646441,-0.5120677,0.1474236
70,-0.10652579,-0.050803404,"('lethargic', 'energetic')",-0.37376896,-0.29563206,0.48361593,0.54751146,0.0011071,0.0670253,-0.0659182
19,0.10540548,0.35221484,"('inhospitable', 'hospitable')",-0.75941616,-0.5374731,-0.053198125,0.16849573,-0.2357363,-0.0055875,-0.2301488
8,0.10275204,0.1349353,"('unaffectionate', 'affectionate')",0.2626478,0.23399009,0.67115307,0.5955158,0.3455176,0.3214804,0.0240372
69,0.10221633,0.12764299,"('lazy', 'industrious')",0.53391993,0.5630609,-0.5980288,-0.4619261,0.0127025,0.0762593,-0.0635568
58,0.09554211,0.10318842,"('undiscriminating', 'discriminating')",0.36951488,0.42740235,0.12773722,0.19759698,0.1975981,0.2427292,-0.0451311
51,0.089133896,-0.11697142,"('uneducated', 'educated')",0.28110582,0.17340595,0.7633829,0.7904726,0.3778742,0.2823024,0.0955718
53,-0.08171084,-0.071955174,"('uncreative', 'creative')",0.66176593,0.6635368,0.74100316,0.74065953,0.4403528,0.4440804,-0.0037276
76,-0.07650487,-0.09123729,"('anxious', 'daring')",-0.51992834,-0.51248276,0.2588353,0.25087482,-0.1125326,-0.1176151,0.0050825
41,0.07329566,-0.16758072,"('unforgiving', 'forgiving')",0.19468442,0.16240847,0.26078403,0.24755214,0.1762547,0.0807933,0.0954614
66,0.04926316,-0.097680405,"('inactive', 'active')",-0.6848999,-0.80730426,0.76701903,0.7608334,0.0437941,-0.0480504,0.0918445
86,0.048788503,-0.014320567,"('uninfluential', 'influential')",0.29633418,0.2660811,-0.028731719,0.086210184,0.1054637,0.1126569,-0.0071932
63,0.04331293,-0.037763085,"('unperceptive', 'insightful')",0.3027841,0.33510095,0.8491499,1.0305705,0.3984156,0.4426361,-0.0442205
25,0.03460987,-0.0150318,"('egoistic', 'altruistic')",1.3066818,1.3046322,1.5177352,1.4835749,0.953009,0.9243917,0.0286173
