,pg&e_male,pg&e_female,tuple,corp_male,corp_female,average_male,average_female,male-female
39,1.5811757,1.4586413,"('exploitative', 'cooperative')",-0.39840323,-0.5094084,0.5913862,0.4746164,0.1167698
21,1.5521754,0.9796348,"('immoral', 'moral')",-0.26771012,-0.78158873,0.6422327,0.099023,0.5432097
18,-1.5396091,-1.6499311,"('disagreeable', 'welcoming')",0.29232657,0.24012184,-0.6236413,-0.7049046,0.0812633
56,1.4828367,0.9854475,"('impractical', 'practical')",-1.3415108,-1.8118095,0.070663,-0.413181,0.483844
38,-1.4604203,-1.4007204,"('untruthful', 'truthful')",-1.1664498,-1.2320197,-1.3134351,-1.31637,0.0029349
15,1.4323632,1.5159544,"('boring', 'funny')",1.1461936,1.3629533,1.2892784,1.4394538,-0.1501754
68,-1.31282,-1.1585698,"('dependent', 'independent')",-1.1345192,-1.0751127,-1.2236695,-1.1168413,-0.1068282
85,1.2469405,1.7047669,"('insignificant', 'prestigious')",1.8025246,1.9373369,1.5247326,1.8210518,-0.2963192
70,-1.2320424,-1.6196375,"('lethargic', 'energetic')",-1.3063391,-1.669809,-1.2691908,-1.6447232,0.3755324
29,1.1900012,1.4629254,"('unfair', 'fair')",-0.089799285,0.21828526,0.550101,0.8406054,-0.2905044
35,-1.1746916,-0.50739455,"('corrupt', 'incorrupt')",1.0223502,1.4793196,-0.0761707,0.4859625,-0.5621332
53,1.1676488,1.2740233,"('uncreative', 'creative')",-0.58177346,-0.49587214,0.2929377,0.3890756,-0.0961379
2,1.1452174,1.140551,"('unlikable', 'likable')",1.5417153,1.5232397,1.3434663,1.3318954,0.0115709
40,-1.1147981,-1.1615728,"('stingy', 'generous')",-1.3344339,-1.2203816,-1.2246161,-1.1909772,-0.0336389
60,1.0750779,0.54061246,"('inefficient', 'efficient')",-1.8207804,-2.2435863,-0.3728513,-0.8514869,0.4786356
77,1.0377747,0.81611204,"('unmotivated', 'motivated')",-0.6430396,-0.9699862,0.1973675,-0.0769371,0.2743046
81,-1.0372677,-1.80908,"('submissive', 'aggressive')",-0.75689995,-1.3107085,-0.8970838,-1.5598943,0.6628105
62,0.95862967,0.40397677,"('incompetent', 'brilliant')",-1.8975921,-2.2171493,-0.4694812,-0.9065862,0.437105
61,0.9458277,0.7558168,"('illogical', 'logical')",-0.25848383,-0.463936,0.3436719,0.1459404,0.1977315
33,0.93260103,1.116756,"('wrong', 'right')",1.0353158,1.0332915,0.9839584,1.0750237,-0.0910653
17,-0.90051806,-1.0891781,"('nasty', 'nice')",-0.65999085,-0.72409743,-0.7802545,-0.9066378,0.1263833
84,0.8400834,0.7942818,"('inferior', 'superior')",-0.05438623,-0.031440325,0.3928486,0.3814207,0.0114279
49,-0.8235889,-0.7311466,"('unable', 'able')",-1.0087326,-0.9878352,-0.9161607,-0.8594909,-0.0566698
26,0.81249076,1.1673279,"('hardhearted', 'benevolent')",1.0455437,1.0131665,0.9290172,1.0902472,-0.16123
9,0.8049257,0.9885897,"('unaffectionate', 'caring')",-0.67423886,-0.54216766,0.0653434,0.223211,-0.1578676
