,eog_male,eog_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
39,1.951791,1.8668554,"('exploitative', 'cooperative')",0.46957335,0.47164816,0.079510935,0.15194832,0.8336251,0.8301506,0.0034745
60,1.8647901,1.8714554,"('inefficient', 'efficient')",1.9447205,1.9291683,0.423921,0.36869216,1.4111439,1.3897721,0.0213718
56,1.6521596,1.7166471,"('impractical', 'practical')",1.4633309,1.518483,-0.009929981,0.16475363,1.0351868,1.1332947,-0.0981079
81,1.3332036,1.5336726,"('submissive', 'aggressive')",1.2895741,1.2979662,-0.48915455,-0.31418636,0.7112077,0.8391508,-0.1279431
31,-1.3315692,-1.5270711,"('evil', 'good')",-1.1210161,-1.1903483,-0.95829725,-1.0494567,-1.1369608,-1.2556254,0.1186646
19,-1.242551,-1.2239707,"('inhospitable', 'hospitable')",-1.7987651,-1.8495678,-0.18772143,-0.24506916,-1.0763458,-1.1062025,0.0298567
66,-1.2330358,-0.96803313,"('inactive', 'active')",-1.3058121,-1.1260476,0.6908687,0.6922059,-0.6159931,-0.4672916,-0.1487015
73,1.1555591,1.31112,"('helpless', 'self-reliant')",0.4725774,0.47093317,-2.773149,-2.7463903,-0.3816709,-0.3214457,-0.0602252
64,1.1358818,1.1586833,"('shy', 'confident')",0.737064,0.70662737,-5.6800237,-5.8358355,-1.269026,-1.3235083,0.0544823
59,1.0609622,1.0295179,"('foolish', 'wise')",0.86829466,0.95683146,0.62175435,0.6961236,0.8503371,0.8941576,-0.0438205
78,-1.0340766,-1.1274331,"('nonresilient', 'resilient')",0.326413,0.2722194,0.29397985,0.03728662,-0.1378946,-0.2726423,0.1347477
8,-0.9661537,-1.2249157,"('unaffectionate', 'affectionate')",-0.79510105,-0.9362425,0.696323,0.6334201,-0.3549773,-0.5092461,0.1542688
1,-0.94657505,-1.3607277,"('unfriendly', 'friendly')",0.4081867,0.106436014,1.7941386,1.5733687,0.4185834,0.106359,0.3122244
53,-0.9173403,-1.1839072,"('uncreative', 'creative')",0.54289794,0.36311767,1.0448841,0.8604011,0.2234806,0.0132039,0.2102767
26,-0.8863294,-1.1206908,"('hardhearted', 'benevolent')",0.52829707,0.44712323,1.4254827,1.3217783,0.3558168,0.2160702,0.1397466
67,0.86161005,1.041198,"('doubtful', 'determined')",0.7410547,0.8538538,-0.6503394,-0.47190848,0.3174418,0.4743811,-0.1569393
30,0.8536061,0.85020065,"('intolerant', 'tolerant')",1.7883492,1.7649792,1.2294593,1.2453139,1.2904716,1.2868313,0.0036403
18,-0.8244325,-1.0228065,"('disagreeable', 'welcoming')",-0.71584547,-0.7319191,-0.3077302,-0.33745986,-0.6160027,-0.6973952,0.0813925
36,-0.80849874,-0.9246485,"('hostile', 'amicable')",-2.4708195,-2.5608697,0.10809919,0.040759403,-1.057073,-1.148253,0.09118
86,-0.8041635,-1.0605863,"('uninfluential', 'influential')",-0.1933616,-0.43437794,-0.10750101,-0.2579112,-0.368342,-0.5842918,0.2159498
6,-0.7779231,-0.9079473,"('distant', 'open')",-1.3943865,-1.3606973,0.36160928,0.2609532,-0.6035668,-0.6692305,0.0656637
38,-0.77621585,-0.72339696,"('untruthful', 'truthful')",0.28456074,0.33212978,0.14678122,0.18863659,-0.114958,-0.0675435,-0.0474145
54,-0.76175094,-0.6795919,"('incapable', 'capable')",-0.65596074,-0.67009413,0.9046082,1.023317,-0.1710345,-0.1087897,-0.0622448
65,0.73274356,0.78087837,"('insecure', 'secure')",0.37641788,0.34752253,-0.21813083,-0.17055094,0.2970102,0.3192833,-0.0222731
9,-0.7147323,-0.9522478,"('unaffectionate', 'caring')",0.5859479,0.451467,1.215433,1.1530797,0.3622162,0.217433,0.1447832
41,-0.6851241,-0.9247359,"('unforgiving', 'forgiving')",0.07192889,-0.06928801,0.26881045,0.12301176,-0.1147949,-0.2903374,0.1755425
24,0.6775889,0.4879755,"('dishonest', 'honest')",0.30742055,0.011917923,0.69397813,0.81574607,0.5596625,0.4385465,0.121116
10,-0.67467433,-0.686192,"('unsympathetic', 'sympathetic')",-0.006796729,-0.20076945,-0.37315583,-0.47289908,-0.3515423,-0.4532868,0.1017445
14,0.663202,0.65922433,"('antisocial', 'social')",1.0185348,0.9417118,-0.9228017,-0.8075439,0.2529783,0.2644641,-0.0114858
5,-0.6392448,-0.7535274,"('distant', 'outgoing')",-0.8438354,-0.76335585,0.08604704,0.011223378,-0.4656777,-0.5018866,0.0362089
62,0.6347628,0.6850591,"('incompetent', 'brilliant')",0.7439022,0.8280305,0.3235188,0.4622598,0.5673946,0.6584498,-0.0910552
84,0.62597156,0.66254014,"('inferior', 'superior')",1.1526604,1.2012813,0.9657287,0.8085656,0.9147869,0.8907957,0.0239912
7,0.6131616,0.5248537,"('insensitive', 'sensitive')",0.983425,0.88205916,0.6659968,0.46178138,0.7541945,0.6228981,0.1312964
0,-0.6060374,-0.67789775,"('unsociable', 'sociable')",0.6046158,0.44749472,-0.24187031,-0.36815998,-0.0810973,-0.199521,0.1184237
27,-0.595502,-0.7502106,"('hardhearted', 'softhearted')",-0.23214152,-0.33192596,1.2913698,1.0523403,0.1545754,-0.0099321,0.1645075
35,-0.592301,-0.550685,"('corrupt', 'incorrupt')",-1.4220293,-1.3580561,-0.29279143,-0.3517049,-0.7690406,-0.7534819,-0.0155587
58,-0.5641537,-0.75248086,"('undiscriminating', 'discriminating')",0.63751316,0.5352016,-0.13645996,-0.25963834,-0.0210335,-0.1589725,0.137939
57,-0.53927404,-0.6746408,"('unimaginative', 'imaginative')",0.04803564,-0.13719627,-2.201806,-2.3894253,-0.8976815,-1.0670875,0.169406
51,-0.51109487,-0.54079974,"('uneducated', 'educated')",-0.37402186,-0.50828063,0.26056853,0.15969758,-0.2081827,-0.2964609,0.0882782
47,0.49096936,0.69243395,"('stupid', 'smart')",0.6328024,0.67941225,5.2734804,5.5617776,2.1324174,2.3112079,-0.1787905
25,-0.47657472,-0.59308976,"('egoistic', 'altruistic')",0.4570876,0.30341285,1.4686997,1.4031913,0.4830709,0.3711715,0.1118994
12,0.46855465,0.41510108,"('unsupportive', 'supportive')",0.88416517,0.6930047,-1.3675345,-1.5102583,-0.0049382,-0.1340508,0.1291126
82,-0.46013626,-0.4126091,"('poor', 'rich')",-0.07075084,0.009465829,5.749049,6.0112276,1.7393874,1.8693614,-0.129974
33,0.45340347,0.35571802,"('wrong', 'right')",0.55439454,0.45956486,-0.33095902,-0.46131805,0.225613,0.1179883,0.1076247
77,0.43812504,0.32677037,"('unmotivated', 'motivated')",1.0885863,0.962982,-0.79258,-0.9999894,0.2447104,0.0965877,0.1481227
21,0.4172496,0.5721828,"('immoral', 'moral')",1.2119333,1.1025562,-0.4988084,-0.45708913,0.3767915,0.4058833,-0.0290918
20,-0.41136044,-0.3494232,"('rough', 'thoughtful')",0.16567555,0.21093175,0.9209201,0.8441308,0.2250784,0.2352131,-0.0101347
22,0.3947764,0.43658164,"('untrustworthy', 'trustworthy')",-0.028750857,-0.2443338,-0.61615485,-0.65496993,-0.0833764,-0.1542407,0.0708643
17,-0.37478963,-0.42563826,"('nasty', 'nice')",-0.14955494,-0.15434693,-0.53381103,-0.52924293,-0.3527185,-0.3697427,0.0170242
3,-0.3705434,-0.1818201,"('repellent', 'pleasant')",0.99103004,0.9840868,-0.11934146,0.05130448,0.1670484,0.2845237,-0.1174753
68,-0.3453783,-0.3488798,"('dependent', 'independent')",-0.62730044,-0.68732053,-0.44300738,-0.55068636,-0.4718954,-0.5289622,0.0570668
79,-0.34090024,-0.40680185,"('wavering', 'unwavering')",-1.4034891,-1.4040717,-0.10134311,-0.06519258,-0.6152442,-0.6253554,0.0101112
52,-0.33310625,-0.35812712,"('irrational', 'rational')",-0.35941774,-0.28249443,0.16173732,0.14897284,-0.1769289,-0.1638829,-0.013046
50,0.33192107,0.3526733,"('clumsy', 'skillful')",-0.05104309,-0.0724639,0.3904302,0.36250764,0.2237694,0.214239,0.0095304
45,-0.3161145,-0.47190842,"('incompetent', 'competent')",0.20899144,0.1037304,-0.13024691,-0.29374397,-0.0791233,-0.2206407,0.1415174
42,0.31474826,0.42311954,"('unreliable', 'reliable')",0.3532406,0.24359024,-2.6910043,-2.671267,-0.6743385,-0.6681857,-0.0061528
71,0.3119379,0.1003325,"('diffident', 'self-confident')",1.5124367,1.4485621,0.60220075,0.5491542,0.8088585,0.6993496,0.1095089
72,0.29840657,0.30616555,"('unambitious', 'ambitious')",0.55201834,0.5523766,-1.0006437,-0.91592664,-0.0500729,-0.0191281,-0.0309448
16,-0.29247728,-0.16945235,"('unpopular', 'popular')",-0.19509912,-0.032907058,0.48894235,0.5352148,0.0004553,0.1109518,-0.1104965
61,0.27134776,0.28199568,"('illogical', 'logical')",0.44841883,0.4596396,0.065085955,0.03125927,0.2616175,0.2576315,0.003986
43,0.26352134,0.35325763,"('irresponsible', 'responsible')",0.30489174,0.25910145,0.35822484,0.42741847,0.3088793,0.3465925,-0.0377132
28,-0.25958624,-0.6075783,"('disloyal', 'loyal')",0.07086379,-0.20113108,0.8039446,0.5787415,0.205074,-0.076656,0.28173
63,0.25604704,0.3309266,"('unperceptive', 'insightful')",1.3368834,1.3043029,1.1723558,1.128974,0.9217621,0.9214012,0.0003609
88,-0.25062755,-0.281984,"('low', 'eminent')",-0.1603669,-0.24881685,0.12719867,0.15096332,-0.0945986,-0.1266125,0.0320139
37,-0.24887398,-0.12261781,"('fake', 'genuine')",0.058932286,-0.059383612,0.33098897,0.32846826,0.0470158,0.0488223,-0.0018065
55,0.248588,0.19933651,"('incompetent', 'clever')",0.20953678,0.08205083,0.07571731,0.0066212807,0.1779474,0.0960029,0.0819445
11,0.24024601,0.41840628,"('unhelpful', 'helpful')",1.0094875,1.1089991,2.0004604,2.153769,1.083398,1.2270581,-0.1436601
34,0.2373082,0.5354022,"('mean', 'honorable')",0.12583454,0.27321061,5.7438045,5.8581667,2.035649,2.2222598,-0.1866108
87,0.23445426,0.41329855,"('unsuccessful', 'successful')",0.6270769,0.8484883,0.65709925,0.7294328,0.5062102,0.6637399,-0.1575297
85,-0.22358955,-0.34679702,"('insignificant', 'prestigious')",-0.1645911,-0.17366208,0.5352259,0.42533913,0.0490151,-0.0317067,0.0807218
44,0.21450089,0.56318676,"('prejudiced', 'unprejudiced')",-0.93625015,-0.74168265,-1.4316304,-1.2475973,-0.7177932,-0.4753644,-0.2424288
74,-0.2120536,-0.20845306,"('undedicated', 'dedicated')",0.7031619,0.6197002,-0.068214744,-0.16608174,0.1409645,0.0817218,0.0592427
48,0.1967515,-0.087042116,"('unintelligent', 'intelligent')",0.8086141,0.7349156,0.9099228,0.76319224,0.6384295,0.4703553,0.1680742
49,0.19532505,0.1450792,"('unable', 'able')",-0.49358207,-0.44023407,0.11841125,0.09703678,-0.0599486,-0.0660394,0.0060908
29,0.12643342,0.08652392,"('unfair', 'fair')",0.16819039,0.08410545,-0.5139788,-0.57281727,-0.0731183,-0.1340626,0.0609443
4,-0.09507091,-0.3481082,"('disliked', 'liked')",-0.50881505,-0.6301601,-5.707386,-5.9502263,-2.1037574,-2.3094982,0.2057408
75,0.08420007,0.2605068,"('meek', 'impulsive')",-0.73063755,-0.5534339,-0.20790096,-0.13769777,-0.2847795,-0.1435416,-0.1412379
