,procter_male,procter_female,tuple,&_male,&_female,gamble_male,gamble_female,co_male,co_female,average_male,average_female,male-female
10,-3.3723793,-4.051155,"('unsympathetic', 'sympathetic')",-3.60519,-3.7619152,-2.7724595,-3.0932143,-0.31261772,-0.35429466,-2.5156615,-2.8151448,0.2994833
85,3.166413,3.4274411,"('insignificant', 'prestigious')",3.2528996,3.1518462,3.474113,3.4644678,0.10353513,0.0799485,2.4992399,2.530926,-0.0316861
57,-2.6890898,-3.0219285,"('unimaginative', 'imaginative')",-1.9930637,-2.3622842,-1.4950514,-1.6647922,-3.243816,-3.3364055,-2.3552551,-2.5963526,0.2410975
48,-2.6799026,-2.8638268,"('unintelligent', 'intelligent')",-2.4409971,-2.6358867,-1.4039649,-1.544009,-0.33070767,-0.29781023,-1.7138931,-1.8353831,0.12149
69,2.606481,2.9404948,"('lazy', 'industrious')",3.144291,3.2713728,1.5247141,1.7653581,-0.8042805,-0.7658576,1.6178014,1.8028419,-0.1850405
60,-2.5228198,-2.9607065,"('inefficient', 'efficient')",-3.2759328,-3.4943154,-1.5998124,-1.8146175,-0.36145502,-0.3690241,-1.9400051,-2.1596658,0.2196607
14,-2.4877815,-2.5426633,"('antisocial', 'social')",-1.4456565,-1.6054075,-0.9243821,-0.9460354,-0.7272861,-0.7855924,-1.3962765,-1.4699247,0.0736482
30,-2.4554615,-2.5629687,"('intolerant', 'tolerant')",-3.2791142,-3.2784538,-1.5135375,-1.5215597,-0.172409,0.0034888387,-1.8551306,-1.8398733,-0.0152573
81,-2.4219875,-2.9000838,"('submissive', 'aggressive')",-1.9614584,-2.1863186,-2.0608234,-2.2910664,-1.0815084,-1.1671894,-1.8814445,-2.1361647,0.2547202
55,-2.4052885,-2.7187345,"('incompetent', 'clever')",-2.3455036,-2.4474988,-1.2250296,-1.3863682,0.18666121,0.22131838,-1.4472901,-1.5828208,0.1355307
13,-2.3805747,-2.3728065,"('impolite', 'polite')",-3.0769367,-3.0942223,-1.2702221,-1.4963524,-0.28904983,-0.3388523,-1.7541958,-1.8255583,0.0713625
5,2.260723,2.760192,"('distant', 'outgoing')",1.7989838,2.0243862,2.6556845,2.8290825,-0.5130161,-0.43134063,1.5505937,1.79558,-0.2449863
6,2.2228143,2.70594,"('distant', 'open')",1.7694304,2.0462823,2.5463533,2.6534264,0.007648051,0.10289232,1.6365615,1.8771352,-0.2405737
65,-2.1768394,-2.4831874,"('insecure', 'secure')",-1.8748282,-2.0671484,-1.8724474,-2.1394506,-0.26995307,-0.3265074,-1.5485171,-1.7540735,0.2055564
79,2.140767,2.2251313,"('wavering', 'unwavering')",2.2935202,2.2225037,1.2025716,1.2079045,-0.397568,-0.38595724,1.3098228,1.3173954,-0.0075726
45,-2.1084244,-2.257826,"('incompetent', 'competent')",-2.5643103,-2.7447004,-2.142406,-2.22404,-1.0709447,-1.1631486,-1.9715214,-2.0974288,0.1259074
0,-2.0958276,-2.3953316,"('unsociable', 'sociable')",-1.8046662,-1.9233817,-0.62701166,-0.889893,-0.49841875,-0.49863395,-1.2564811,-1.42681,0.1703289
62,-2.0824063,-2.2529495,"('incompetent', 'brilliant')",-3.0361109,-3.1701803,-0.83127403,-0.8481734,-0.41064265,-0.2577371,-1.5901084,-1.6322601,0.0421517
70,-2.0629168,-2.4222436,"('lethargic', 'energetic')",-2.0157647,-2.1839833,-1.9842484,-2.0888712,0.010458882,0.01202335,-1.5131178,-1.6707686,0.1576508
43,-1.9934434,-2.2661145,"('irresponsible', 'responsible')",-3.732977,-3.8305728,-1.1010557,-1.2553862,0.21920544,0.24471015,-1.6520677,-1.7768409,0.1247732
73,1.9711902,2.093328,"('helpless', 'self-reliant')",0.9438249,0.942586,0.30964613,0.38844004,-3.2549858,-3.1528528,-0.0075811,0.0678753,-0.0754564
7,-1.9397053,-2.243433,"('insensitive', 'sensitive')",-2.4842649,-2.4457524,-1.8652786,-1.9684769,-0.032151498,-0.028859766,-1.5803502,-1.6716304,0.0912802
21,-1.9355422,-2.2063603,"('immoral', 'moral')",-1.808963,-1.9676793,-1.8878722,-1.952747,-1.3478593,-1.3121148,-1.7450593,-1.8597254,0.1146661
86,-1.9347718,-2.3591893,"('uninfluential', 'influential')",-1.7440382,-2.0647612,-0.1840374,-0.46130404,-0.37886307,-0.5578136,-1.0604277,-1.360767,0.3003393
23,-1.9332019,-2.3369813,"('insincere', 'sincere')",-2.880439,-2.9392717,-0.8000119,-1.0580498,5.5890365,5.58991,-0.0061542,-0.1860981,0.1799439
33,1.8735443,2.1147757,"('wrong', 'right')",1.1027095,1.0713204,1.76526,1.9524953,-0.7839286,-0.78931224,0.9893964,1.0873199,-0.0979235
35,1.8620291,2.1771655,"('corrupt', 'incorrupt')",2.1926956,2.3381813,0.6131129,0.80363834,-0.2534372,-0.17355043,1.1036001,1.2863586,-0.1827585
11,-1.837894,-2.3304722,"('unhelpful', 'helpful')",-2.940172,-3.1272342,-1.0923222,-1.2711986,1.7592825,1.6638757,-1.0277764,-1.2662574,0.238481
66,1.7958645,1.5840882,"('inactive', 'active')",1.9802575,1.8386153,1.4568312,1.4453567,0.9629703,0.7637992,1.5489808,1.4079648,0.141016
82,-1.7893169,-1.9469275,"('poor', 'rich')",-1.8751959,-1.8880036,-1.5371978,-1.6084582,5.6801906,5.803001,0.11962,0.0899029,0.0297171
36,1.7866395,2.1175597,"('hostile', 'amicable')",2.2637303,2.1956544,1.7139517,1.9099457,0.15942982,0.1946171,1.4809378,1.6044443,-0.1235065
3,-1.7420632,-2.0447166,"('repellent', 'pleasant')",-0.58839226,-0.48888606,-0.90392226,-1.0492865,0.5887902,0.5826373,-0.6613969,-0.7500629,0.088666
50,1.6430371,1.5078291,"('clumsy', 'skillful')",2.6697836,2.5019863,-0.064628586,-0.09682059,-0.09164775,0.058515064,1.0391361,0.9928774,0.0462587
28,-1.6320732,-2.0739348,"('disloyal', 'loyal')",-1.6138458,-1.7627008,-1.0600675,-1.4245803,0.91876155,0.78183955,-0.8468062,-1.1198442,0.273038
76,-1.5500464,-1.9581409,"('anxious', 'daring')",-0.4850692,-0.48432478,-1.6262152,-1.9944099,-0.12687834,-0.06617513,-0.9470523,-1.1257626,0.1787103
75,1.4581356,1.6731347,"('meek', 'impulsive')",0.819645,0.6855417,0.1619971,0.443491,-0.4399241,-0.4047914,0.4999634,0.599344,-0.0993806
46,-1.4395105,-1.9490433,"('uncompetitive', 'competitive')",-1.5032419,-1.7573829,-0.9394763,-1.2275411,-1.1564271,-1.0322553,-1.2596639,-1.4915556,0.2318917
72,-1.4266098,-1.5955367,"('unambitious', 'ambitious')",-1.8429582,-2.0937867,-0.12686159,-0.16327842,-0.6230936,-0.58979976,-1.0048808,-1.1106004,0.1057196
56,-1.4068295,-1.6146044,"('impractical', 'practical')",-2.479511,-2.6185093,-0.5100718,-0.55679405,-0.36216256,-0.33477575,-1.1896437,-1.281171,0.0915273
