,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.4132056,-2.74363,"('unsympathetic', 'sympathetic')",-2.4132056,-2.7436299,0.3304243
69,2.0171995,2.3077736,"('lazy', 'industrious')",2.0171995,2.3077736,-0.2905741
57,-1.7598374,-1.8761488,"('unimaginative', 'imaginative')",-1.7598374,-1.8761488,0.1163114
55,-1.6589627,-2.0779998,"('incompetent', 'clever')",-1.6589627,-2.0779998,0.4190371
46,-1.64582,-2.2667155,"('uncompetitive', 'competitive')",-1.64582,-2.2667155,0.6208955
45,-1.6145436,-1.7582597,"('incompetent', 'competent')",-1.6145436,-1.7582597,0.1437161
64,-1.5163431,-1.1799904,"('shy', 'confident')",-1.5163431,-1.1799904,-0.3363527
86,-1.4210173,-1.6035063,"('uninfluential', 'influential')",-1.4210173,-1.6035063,0.182489
43,-1.303124,-1.4544262,"('irresponsible', 'responsible')",-1.303124,-1.4544262,0.1513022
5,1.2942088,1.5456178,"('distant', 'outgoing')",1.2942088,1.5456178,-0.251409
65,-1.2548951,-1.5153751,"('insecure', 'secure')",-1.2548951,-1.5153751,0.26048
70,-1.2517887,-1.5389518,"('lethargic', 'energetic')",-1.2517887,-1.5389518,0.2871631
48,-1.2167603,-1.498033,"('unintelligent', 'intelligent')",-1.2167603,-1.498033,0.2812727
12,-1.1936268,-1.2879331,"('unsupportive', 'supportive')",-1.1936268,-1.2879331,0.0943063
35,1.1531382,1.469427,"('corrupt', 'incorrupt')",1.1531382,1.469427,-0.3162888
6,1.147466,1.3227645,"('distant', 'open')",1.1474659,1.3227645,-0.1752986
30,-1.1170958,-1.1419802,"('intolerant', 'tolerant')",-1.1170958,-1.1419802,0.0248844
13,-1.108682,-1.2471533,"('impolite', 'polite')",-1.108682,-1.2471533,0.1384713
21,-1.0659051,-1.3820434,"('immoral', 'moral')",-1.0659051,-1.3820434,0.3161383
7,-1.0483134,-1.1363935,"('insensitive', 'sensitive')",-1.0483134,-1.1363935,0.0880801
0,-1.0193971,-1.271116,"('unsociable', 'sociable')",-1.0193971,-1.271116,0.2517189
85,0.9913991,1.2811722,"('insignificant', 'prestigious')",0.9913991,1.2811722,-0.2897731
