,janus_male,janus_female,tuple,cap_male,cap_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.0555937,-2.1499074,"('unfriendly', 'friendly')",-0.02059616,-0.15386194,-0.8366467,-0.93812114,1.823756,1.6776084,-0.2722701,-0.3910705,0.1188004
6,-1.9446764,-2.235484,"('distant', 'open')",-1.9852754,-2.3911595,-2.3522122,-2.7719991,0.0022502914,-0.23697706,-1.5699784,-1.9089049,0.3389265
86,-1.8855283,-1.7673316,"('uninfluential', 'influential')",-0.71797264,-0.521882,-0.034712862,-0.03338465,-0.20561327,-0.26540196,-0.7109568,-0.6470001,-0.0639567
53,-1.6920362,-1.9181337,"('uncreative', 'creative')",-1.187097,-1.225051,-0.11229248,-0.23101817,1.2385786,1.1920978,-0.4382118,-0.5455263,0.1073145
9,-1.6467212,-1.723514,"('unaffectionate', 'caring')",-0.686354,-0.8977567,-0.48301405,-0.628426,1.1622808,0.9537752,-0.4134521,-0.5739804,0.1605283
5,-1.4828212,-1.6798979,"('distant', 'outgoing')",-1.5047828,-1.8552574,-1.8285527,-2.2211845,-0.5767437,-0.71239233,-1.3482251,-1.6171831,0.268958
19,-1.4743687,-1.4921367,"('inhospitable', 'hospitable')",-1.7964228,-1.9167511,-2.0685768,-2.2077186,-0.3595988,-0.45683596,-1.4247417,-1.5183606,0.0936189
72,-1.3837051,-1.2918297,"('unambitious', 'ambitious')",0.30199426,0.30546185,-0.0006454531,0.041907974,-1.0190511,-1.1255779,-0.5253518,-0.5175095,-0.0078423
39,1.2940571,1.4380372,"('exploitative', 'cooperative')",2.671975,2.7098587,1.6275061,1.760827,0.14746545,0.1953618,1.4352509,1.5260211,-0.0907702
10,-1.2889724,-1.2696971,"('unsympathetic', 'sympathetic')",-0.16076885,-0.007712966,0.18046795,0.20784685,-0.30474988,-0.29230565,-0.3935058,-0.3404672,-0.0530386
57,-1.2646071,-1.3168632,"('unimaginative', 'imaginative')",-1.2150345,-0.9543778,-0.18784031,-0.19951001,-2.4247022,-2.3525956,-1.273046,-1.2058367,-0.0672093
8,-1.2301455,-1.2865497,"('unaffectionate', 'affectionate')",-1.3295016,-1.4131551,-0.7357068,-0.7869614,0.6085605,0.39152277,-0.6716983,-0.7737858,0.1020875
67,1.2247666,1.1877569,"('doubtful', 'determined')",0.76065093,0.7976582,0.68152535,0.66461015,-0.6463558,-0.56468093,0.5051468,0.5213361,-0.0161893
27,-1.1827985,-1.2964331,"('hardhearted', 'softhearted')",-1.1080841,-1.2199539,-0.28722423,-0.4150178,1.2994335,1.1483065,-0.3196684,-0.4457746,0.1261062
31,-1.1316634,-1.4926181,"('evil', 'good')",-1.3400702,-1.6174854,-1.8278925,-2.1089513,-1.1928298,-1.3505923,-1.3731141,-1.6424118,0.2692977
38,-1.1136128,-1.3254865,"('untruthful', 'truthful')",-0.8802605,-0.96224654,-1.3148265,-1.4002799,-0.17214835,-0.18842563,-0.8702121,-0.9691097,0.0988976
23,-1.0534396,-1.0864909,"('insincere', 'sincere')",0.20677255,0.23204927,0.48169646,0.48201075,5.846273,5.773347,1.3703256,1.350229,0.0200966
78,-1.0456208,-1.2122099,"('nonresilient', 'resilient')",-0.4254657,-0.55470365,1.0254239,0.871428,0.4706726,0.46619776,0.0062525,-0.107322,0.1135745
82,-1.0450562,-0.8873235,"('poor', 'rich')",-0.74950826,-0.5507272,0.06445881,0.25179243,5.9320035,5.956961,1.0504744,1.1926757,-0.1422013
36,-1.0291215,-1.170395,"('hostile', 'amicable')",-1.4245732,-1.4956247,-1.6989827,-1.7352368,0.37719944,0.33057672,-0.9438695,-1.0176699,0.0738004
61,-1.0209528,-1.071713,"('illogical', 'logical')",-0.074939825,-0.107478485,-0.46597743,-0.44681022,0.26695576,0.24907872,-0.3237286,-0.3442307,0.0205021
28,-1.0110991,-0.8797864,"('disloyal', 'loyal')",-0.52613586,-0.32700983,0.1706728,0.39314196,1.060299,1.1561892,-0.0765658,0.0856338,-0.1621996
7,-1.0063357,-0.9531154,"('insensitive', 'sensitive')",0.5437075,0.57662034,0.14135683,0.20312104,0.7982956,0.8016652,0.119256,0.1570728,-0.0378168
45,-0.97423834,-0.82189965,"('incompetent', 'competent')",0.006773981,0.25545985,0.24136943,0.37578195,-0.51650923,-0.48248395,-0.310651,-0.1682855,-0.1423655
44,0.9663373,0.89854795,"('prejudiced', 'unprejudiced')",0.13577595,0.1049477,0.14940251,0.17889187,-1.4037843,-1.3977228,-0.0380671,-0.0538338,0.0157667
24,-0.9595022,-0.7826082,"('dishonest', 'honest')",-0.21542175,-0.12330684,-0.2685514,-0.17459312,0.47617108,0.4972229,-0.2418261,-0.1458213,-0.0960048
73,0.94410235,0.7308666,"('helpless', 'self-reliant')",0.8849108,0.7811971,-0.1961763,-0.18074542,-3.3078568,-3.4090655,-0.418755,-0.5194368,0.1006818
