,fidelity_male,fidelity_female,tuple,national_male,national_female,info_male,info_female,svcs_male,svcs_female,inc_male,inc_female,average_male,average_female,male-female
39,2.2851276,2.4250956,"('exploitative', 'cooperative')",1.7210811,1.7756898,1.3059543,1.3339139,1.6556783,1.6582903,0.20236108,0.27065453,1.4340405,1.4927289,-0.0586884
23,2.035788,2.1614845,"('insincere', 'sincere')",1.1640999,1.4059604,1.6637915,1.6039628,0.26159412,0.25647208,4.702145,5.0111136,1.9654839,2.0877987,-0.1223148
35,-1.903959,-1.9618046,"('corrupt', 'incorrupt')",-1.8341293,-1.9533014,-2.0238724,-1.8903061,-1.157007,-1.2446047,-0.25320342,-0.23878255,-1.4344343,-1.4577599,0.0233256
60,1.858259,1.8490366,"('inefficient', 'efficient')",1.3768872,1.3958364,3.3960495,3.1214895,2.0661867,2.108156,0.079861596,0.03486801,1.7554487,1.7018774,0.0535713
12,1.8214334,1.8025291,"('unsupportive', 'supportive')",0.9794052,1.0516577,0.8693051,1.0027326,-0.26734313,-0.250755,-1.6552367,-1.6779633,0.3495128,0.3856402,-0.0361274
7,1.8101797,1.9125439,"('insensitive', 'sensitive')",0.8690666,0.8623357,0.6905273,0.61431885,0.8030443,0.7795919,0.66549003,0.7944191,0.9676617,0.9926419,-0.0249802
62,1.7436594,1.888372,"('incompetent', 'brilliant')",0.6313054,0.66738576,1.5085548,1.4253147,1.1280143,1.25687,-0.33854702,-0.28380606,0.9345973,0.9908274,-0.0562301
31,-1.7423927,-1.8338342,"('evil', 'good')",-1.3442142,-1.557,-1.9697998,-1.8474377,-1.5796862,-1.6342083,-1.269286,-1.3369054,-1.5810759,-1.6418772,0.0608013
65,1.7317231,1.8062586,"('insecure', 'secure')",1.5791304,1.6893873,1.9132124,1.8004421,1.4778279,1.4810431,0.0058028772,0.006350126,1.3415394,1.3566962,-0.0151568
30,1.6841346,1.6040887,"('intolerant', 'tolerant')",0.4272827,0.37295252,1.5884515,1.5450112,1.3727994,1.4531876,1.0169014,0.90168726,1.2179139,1.1753854,0.0425285
4,-1.6526724,-1.7777029,"('disliked', 'liked')",-1.6541609,-1.7023051,-1.9738339,-1.8728944,-0.8932825,-0.87849087,-5.2961664,-5.577843,-2.2940231,-2.3618473,0.0678242
34,1.6182611,1.607174,"('mean', 'honorable')",0.20014831,0.30287004,0.79774725,0.6787972,-0.254874,-0.28515327,5.170271,5.3208337,1.5063107,1.5249043,-0.0185936
44,-1.5889704,-1.548133,"('prejudiced', 'unprejudiced')",0.3085519,0.28984028,-0.22160023,-0.32445413,1.2969463,1.2631246,-1.3807502,-1.4535192,-0.3171645,-0.3546283,0.0374638
10,1.582467,1.5673612,"('unsympathetic', 'sympathetic')",0.9265808,1.0604906,-0.074093364,-0.051508904,-0.12040484,0.023180615,-0.49629217,-0.26782143,0.3636515,0.4663404,-0.1026889
6,-1.4743445,-1.6200426,"('distant', 'open')",-2.0430903,-2.2256312,-1.6641942,-1.4210786,-1.6928217,-1.7546738,-0.12342574,-0.13427886,-1.3995753,-1.431141,0.0315657
83,1.4252857,1.4984046,"('powerless', 'powerful')",0.6271496,0.5698766,0.6174107,0.6217496,-0.54104984,-0.51627547,-0.9396739,-1.0091338,0.2378244,0.2329243,0.0049001
5,-1.3938626,-1.5782478,"('distant', 'outgoing')",-2.1037514,-2.236165,-1.3500139,-1.1395161,-1.4173923,-1.4628327,-0.6580223,-0.7472239,-1.3846085,-1.4327971,0.0481886
11,1.3838819,1.6253176,"('unhelpful', 'helpful')",0.9048712,1.1722497,2.4130502,2.5029483,0.4665572,0.5562699,1.7309638,1.8396722,1.3798648,1.5392916,-0.1594268
78,1.3484609,1.3851252,"('nonresilient', 'resilient')",-0.2595773,-0.19221438,0.08600755,0.06923028,-0.6559016,-0.7172305,0.2409009,0.14731528,0.1519781,0.1384452,0.0135329
61,1.324494,1.4080753,"('illogical', 'logical')",0.09391683,0.20600542,1.574065,1.6410674,0.3545389,0.36314213,-0.14544313,0.0333737,0.6403143,0.7303328,-0.0900185
24,1.3029859,1.2834725,"('dishonest', 'honest')",0.49527672,0.5771852,0.087820426,0.16444486,0.025058225,0.027278103,0.44553792,0.7061549,0.4713358,0.5517071,-0.0803713
46,1.2243155,1.3434496,"('uncompetitive', 'competitive')",1.8226347,2.1104054,1.3486218,1.330685,1.2462648,1.3911388,-0.050457023,-0.028703373,1.118276,1.2293952,-0.1111192
75,-1.1718891,-1.2233737,"('meek', 'impulsive')",-1.5098882,-1.4477565,-0.9329496,-0.8892706,-0.2827004,-0.28631377,-0.37786207,-0.46746606,-0.8550578,-0.8628361,0.0077783
16,-1.1706795,-1.165754,"('unpopular', 'popular')",-0.84450656,-0.88430756,-0.95400006,-0.9549634,-1.4175138,-1.4583068,0.35375956,0.28162575,-0.806588,-0.8363412,0.0297532
43,1.1630685,1.2359681,"('irresponsible', 'responsible')",0.48724848,0.6560752,0.9626374,1.0203825,0.016393665,0.08122862,0.2929825,0.49599367,0.5844661,0.6979297,-0.1134636
55,1.1395807,1.0507436,"('incompetent', 'clever')",0.6725557,0.61431134,1.6820425,1.467234,1.0216194,1.0537295,-0.035565324,0.08814075,0.8960465,0.8548319,0.0412146
74,1.091021,0.9492831,"('undedicated', 'dedicated')",0.96222377,0.97057086,0.13715257,0.28561282,0.41188738,0.45094326,0.39093253,0.43410835,0.5986434,0.6181036,-0.0194602
29,-1.0633827,-1.0554497,"('unfair', 'fair')",-0.62529016,-0.7177687,-0.6615376,-0.64340955,-0.56524265,-0.616444,-0.6595441,-0.6748323,-0.7149994,-0.7415809,0.0265815
28,1.0416877,1.0819037,"('disloyal', 'loyal')",0.72650576,0.71151406,0.118991405,0.17107241,-0.42576906,-0.41715288,0.8324419,1.0152023,0.4587715,0.5125079,-0.0537364
