,procter_male,procter_female,tuple,&_male,&_female,gamble_male,gamble_female,co_male,co_female,average_male,average_female,male-female
10,-3.834479,-3.7626812,"('unsympathetic', 'sympathetic')",-3.6441898,-3.7094975,-2.8650703,-2.956336,-0.4381783,-0.20630339,-2.6954794,-2.6587045,-0.0367749
85,3.267248,2.8997722,"('insignificant', 'prestigious')",3.1471164,3.1161647,3.463774,3.100093,0.38030446,0.12024788,2.5646107,2.3090694,0.2555413
69,2.9018502,2.5750594,"('lazy', 'industrious')",3.289232,3.21064,1.8861548,1.6147271,-0.4289376,-0.82339233,1.9120749,1.6442585,0.2678164
57,-2.8708954,-3.156341,"('unimaginative', 'imaginative')",-2.2082012,-2.2563684,-1.5380284,-1.6885378,-3.641858,-3.3780909,-2.5647459,-2.6198344,0.0550885
60,-2.7351108,-2.4023733,"('inefficient', 'efficient')",-3.3691833,-3.3565145,-1.5821978,-1.2979364,-0.4663392,-0.06304057,-2.0382078,-1.7799662,-0.2582416
48,-2.7189677,-2.8954394,"('unintelligent', 'intelligent')",-2.4698906,-2.5171943,-1.402261,-1.3828962,-0.38195673,-0.30367357,-1.7432688,-1.774801,0.0315322
81,-2.6748075,-2.243904,"('submissive', 'aggressive')",-2.0439773,-1.8655328,-1.9627023,-1.6331364,-1.3058366,-0.8786325,-1.9968309,-1.6553015,-0.3415294
30,-2.5844014,-2.472392,"('intolerant', 'tolerant')",-3.228099,-3.2004488,-1.6029817,-1.4607248,-0.11959703,0.25210667,-1.8837698,-1.7203648,-0.163405
55,-2.5751534,-2.486793,"('incompetent', 'clever')",-2.3192139,-2.3260496,-1.352307,-1.1711655,-0.012755159,0.27151522,-1.5648574,-1.4281231,-0.1367343
5,2.4872642,2.2601955,"('distant', 'outgoing')",2.0786965,2.1477604,2.6258707,2.4457831,-0.12423653,-0.13519391,1.7668988,1.6796364,0.0872624
65,-2.4236395,-2.0810127,"('insecure', 'secure')",-2.0361764,-1.906867,-2.0611362,-1.7878747,-0.5353198,-0.15606026,-1.764068,-1.4829537,-0.2811143
6,2.4181776,2.0439491,"('distant', 'open')",2.0898714,2.025549,2.6111846,2.2118888,0.42588195,0.2438885,1.8862789,1.6313188,0.2549601
13,-2.39455,-2.1877048,"('impolite', 'polite')",-3.059201,-3.0205553,-1.4008523,-1.2865572,-0.39028144,-0.1869112,-1.8112211,-1.6704321,-0.140789
23,-2.3533514,-2.2724333,"('insincere', 'sincere')",-3.061489,-2.9081438,-0.82136315,-0.86745226,5.5624604,5.876272,-0.1684358,-0.0429393,-0.1254965
