,hartford_male,hartford_female,tuple,financial_male,financial_female,svcs_male,svcs_female,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
39,2.714831,2.7640314,"('exploitative', 'cooperative')",1.1344277,1.1944032,1.9890305,2.0190377,1.1798757,1.3455595,0.07477744,0.29978156,1.4185885,1.5245626,-0.1059741
71,2.3227594,2.4595966,"('diffident', 'self-confident')",1.7809894,1.9155109,-0.7591299,-0.67660975,-0.5898841,-0.5333501,0.29701915,0.27025372,0.6103508,0.6870803,-0.0767295
26,2.1116433,1.7108176,"('hardhearted', 'benevolent')",0.24729918,-0.07770002,-0.85788524,-1.0299996,-0.43917695,-0.79694587,1.2607771,1.0367461,0.4645315,0.1685836,0.2959479
40,1.9259386,1.6415814,"('stingy', 'generous')",0.9057844,0.87162316,0.40120667,0.40969646,-0.09747319,-0.1871966,-1.4680836,-1.7639562,0.3334746,0.1943497,0.1391249
7,1.7592497,1.9006565,"('insensitive', 'sensitive')",1.1187212,1.1432992,0.7760869,0.8498872,0.85152245,0.8477436,0.88155216,0.9463591,1.0774265,1.1375892,-0.0601627
24,1.6711016,1.6566763,"('dishonest', 'honest')",0.6307924,0.5945128,0.24045527,0.18486112,0.41767234,0.25813642,0.6259693,0.7835547,0.7171982,0.6955483,0.0216499
20,1.6289369,1.6874017,"('rough', 'thoughtful')",0.028966565,0.10224507,0.48912475,0.5505412,0.33693093,0.32302952,0.9296021,0.8806338,0.6827123,0.7087703,-0.026058
42,1.6135267,1.7340119,"('unreliable', 'reliable')",1.375839,1.4237245,1.0948884,1.2381954,1.5676916,1.7132008,-2.3631196,-2.4131548,0.6577653,0.7391956,-0.0814303
74,1.5465403,1.6776085,"('undedicated', 'dedicated')",0.7886652,0.93008375,1.2790523,1.3298901,0.8359237,0.88147926,0.72427535,0.8177707,1.0348913,1.1273664,-0.0924751
65,1.3792796,1.6266667,"('insecure', 'secure')",0.28839272,0.23240449,0.9740318,1.085034,1.1694951,1.3807347,-0.07027,0.22378872,0.7481858,0.9097257,-0.1615399
12,1.3723997,1.3491172,"('unsupportive', 'supportive')",1.89158,1.8934224,-0.022654267,-0.040461313,-0.43062523,-0.4431922,-1.6305654,-1.7669234,0.236027,0.1983925,0.0376345
10,1.3662919,1.4663839,"('unsympathetic', 'sympathetic')",0.4173972,0.44275102,0.3003536,0.19940346,0.49637195,0.36575404,0.86531544,0.8811072,0.689146,0.6710799,0.0180661
27,1.3371556,1.1097318,"('hardhearted', 'softhearted')",-0.8799001,-0.9874194,-0.26523048,-0.43357444,0.21010946,-0.14418156,1.2928259,1.0828247,0.3389921,0.1254762,0.2135159
43,1.3040805,1.5994728,"('irresponsible', 'responsible')",1.6784598,1.772497,0.15729086,0.23019367,0.8059193,0.941023,1.2482073,1.4227678,1.0387915,1.1931908,-0.1543993
31,-1.2777742,-1.4446371,"('evil', 'good')",-1.3522475,-1.3521706,-1.7343915,-1.6926435,-2.0370152,-2.0959458,-1.667867,-2.0052378,-1.613859,-1.7181271,0.1042681
70,1.1793166,1.4556606,"('lethargic', 'energetic')",0.8158883,0.908932,1.8564487,2.0169153,1.9058863,2.0736375,1.7045174,1.9808236,1.4924114,1.6871939,-0.1947825
83,1.1054612,1.1192687,"('powerless', 'powerful')",1.5835848,1.6933992,-0.018919062,0.046480395,-0.117690325,0.047192726,-0.39626878,-0.2436853,0.4312335,0.5325312,-0.1012977
