,smith_male,smith_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.1023042,-1.9337027,"('hostile', 'amicable')",-0.115107134,-0.07422281,-0.46490765,-0.7584853,-0.8941063,-0.9221369,0.0280306
52,-2.0315177,-1.8965821,"('irrational', 'rational')",-0.9843865,-0.83570975,-0.41991493,-0.47973886,-1.145273,-1.070677,-0.074596
84,2.0247722,2.0467277,"('inferior', 'superior')",0.43948925,0.6086207,0.96242994,0.9519261,1.1422305,1.2024248,-0.0601943
16,-1.986456,-2.0857134,"('unpopular', 'popular')",0.0832605,0.11849416,0.6651852,0.44988889,-0.4126701,-0.5057768,0.0931067
31,-1.9627615,-1.9989655,"('evil', 'good')",-0.79554844,-0.72177625,-1.4071164,-1.7615377,-1.3884754,-1.4940931,0.1056177
43,1.7764744,1.8648854,"('irresponsible', 'responsible')",0.5021667,0.63155085,0.5971027,0.81786215,0.9585812,1.1047662,-0.146185
76,1.6698555,1.7023762,"('anxious', 'daring')",0.8877917,0.9179737,0.7058595,0.93342954,1.0878356,1.1845931,-0.0967575
55,1.6426172,1.409512,"('incompetent', 'clever')",-0.5218734,-0.6293805,0.07562319,0.052298535,0.398789,0.2774767,0.1213123
56,1.6380798,2.3833387,"('impractical', 'practical')",1.2233849,1.4655286,0.14645289,0.5312636,1.0026391,1.4600436,-0.4574045
75,-1.6187346,-1.6692945,"('meek', 'impulsive')",-0.06163382,0.0132330395,-0.4319741,-0.48505405,-0.7041142,-0.7137051,0.0095909
5,-1.5143359,-1.5574664,"('distant', 'outgoing')",-0.17461598,-0.07090971,-0.12877604,-0.28088436,-0.6059093,-0.6364202,0.0305109
60,1.4933727,1.5859827,"('inefficient', 'efficient')",0.93494385,0.97559077,0.3128698,0.7132913,0.9137288,1.0916216,-0.1778928
4,-1.479754,-0.78566873,"('disliked', 'liked')",-0.46296552,-0.0066155754,-5.8339586,-5.8334684,-2.592226,-2.2085843,-0.3836417
85,-1.4577007,-1.6092815,"('insignificant', 'prestigious')",-0.736532,-0.60719776,0.2109834,-0.043815535,-0.6610831,-0.7534316,0.0923485
72,1.4333792,1.1265156,"('unambitious', 'ambitious')",-0.5092715,-0.668119,-1.0511082,-1.084301,-0.0423335,-0.2086348,0.1663013
35,-1.3985313,-1.3121687,"('corrupt', 'incorrupt')",-0.96055764,-0.75794023,-0.69311625,-0.86772513,-1.0174017,-0.979278,-0.0381237
39,1.3920777,1.5086843,"('exploitative', 'cooperative')",0.66782576,0.70199263,-0.009317409,0.019684665,0.6835287,0.7434538,-0.0599251
48,1.3847144,1.0422871,"('unintelligent', 'intelligent')",-0.14940718,-0.35254788,0.4404313,0.37005827,0.5585795,0.3532658,0.2053137
70,1.3472416,1.3874514,"('lethargic', 'energetic')",0.48447332,0.5989734,0.94257,1.2897737,0.9247616,1.0920661,-0.1673045
6,-1.331437,-1.5045685,"('distant', 'open')",-0.35135403,-0.30937138,0.10084602,-0.12904613,-0.527315,-0.647662,0.120347
7,1.2912717,1.1050414,"('insensitive', 'sensitive')",0.15238506,-0.124220364,0.873762,0.9070033,0.7724729,0.6292748,0.1431981
18,-1.277921,-1.1635054,"('disagreeable', 'welcoming')",0.7556841,0.85660654,-0.5652035,-0.6651032,-0.3624801,-0.3240007,-0.0384794
46,1.2716373,1.3593823,"('uncompetitive', 'competitive')",0.47499347,0.40586713,-0.06239252,0.07550508,0.5614128,0.6135848,-0.052172
51,1.2247694,1.3044827,"('uneducated', 'educated')",0.13553336,0.12195404,0.6065519,0.5507664,0.6556182,0.6590677,-0.0034495
79,-1.2140956,-1.2922074,"('wavering', 'unwavering')",-0.8834141,-0.7881297,0.11913136,-0.038825125,-0.6594594,-0.7063874,0.046928
20,1.207177,0.89024675,"('rough', 'thoughtful')",0.2562272,0.22339465,1.0853748,0.89894617,0.849593,0.6708625,0.1787305
74,1.1882267,1.4694952,"('undedicated', 'dedicated')",0.46365094,0.750413,-0.04760229,0.12855367,0.5347584,0.7828206,-0.2480622
34,-1.1456531,-1.3011861,"('mean', 'honorable')",0.4688804,0.4214757,5.7635818,5.787991,1.6956031,1.6360936,0.0595095
86,1.1407251,1.0742388,"('uninfluential', 'influential')",-0.3193401,-0.4651416,-0.22698748,-0.40731758,0.1981325,0.0672599,0.1308726
2,1.1389357,1.0639747,"('unlikable', 'likable')",1.2127744,1.2942953,0.37684792,0.4454495,0.9095194,0.9345733,-0.0250539
88,-1.1182575,-1.0740881,"('low', 'eminent')",-0.28151914,-0.24727276,-0.0007962361,0.13122845,-0.4668576,-0.3967108,-0.0701468
