,pepsico_male,pepsico_female,tuple,inc_male,inc_female,average_male,average_female,male-female
85,1.3213388,1.421388,"('insignificant', 'prestigious')",0.6326034,0.6368228,0.9769711,1.0291054,-0.0521343
57,-1.2767338,-1.4078196,"('unimaginative', 'imaginative')",-2.5224113,-2.7510135,-1.8995726,-2.0794165,0.1798439
82,-1.2605678,-1.1916944,"('poor', 'rich')",6.024279,6.0853195,2.3818557,2.4468126,-0.0649569
18,-1.2079484,-1.0694741,"('disagreeable', 'welcoming')",-0.46943805,-0.41047102,-0.8386933,-0.7399726,-0.0987207
33,1.2063483,1.1739703,"('wrong', 'right')",-0.7658825,-0.62912345,0.2202329,0.2724234,-0.0521905
87,1.1636909,1.0410582,"('unsuccessful', 'successful')",1.1457839,1.0459023,1.1547375,1.0434802,0.1112573
39,1.1088269,0.8949248,"('exploitative', 'cooperative')",-0.22123596,-0.12150984,0.4437954,0.3867075,0.0570879
14,-1.106891,-1.3681232,"('antisocial', 'social')",-0.8376314,-0.9324684,-0.9722612,-1.1502957,0.1780345
84,1.0755693,1.1317714,"('inferior', 'superior')",0.87199366,1.041333,0.9737815,1.0865521,-0.1127706
70,-1.0124563,-1.0064999,"('lethargic', 'energetic')",0.8987036,0.85083175,-0.0568764,-0.0778341,0.0209577
69,0.94225216,0.9885775,"('lazy', 'industrious')",-0.6037128,-0.5764543,0.1692697,0.2060616,-0.0367919
72,-0.8858749,-0.57354856,"('unambitious', 'ambitious')",-1.2228761,-0.78350276,-1.0543755,-0.6785257,-0.3758498
8,-0.8791117,-0.72630703,"('unaffectionate', 'affectionate')",0.020461444,0.31167692,-0.4293251,-0.2073151,-0.22201
71,0.87502927,0.9653159,"('diffident', 'self-confident')",0.46383417,0.39064378,0.6694317,0.6779798,-0.0085481
55,-0.82831985,-0.92462474,"('incompetent', 'clever')",-0.045644686,-0.10307315,-0.4369823,-0.513849,0.0768667
10,-0.82611704,-0.8251584,"('unsympathetic', 'sympathetic')",0.15757152,0.0745659,-0.3342727,-0.3752963,0.0410236
73,0.8172351,0.7831547,"('helpless', 'self-reliant')",-3.2859917,-3.2485309,-1.2343783,-1.2326881,-0.0016902
35,-0.8083328,-0.5256175,"('corrupt', 'incorrupt')",-0.5669987,-0.2337501,-0.6876658,-0.3796838,-0.307982
