,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,male-female
56,1.7691932,1.8646625,"('impractical', 'practical')",1.8527863,1.9764916,0.26203683,0.35999537,1.2946721,1.4003832,-0.1057111
31,-1.7275505,-1.9656804,"('evil', 'good')",-0.22504258,-0.322492,-0.9729838,-1.0246998,-0.9751923,-1.1042906,0.1290983
67,1.5919019,1.503551,"('doubtful', 'determined')",0.49927056,0.4220568,-0.41482514,-0.3811473,0.5587824,0.5148202,0.0439622
6,-1.5183544,-1.6063164,"('distant', 'open')",-0.8312434,-0.90664214,0.30444807,0.35422817,-0.6817166,-0.7195768,0.0378602
39,1.5077715,1.952086,"('exploitative', 'cooperative')",0.6999222,0.9760541,-0.15334596,0.19493003,0.6847825,1.0410234,-0.3562409
27,-1.4572114,-1.3479806,"('hardhearted', 'softhearted')",-0.33955088,-0.22741717,1.3332913,1.3261824,-0.1544903,-0.0830718,-0.0714185
36,-1.4321194,-1.5584422,"('hostile', 'amicable')",-1.0624704,-1.0674012,-0.29079732,-0.41457945,-0.9284623,-1.0134743,0.085012
84,1.341515,1.6210414,"('inferior', 'superior')",0.031287197,0.18229616,0.35128736,0.58657604,0.5746965,0.7966379,-0.2219414
73,1.2505103,1.649016,"('helpless', 'self-reliant')",0.5828338,0.7086799,-3.3867054,-3.176425,-0.5177871,-0.2729096,-0.2448775
12,1.2198207,1.083059,"('unsupportive', 'supportive')",0.58526355,0.503837,-1.7485203,-1.7005569,0.0188547,-0.037887,0.0567417
3,-1.1694508,-1.1659317,"('repellent', 'pleasant')",-0.3079109,-0.1821707,0.31476897,0.33026904,-0.3875309,-0.3392778,-0.0482531
44,-1.1205091,-0.6576532,"('prejudiced', 'unprejudiced')",-1.8506445,-1.6062793,-1.8220563,-1.4737982,-1.5977367,-1.2459102,-0.3518265
26,1.1088903,0.78931326,"('hardhearted', 'benevolent')",2.0847402,1.9190141,1.0377384,1.021459,1.4104563,1.2432621,0.1671942
5,-1.0512614,-1.1617769,"('distant', 'outgoing')",-0.004875511,-0.13701935,-0.07466674,-0.06202173,-0.3769346,-0.453606,0.0766714
24,1.0405078,0.98192924,"('dishonest', 'honest')",-0.043716125,-0.08987379,1.0783306,1.0349905,0.6917075,0.6423487,0.0493588
37,1.0149115,1.1546208,"('fake', 'genuine')",-0.3933989,-0.21225493,0.61939234,0.5964256,0.413635,0.5129305,-0.0992955
71,1.0115284,1.1988043,"('diffident', 'self-confident')",1.3723388,1.3823985,0.6010756,0.5550594,0.994981,1.0454207,-0.0504397
