,viacom_male,viacom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
39,1.302086,1.2804906,"('exploitative', 'cooperative')",0.4871991,0.3488527,0.8946425,0.8146716,0.0799709
73,1.2061462,1.382,"('helpless', 'self-reliant')",-2.7351756,-2.8717299,-0.7645147,-0.7448649,-0.0196498
6,-0.985584,-0.88587034,"('distant', 'open')",0.238505,0.4433311,-0.3735395,-0.2212696,-0.1522699
5,-0.9739723,-0.6805985,"('distant', 'outgoing')",-0.4736215,-0.16243404,-0.7237969,-0.4215163,-0.3022806
53,-0.89746886,-0.86243236,"('uncreative', 'creative')",0.77817595,0.8325649,-0.0596465,-0.0149337,-0.0447128
0,-0.890248,-0.8619985,"('unsociable', 'sociable')",-0.48526707,-0.5842489,-0.6877576,-0.7231237,0.0353661
8,-0.8697668,-1.5028107,"('unaffectionate', 'affectionate')",0.91678655,0.82078487,0.0235099,-0.3410129,0.3645228
10,-0.8551114,-1.0568596,"('unsympathetic', 'sympathetic')",-0.25790837,-0.43662736,-0.5565099,-0.7467435,0.1902336
48,0.84212464,0.6565393,"('unintelligent', 'intelligent')",0.55731744,0.52257806,0.699721,0.5895587,0.1101623
43,-0.82966125,-0.6561697,"('irresponsible', 'responsible')",0.4729339,0.4837673,-0.1783637,-0.0862012,-0.0921625
66,-0.8166641,-0.9092142,"('inactive', 'active')",0.67757165,0.4726793,-0.0695462,-0.2182675,0.1487213
45,-0.81425077,-0.789545,"('incompetent', 'competent')",-0.40839845,-0.58495456,-0.6113246,-0.6872498,0.0759252
33,0.7952832,0.6825683,"('wrong', 'right')",-0.5416812,-0.5953658,0.126801,0.0436012,0.0831998
80,0.7947863,0.71431893,"('dominated', 'dominating')",-0.9822891,-1.2788327,-0.0937514,-0.2822569,0.1885055
9,-0.78180575,-1.1383753,"('unaffectionate', 'caring')",1.1448902,1.0508857,0.1815422,-0.0437448,0.225287
4,-0.741264,-0.8641805,"('disliked', 'liked')",-6.543391,-7.065009,-3.6423275,-3.9645948,0.3222673
36,-0.7312083,-0.927436,"('hostile', 'amicable')",0.22937603,0.22012705,-0.2509162,-0.3536545,0.1027383
85,0.72925097,0.50765145,"('insignificant', 'prestigious')",0.78991795,0.6333,0.7595844,0.5704757,0.1891087
15,-0.6903209,-0.85764945,"('boring', 'funny')",0.42246765,0.40996683,-0.1339266,-0.2238413,0.0899147
61,0.66669774,0.60073817,"('illogical', 'logical')",0.41259566,0.34406605,0.5396467,0.4724021,0.0672446
29,-0.6525219,-0.25610954,"('unfair', 'fair')",-0.4263556,-0.19498177,-0.5394387,-0.2255456,-0.3138931
38,-0.6414729,-0.8047402,"('untruthful', 'truthful')",-0.42613173,-0.37786776,-0.5338023,-0.5913039,0.0575016
19,-0.6396972,-0.8396353,"('inhospitable', 'hospitable')",0.08169247,0.02819785,-0.2790024,-0.4057187,0.1267163
16,-0.6289913,-0.5136632,"('unpopular', 'popular')",0.17279387,0.01197128,-0.2280987,-0.2508459,0.0227472
26,0.5980853,0.21969746,"('hardhearted', 'benevolent')",1.8174734,1.6742307,1.2077794,0.9469641,0.2608153
57,-0.5913983,-0.64963686,"('unimaginative', 'imaginative')",-2.3899584,-2.7044106,-1.4906783,-1.6770236,0.1863453
35,-0.57280207,-0.49658018,"('corrupt', 'incorrupt')",-0.32230648,-0.2165079,-0.4475543,-0.356544,-0.0910103
49,-0.5337725,-0.49389142,"('unable', 'able')",-0.084564984,-0.02490362,-0.3091688,-0.2593975,-0.0497713
83,0.5322088,0.3183627,"('powerless', 'powerful')",-0.77502984,-0.87150294,-0.1214105,-0.2765701,0.1551596
72,-0.523116,-0.42448327,"('unambitious', 'ambitious')",-0.58756685,-0.43687156,-0.5553414,-0.4306774,-0.124664
58,0.50154054,0.35844395,"('undiscriminating', 'discriminating')",0.35086036,0.11537932,0.4262004,0.2369116,0.1892888
13,-0.49691328,-0.55516636,"('impolite', 'polite')",-0.40547192,-0.5146974,-0.4511926,-0.5349319,0.0837393
46,-0.47258437,-0.5083099,"('uncompetitive', 'competitive')",-0.7479613,-1.0429686,-0.6102728,-0.7756393,0.1653665
67,-0.45710033,-0.29869616,"('doubtful', 'determined')",-1.05654,-0.90939575,-0.7568202,-0.604046,-0.1527742
54,-0.45446905,-0.549473,"('incapable', 'capable')",1.2633111,1.381982,0.404421,0.4162545,-0.0118335
68,-0.45420685,-0.47829854,"('dependent', 'independent')",-0.3287636,-0.34698322,-0.3914852,-0.4126409,0.0211557
1,-0.44524398,-0.80007315,"('unfriendly', 'friendly')",1.8191247,1.7174269,0.6869404,0.4586769,0.2282635
17,-0.4428925,-0.6114678,"('nasty', 'nice')",-0.4751339,-0.55560917,-0.4590132,-0.5835385,0.1245253
60,0.4362172,0.6121636,"('inefficient', 'efficient')",-0.11690998,0.042376123,0.1596536,0.3272699,-0.1676163
18,-0.42926162,-0.74936384,"('disagreeable', 'welcoming')",-0.2049872,-0.29935184,-0.3171244,-0.5243579,0.2072335
64,-0.4149569,-0.27095237,"('shy', 'confident')",-6.8448844,-6.9751105,-3.6299207,-3.6230314,-0.0068893
20,0.40450662,0.4387853,"('rough', 'thoughtful')",1.2840323,1.0815126,0.8442695,0.7601489,0.0841206
