,prudential_male,prudential_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
69,2.1139653,2.247144,"('lazy', 'industrious')",0.92821115,0.8936055,-0.77964187,-0.54558,0.7541782,0.8650565,-0.1108783
0,-2.030453,-2.2265303,"('unsociable', 'sociable')",0.31350157,0.21451841,-0.5597754,-0.57990474,-0.7589089,-0.8639723,0.1050634
86,-1.998992,-2.2455013,"('uninfluential', 'influential')",0.08612474,0.07323852,0.12170929,-0.0014694482,-0.5970527,-0.7245773,0.1275246
85,1.9162147,2.3980083,"('insignificant', 'prestigious')",1.383962,1.5424895,-0.10458974,0.21784607,1.0651956,1.3861146,-0.320919
10,-1.7808418,-2.0060043,"('unsympathetic', 'sympathetic')",-0.725731,-0.68575656,0.028745629,-0.17263402,-0.8259424,-0.9547984,0.128856
3,-1.776266,-1.9098315,"('repellent', 'pleasant')",-0.14121266,-0.17776255,0.082122535,0.07370192,-0.6117854,-0.6712974,0.059512
42,1.7265267,1.5884385,"('unreliable', 'reliable')",1.1380304,1.160738,-2.511836,-2.7199674,0.1175737,0.0097364,0.1078373
66,1.686211,1.695723,"('inactive', 'active')",1.4727645,1.4576565,1.3434141,1.4722161,1.5007966,1.5418652,-0.0410686
79,1.6729712,1.912241,"('wavering', 'unwavering')",-0.12851867,-0.14314409,0.3810512,0.36006787,0.6418346,0.7097216,-0.067887
73,1.591838,1.821973,"('helpless', 'self-reliant')",0.94062626,0.9847561,-3.4934301,-3.4385262,-0.320322,-0.210599,-0.109723
55,-1.5528377,-2.0987258,"('incompetent', 'clever')",-0.74877995,-0.7887642,-0.26052415,-0.4329494,-0.8540473,-1.1068131,0.2527658
48,-1.5512183,-1.7037812,"('unintelligent', 'intelligent')",-0.37796566,-0.37894154,0.40159065,0.40362433,-0.5091978,-0.5596995,0.0505017
44,1.5367318,1.4453727,"('prejudiced', 'unprejudiced')",-0.37655926,-0.32502243,-1.4549264,-1.4712812,-0.0982513,-0.116977,0.0187257
45,-1.4687845,-1.7391576,"('incompetent', 'competent')",-0.5892653,-0.67054254,-0.51641464,-0.6117867,-0.8581548,-1.0071623,0.1490075
28,-1.4418918,-1.373866,"('disloyal', 'loyal')",-0.12758246,-0.12892392,0.8795194,0.77606434,-0.2299849,-0.2422418,0.0122569
33,1.4105359,1.6702226,"('wrong', 'right')",0.9671342,1.133142,-0.83875597,-0.74506867,0.5129714,0.6860987,-0.1731273
34,1.4061477,1.2450159,"('mean', 'honorable')",0.86838645,0.78289413,6.56301,6.4608383,2.9458481,2.8295829,0.1162652
2,1.3736662,1.4093177,"('unlikable', 'likable')",2.174223,2.2688406,0.4466952,0.48600698,1.3315282,1.3880552,-0.056527
14,-1.3498688,-1.4831208,"('antisocial', 'social')",1.1992854,1.3015366,-1.0885669,-1.0954844,-0.4130501,-0.4256895,0.0126394
57,-1.3097793,-1.3426743,"('unimaginative', 'imaginative')",-0.33356118,-0.26731208,-3.0108714,-2.9618013,-1.551404,-1.5239293,-0.0274747
60,-1.2852073,-1.5248125,"('inefficient', 'efficient')",0.39992228,0.45351955,0.2506907,0.20075636,-0.2115314,-0.2901788,0.0786474
35,1.1780396,1.293868,"('corrupt', 'incorrupt')",-0.9331805,-0.91563314,-0.38063073,-0.2685389,-0.0452572,0.0365653,-0.0818225
24,-1.1452436,-0.80464095,"('dishonest', 'honest')",-0.1196063,0.20321761,0.80494535,0.6701513,-0.1533015,0.0229093,-0.1762108
50,1.1185881,0.9636324,"('clumsy', 'skillful')",0.7061599,0.62707025,0.41584307,0.4009366,0.7468637,0.6638798,0.0829839
83,1.0713713,0.9667124,"('powerless', 'powerful')",1.0443212,0.9992364,-0.87812835,-0.9409256,0.4125214,0.3416744,0.070847
62,-1.0143571,-1.1772578,"('incompetent', 'brilliant')",0.77651674,0.7898036,0.30295372,0.25434023,0.0217045,-0.0443713,0.0660758
46,-0.98061717,-1.5691537,"('uncompetitive', 'competitive')",1.0649558,0.9185062,-0.15996824,-0.25708067,-0.0252099,-0.302576,0.2773661
39,-0.9641892,-0.7696574,"('exploitative', 'cooperative')",0.65852666,0.76407266,-0.2632645,-0.2046444,-0.1896423,-0.0700764,-0.1195659
