,nicor_male,nicor_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-1.9510598,-1.613552,"('hostile', 'amicable')",-0.6402299,-0.35737216,-1.2956449,-0.9854621,-0.3101828
6,-1.8926517,-1.6230353,"('distant', 'open')",-0.5627748,-0.42692083,-1.2277132,-1.024978,-0.2027352
31,-1.855313,-1.6423405,"('evil', 'good')",-1.5107714,-1.4507977,-1.6830422,-1.5465691,-0.1364731
81,1.6486058,1.6140155,"('submissive', 'aggressive')",-0.04263498,-0.092564546,0.8029854,0.7607254,0.04226
5,-1.6351998,-1.3558624,"('distant', 'outgoing')",-0.8134628,-0.65565944,-1.2243313,-1.0057609,-0.2185704
53,-1.4839698,-1.2882185,"('uncreative', 'creative')",0.58049524,0.73562175,-0.4517373,-0.2762984,-0.1754389
56,1.4180146,1.4444103,"('impractical', 'practical')",0.28834373,0.26258492,0.8531792,0.8534976,-0.0003184
1,-1.3856397,-0.949723,"('unfriendly', 'friendly')",1.2804927,1.4453402,-0.0525735,0.2478086,-0.3003821
62,1.262524,1.3321393,"('incompetent', 'brilliant')",0.7206157,0.6815845,0.9915699,1.0068619,-0.015292
79,-1.2502027,-1.2037501,"('wavering', 'unwavering')",-0.38324994,-0.24876478,-0.8167263,-0.7262574,-0.0904689
30,1.2253767,1.4409093,"('intolerant', 'tolerant')",1.58863,1.7112641,1.4070034,1.5760868,-0.1690834
60,1.0996594,1.1702335,"('inefficient', 'efficient')",0.80165935,0.6859628,0.9506594,0.9280981,0.0225613
14,1.0709429,0.9810829,"('antisocial', 'social')",-0.034710802,-0.17387933,0.5181161,0.4036018,0.1145143
55,1.0525273,0.85622317,"('incompetent', 'clever')",0.7879007,0.5400839,0.920214,0.6981535,0.2220605
88,-1.0478266,-0.8519453,"('low', 'eminent')",0.2670924,0.29809067,-0.3903671,-0.2769273,-0.1134398
21,0.99152935,0.91450655,"('immoral', 'moral')",0.008311056,-0.12012822,0.4999202,0.3971892,0.102731
85,-0.9468378,-0.72679704,"('insignificant', 'prestigious')",-0.04843738,0.1546691,-0.4976376,-0.286064,-0.2115736
70,0.9061667,0.78519213,"('lethargic', 'energetic')",1.265561,1.1339021,1.0858638,0.9595471,0.1263167
4,-0.89801747,-0.8357432,"('disliked', 'liked')",-5.7426887,-5.8602295,-3.320353,-3.3479862,0.0276332
71,-0.88464606,-0.86822253,"('diffident', 'self-confident')",0.20607975,0.15765123,-0.3392832,-0.3552856,0.0160024
8,-0.8258867,-0.6187668,"('unaffectionate', 'affectionate')",0.43932274,0.5994964,-0.193282,-0.0096352,-0.1836468
74,0.8122996,0.68398017,"('undedicated', 'dedicated')",0.5063983,0.32152835,0.659349,0.5027543,0.1565947
