,brown_male,brown_female,tuple,forman_male,forman_female,corp_male,corp_female,average_male,average_female,male-female
31,-2.6198103,-3.2627318,"('evil', 'good')",-0.022528414,-0.5887387,-1.000228,-1.1704314,-1.2141889,-1.6739674,0.4597785
60,2.3253403,2.7826602,"('inefficient', 'efficient')",-0.34297338,0.2841056,0.21775018,0.5932323,0.7333724,1.2199993,-0.4866269
55,2.2027378,2.3580964,"('incompetent', 'clever')",-0.24841231,0.069179274,0.28792173,0.38069087,0.7474157,0.9359888,-0.1885731
21,1.9903623,2.2655132,"('immoral', 'moral')",0.0152096655,0.30934745,-0.52433264,-0.38456985,0.4937464,0.7300969,-0.2363505
14,1.988485,2.317272,"('antisocial', 'social')",0.7269529,1.064151,-0.20047228,-0.06588134,0.8383218,1.1051806,-0.2668588
16,-1.9362322,-2.1460466,"('unpopular', 'popular')",-0.9802056,-1.1984961,0.33700928,0.26795226,-0.8598096,-1.0255302,0.1657206
13,1.8396597,2.122287,"('impolite', 'polite')",-0.10167338,0.43104863,-0.4644639,-0.14720255,0.4245075,0.8020444,-0.3775369
0,1.8126322,1.9825233,"('unsociable', 'sociable')",-0.633397,-0.45827663,-0.051835902,-0.065028206,0.3757998,0.4864062,-0.1106064
56,1.7091203,2.4515193,"('impractical', 'practical')",0.068645,0.8386174,-0.677121,-0.15682131,0.3668815,1.0444384,-0.6775569
75,-1.6939337,-2.0947008,"('meek', 'impulsive')",-0.066751495,-0.24187961,-0.9601017,-1.001109,-0.906929,-1.1125631,0.2056341
39,1.6097802,1.4925612,"('exploitative', 'cooperative')",0.4760231,0.48988318,0.19001319,0.049760874,0.7586055,0.6774018,0.0812037
43,1.5292629,1.5047239,"('irresponsible', 'responsible')",-0.41340303,0.030133702,0.47494692,0.47294,0.5302689,0.6692659,-0.138997
10,1.50395,1.9100307,"('unsympathetic', 'sympathetic')",-1.1626644,-0.7349827,-0.0070914216,0.08876015,0.1113981,0.4212694,-0.3098713
12,1.4182923,1.4670159,"('unsupportive', 'supportive')",-0.042049415,0.06731091,-1.9437863,-1.8868446,-0.1891811,-0.1175059,-0.0716752
62,1.3766549,1.696115,"('incompetent', 'brilliant')",-0.34969914,0.20668305,0.5024063,0.90164465,0.5097873,0.9348142,-0.4250269
52,-1.3419722,-1.9181656,"('irrational', 'rational')",-0.20080009,-0.9747056,0.090008676,-0.32575136,-0.4842545,-1.0728741,0.5886196
37,1.2734072,1.3898646,"('fake', 'genuine')",0.15386865,0.51798236,0.040485926,0.2253876,0.489254,0.7110782,-0.2218242
80,1.2590667,1.5039753,"('dominated', 'dominating')",0.5876084,0.7925488,-0.6836362,-0.65454316,0.3876797,0.547327,-0.1596473
81,1.2018836,1.5555501,"('submissive', 'aggressive')",0.39083087,0.89942294,-0.52026016,-0.022187978,0.3574847,0.8109283,-0.4534436
35,-1.1939092,-1.5578622,"('corrupt', 'incorrupt')",0.26493075,-0.19410583,-0.71698266,-0.79978895,-0.5486537,-0.8505856,0.3019319
