,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.2495472,-2.1459377,"('unsympathetic', 'sympathetic')",-2.2495472,-2.1459377,-0.1036095
69,2.1423275,2.03921,"('lazy', 'industrious')",2.1423275,2.0392101,0.1031174
55,-1.5852156,-1.435183,"('incompetent', 'clever')",-1.5852156,-1.435183,-0.1500326
45,-1.5373504,-1.2609798,"('incompetent', 'competent')",-1.5373504,-1.2609798,-0.2763706
57,-1.4808339,-1.1603998,"('unimaginative', 'imaginative')",-1.4808339,-1.1603998,-0.3204341
46,-1.40806,-1.2213901,"('uncompetitive', 'competitive')",-1.40806,-1.2213901,-0.1866699
43,-1.4009948,-1.3349712,"('irresponsible', 'responsible')",-1.4009948,-1.3349712,-0.0660236
48,-1.3866374,-1.5478956,"('unintelligent', 'intelligent')",-1.3866374,-1.5478956,0.1612582
30,-1.3797648,-1.4744873,"('intolerant', 'tolerant')",-1.3797648,-1.4744873,0.0947225
11,-1.3440331,-1.3604089,"('unhelpful', 'helpful')",-1.3440331,-1.3604089,0.0163758
64,-1.3373874,-1.2742682,"('shy', 'confident')",-1.3373874,-1.2742682,-0.0631192
86,-1.3164248,-1.3653855,"('uninfluential', 'influential')",-1.3164248,-1.3653855,0.0489607
13,-1.2674923,-1.2901704,"('impolite', 'polite')",-1.2674923,-1.2901704,0.0226781
70,-1.2408037,-1.1940894,"('lethargic', 'energetic')",-1.2408037,-1.1940894,-0.0467143
12,-1.2341516,-1.1652853,"('unsupportive', 'supportive')",-1.2341516,-1.1652853,-0.0688663
65,-1.1464758,-0.99796695,"('insecure', 'secure')",-1.1464758,-0.9979669,-0.1485089
21,-1.0964528,-1.1163588,"('immoral', 'moral')",-1.0964528,-1.1163588,0.019906
81,-1.0919641,-1.1557472,"('submissive', 'aggressive')",-1.0919641,-1.1557472,0.0637831
85,1.0672777,0.95862734,"('insignificant', 'prestigious')",1.0672777,0.9586273,0.1086504
51,-1.0453027,-1.2313849,"('uneducated', 'educated')",-1.0453027,-1.2313849,0.1860822
35,1.0337608,0.9404963,"('corrupt', 'incorrupt')",1.0337608,0.9404963,0.0932645
5,0.9922946,1.0974174,"('distant', 'outgoing')",0.9922946,1.0974174,-0.1051228
62,-0.99140716,-0.8662758,"('incompetent', 'brilliant')",-0.9914072,-0.8662758,-0.1251314
6,0.98980105,1.017231,"('distant', 'open')",0.989801,1.017231,-0.02743
7,-0.98782897,-0.83910406,"('insensitive', 'sensitive')",-0.987829,-0.8391041,-0.1487249
8,-0.91144615,-1.0941797,"('unaffectionate', 'affectionate')",-0.9114462,-1.0941797,0.1827335
0,-0.8655549,-0.8376645,"('unsociable', 'sociable')",-0.8655549,-0.8376645,-0.0278904
63,-0.85525054,-0.7454284,"('unperceptive', 'insightful')",-0.8552505,-0.7454284,-0.1098221
33,0.8227601,0.70000046,"('wrong', 'right')",0.8227601,0.7000005,0.1227596
14,-0.76073766,-0.63894767,"('antisocial', 'social')",-0.7607377,-0.6389477,-0.12179
60,-0.7323371,-0.7555658,"('inefficient', 'efficient')",-0.7323371,-0.7555658,0.0232287
83,-0.7120027,-0.62529254,"('powerless', 'powerful')",-0.7120027,-0.6252925,-0.0867102
28,-0.69636506,-0.64150715,"('disloyal', 'loyal')",-0.6963651,-0.6415071,-0.054858
20,-0.6862858,-0.6014061,"('rough', 'thoughtful')",-0.6862858,-0.6014061,-0.0848797
66,0.6669054,0.60020494,"('inactive', 'active')",0.6669054,0.6002049,0.0667005
24,-0.64444023,-0.8623272,"('dishonest', 'honest')",-0.6444402,-0.8623272,0.217887
58,-0.6417126,-0.4814456,"('undiscriminating', 'discriminating')",-0.6417126,-0.4814456,-0.160267
56,-0.63438934,-0.45397756,"('impractical', 'practical')",-0.6343893,-0.4539776,-0.1804117
84,-0.6327172,-0.5930928,"('inferior', 'superior')",-0.6327172,-0.5930928,-0.0396244
79,0.6285856,0.72901857,"('wavering', 'unwavering')",0.6285856,0.7290186,-0.100433
4,-0.607199,-0.30933213,"('disliked', 'liked')",-0.607199,-0.3093321,-0.2978669
9,-0.57398885,-0.7020798,"('unaffectionate', 'caring')",-0.5739889,-0.7020798,0.1280909
19,-0.572662,-0.59535,"('inhospitable', 'hospitable')",-0.572662,-0.59535,0.022688
41,-0.5715442,-0.4852952,"('unforgiving', 'forgiving')",-0.5715442,-0.4852952,-0.086249
38,-0.5493709,-0.69644094,"('untruthful', 'truthful')",-0.5493709,-0.6964409,0.14707
18,-0.51073265,-0.6971902,"('disagreeable', 'welcoming')",-0.5107327,-0.6971902,0.1864575
