,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.9216588,-1.6044841,"('unsympathetic', 'sympathetic')",-0.12703374,0.15676916,-0.6588801,-0.68953097,-0.9025242,-0.7124153,-0.1901089
6,-1.7648293,-2.1373281,"('distant', 'open')",-1.9532478,-2.2323306,0.051734954,-0.13553369,-1.2221141,-1.5017308,0.2796167
5,-1.5793945,-1.8767375,"('distant', 'outgoing')",-1.73384,-2.0193286,-0.23777017,-0.48431402,-1.1836681,-1.4601267,0.2764586
53,-1.5541698,-1.4359792,"('uncreative', 'creative')",0.24720082,0.3782833,0.8994447,0.88921225,-0.1358414,-0.0561612,-0.0796802
66,-1.5537432,-1.366323,"('inactive', 'active')",-1.4041944,-1.2847122,0.44575208,0.8247551,-0.8373952,-0.6087601,-0.2286351
24,-1.492042,-1.2452608,"('dishonest', 'honest')",-1.508863,-1.3476413,0.56922936,0.78781545,-0.8105586,-0.6016956,-0.208863
0,-1.4570402,-1.0711378,"('unsociable', 'sociable')",-0.111554585,0.18516997,-0.5047121,-0.3891781,-0.6911023,-0.4250487,-0.2660536
86,-1.4206848,-1.668808,"('uninfluential', 'influential')",0.35060602,0.109218985,-0.011147663,-0.39599687,-0.3604088,-0.651862,0.2914532
43,-1.3582182,-0.9906174,"('irresponsible', 'responsible')",-0.51357484,-0.36114776,0.07327066,0.32432202,-0.5995075,-0.3424811,-0.2570264
73,1.2277743,1.3440105,"('helpless', 'self-reliant')",0.62769043,0.6074844,-2.3358972,-2.7982275,-0.1601442,-0.2822442,0.1221
19,-1.1689886,-1.1581756,"('inhospitable', 'hospitable')",-1.2433898,-1.3465922,0.25232193,0.43766478,-0.7200188,-0.6890344,-0.0309844
1,-1.081349,-1.3761183,"('unfriendly', 'friendly')",-0.33452964,-0.50181127,1.8303599,1.8433329,0.1381604,-0.0115322,0.1496926
63,-1.0687828,-1.1194094,"('unperceptive', 'insightful')",0.21299574,0.18541224,1.2052448,0.8614471,0.1164859,-0.0241834,0.1406693
57,-1.0648268,-1.0532111,"('unimaginative', 'imaginative')",0.5689478,0.768104,-1.991809,-2.292417,-0.8292294,-0.8591747,0.0299453
38,-1.037188,-1.0524678,"('untruthful', 'truthful')",-0.8866924,-0.8510362,-0.057312265,0.03451004,-0.6603976,-0.622998,-0.0373996
70,-1.011366,-0.74875736,"('lethargic', 'energetic')",-0.18173686,0.010010414,0.65513,0.6588044,-0.1793243,-0.0266475,-0.1526768
23,-1.0004379,-0.8057092,"('insincere', 'sincere')",-0.14701767,0.06755103,5.2947607,5.6672077,1.382435,1.6430165,-0.2605815
