,cintas_male,cintas_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.8980092,-1.4444379,"('unfriendly', 'friendly')",0.5078389,0.39292836,-0.6950852,-0.5257547,-0.1693305
86,-1.7087078,-1.5851027,"('uninfluential', 'influential')",-0.41507596,-0.6871376,-1.0618919,-1.1361201,0.0742282
9,-1.6677587,-1.2412484,"('unaffectionate', 'caring')",0.42920992,0.4739333,-0.6192744,-0.3836575,-0.2356169
6,-1.6194199,-1.0136063,"('distant', 'open')",-1.238612,-1.2333578,-1.429016,-1.123482,-0.305534
36,-1.5443745,-1.2797871,"('hostile', 'amicable')",-1.0154291,-1.1777579,-1.2799017,-1.2287724,-0.0511293
19,-1.5096531,-0.8347435,"('inhospitable', 'hospitable')",-1.0040787,-0.99002314,-1.256866,-0.9123833,-0.3444827
8,-1.480985,-1.2445351,"('unaffectionate', 'affectionate')",-0.33259133,-0.4434118,-0.9067882,-0.8439735,-0.0628147
79,-1.3329405,-0.60932857,"('wavering', 'unwavering')",-0.8372667,-0.8603411,-1.0851035,-0.7348348,-0.3502687
53,-1.2573264,-0.8505712,"('uncreative', 'creative')",0.17335837,0.1395422,-0.541984,-0.3555145,-0.1864695
5,-1.2016641,-0.6423329,"('distant', 'outgoing')",-0.87357104,-0.7831075,-1.0376176,-0.7127202,-0.3248974
44,1.1437131,0.8213422,"('prejudiced', 'unprejudiced')",-1.0054336,-1.0587889,0.0691398,-0.1187234,0.1878632
28,-1.1050713,-1.2410469,"('disloyal', 'loyal')",0.32960802,0.3484065,-0.3877316,-0.4463202,0.0585886
76,1.098813,1.3008558,"('anxious', 'daring')",0.34689516,0.293232,0.7228541,0.7970439,-0.0741898
57,-1.0471368,-0.91572005,"('unimaginative', 'imaginative')",-2.4656103,-2.8229258,-1.7563735,-1.8693229,0.1129494
10,-1.0401207,-0.92417043,"('unsympathetic', 'sympathetic')",-0.3671886,-0.31479394,-0.7036546,-0.6194822,-0.0841724
31,-0.9188628,-0.7180594,"('evil', 'good')",-1.1736541,-1.3627561,-1.0462584,-1.0404078,-0.0058506
42,0.8934493,1.0574569,"('unreliable', 'reliable')",-2.500461,-2.7625608,-0.8035059,-0.852552,0.0490461
0,-0.8718313,-1.0658236,"('unsociable', 'sociable')",-0.25458795,-0.33271974,-0.5632097,-0.6992717,0.136062
52,-0.8385007,-0.658298,"('irrational', 'rational')",-0.6011188,-0.72035044,-0.7198098,-0.6893243,-0.0304855
39,0.822312,0.47599906,"('exploitative', 'cooperative')",0.07872517,0.22033288,0.4505186,0.348166,0.1023526
23,-0.7978506,-0.6274406,"('insincere', 'sincere')",4.757741,5.0640664,1.9799452,2.218313,-0.2383678
38,-0.76150656,-0.17044817,"('untruthful', 'truthful')",-0.14518951,0.33232865,-0.453348,0.0809402,-0.5342882
30,0.7378189,0.57279986,"('intolerant', 'tolerant')",1.0339701,1.2595398,0.8858945,0.9161699,-0.0302754
66,-0.7006403,-0.8758986,"('inactive', 'active')",0.18721688,-0.28410816,-0.2567117,-0.5800034,0.3232917
14,0.6653832,0.32680967,"('antisocial', 'social')",0.19908555,0.14456075,0.4322344,0.2356852,0.1965492
62,0.6619663,1.0106348,"('incompetent', 'brilliant')",0.9274651,1.113086,0.7947157,1.0618603,-0.2671446
2,0.65378416,0.942468,"('unlikable', 'likable')",0.5885808,0.66774344,0.6211824,0.8051057,-0.1839233
60,0.6526978,0.5339627,"('inefficient', 'efficient')",0.42361438,0.8974827,0.5381561,0.7157227,-0.1775666
45,-0.6333662,-0.5917546,"('incompetent', 'competent')",0.25293306,-0.066315085,-0.1902166,-0.3290349,0.1388183
67,0.6171705,0.27564305,"('doubtful', 'determined')",-0.2660039,-0.2767273,0.1755833,-0.0005421,0.1761254
58,-0.6113562,-0.5551309,"('undiscriminating', 'discriminating')",0.17824262,-0.060312577,-0.2165568,-0.3077217,0.0911649
43,-0.60799783,-0.60816157,"('irresponsible', 'responsible')",0.22055128,0.34249586,-0.1937233,-0.1328329,-0.0608904
80,0.5957179,0.3783834,"('dominated', 'dominating')",-0.2993166,-0.35585228,0.1482006,0.0112656,0.136935
24,-0.56793696,-0.447733,"('dishonest', 'honest')",0.46290836,0.8306711,-0.0525143,0.191469,-0.2439833
78,-0.56612843,-0.13786083,"('nonresilient', 'resilient')",0.3187046,0.1392222,-0.1237119,0.0006807,-0.1243926
3,-0.5330801,-0.6244997,"('repellent', 'pleasant')",0.73233676,0.6850785,0.0996283,0.0302894,0.0693389
81,0.51283944,0.3027772,"('submissive', 'aggressive')",0.09977301,0.35263532,0.3063062,0.3277063,-0.0214001
16,-0.50936675,-0.45374382,"('unpopular', 'popular')",0.3221398,0.19761123,-0.0936135,-0.1280663,0.0344528
73,0.49206653,0.7280115,"('helpless', 'self-reliant')",-2.923229,-2.9297252,-1.2155812,-1.1008568,-0.1147244
61,-0.486868,-0.5906471,"('illogical', 'logical')",0.4767098,0.40481755,-0.0050791,-0.0929148,0.0878357
82,-0.4738329,-0.30301896,"('poor', 'rich')",5.3529816,5.423094,2.4395742,2.5600374,-0.1204632
