,hospira_male,hospira_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.8784788,-1.5272701,"('unsympathetic', 'sympathetic')",-0.43824816,0.113183215,-1.1583635,-0.7070434,-0.4513201
86,-1.5994798,-1.8003515,"('uninfluential', 'influential')",-0.4604705,-0.07789136,-1.0299752,-0.9391214,-0.0908538
53,-1.5112028,-1.6770265,"('uncreative', 'creative')",0.76872015,0.8097734,-0.3712413,-0.4336266,0.0623853
1,-1.4428693,-2.1542604,"('unfriendly', 'friendly')",1.9870983,1.7766633,0.2721145,-0.1887985,0.460913
84,1.2607898,0.49911085,"('inferior', 'superior')",1.1069152,1.0516279,1.1838524,0.7753693,0.4084831
9,-1.2472881,-1.7486837,"('unaffectionate', 'caring')",1.3993022,1.3376806,0.0760071,-0.2055016,0.2815087
61,-1.2250367,-1.2334701,"('illogical', 'logical')",0.29490855,0.40049258,-0.4650641,-0.4164888,-0.0485753
13,-1.2179077,-0.64344877,"('impolite', 'polite')",-0.5858938,-0.07219249,-0.9019008,-0.3578206,-0.5440802
24,-1.2134563,-1.0371954,"('dishonest', 'honest')",0.8965205,1.0333085,-0.1584679,-0.0019435,-0.1565244
57,-1.2074935,-1.475723,"('unimaginative', 'imaginative')",-3.0399225,-2.7777693,-2.123708,-2.1267462,0.0030382
6,-1.1829239,-1.490962,"('distant', 'open')",0.69078505,0.3516505,-0.2460694,-0.5696558,0.3235864
45,-1.157544,-0.9158049,"('incompetent', 'competent')",-0.26640078,0.25326025,-0.7119724,-0.3312723,-0.3807001
3,-1.1561568,-0.6128059,"('repellent', 'pleasant')",0.18167824,0.34256375,-0.4872393,-0.1351211,-0.3521182
23,-1.1526908,-1.2261659,"('insincere', 'sincere')",5.9824934,6.3608894,2.4149013,2.5673618,-0.1524605
43,-1.1432627,-0.88904744,"('irresponsible', 'responsible')",0.7294878,1.0581207,-0.2068875,0.0845366,-0.2914241
38,-1.1154884,-1.1049255,"('untruthful', 'truthful')",-0.2927653,0.022496179,-0.7041268,-0.5412146,-0.1629122
77,-1.0965368,-0.81386083,"('unmotivated', 'motivated')",-1.4554307,-1.0854826,-1.2759838,-0.9496717,-0.3263121
7,-1.087076,-0.7694157,"('insensitive', 'sensitive')",0.60702753,1.1749824,-0.2400242,0.2027834,-0.4428076
63,-1.0667669,-0.7137092,"('unperceptive', 'insightful')",0.6235842,1.3397263,-0.2215913,0.3130086,-0.5345999
