,coca_male,coca_female,tuple,cola_male,cola_female,co_male,co_female,average_male,average_female,male-female
73,2.4390037,2.3796418,"('helpless', 'self-reliant')",0.7138815,0.77115774,-3.2579794,-3.2642965,-0.0350314,-0.0378323,0.0028009
85,1.9179962,2.5589452,"('insignificant', 'prestigious')",1.1301016,1.2051374,-0.74366325,-0.5872062,0.7681448,1.0589588,-0.290814
45,-1.6147856,-1.4375917,"('incompetent', 'competent')",-0.5611313,-0.4260137,-0.34199116,-0.2015308,-0.8393027,-0.6883787,-0.150924
3,-1.5230777,-1.7553606,"('repellent', 'pleasant')",-1.2439538,-1.2039298,0.5442897,0.5953266,-0.740914,-0.7879879,0.0470739
81,-1.4468659,-1.8950946,"('submissive', 'aggressive')",-0.85276306,-0.8008375,-0.66992056,-0.7224017,-0.9898499,-1.1394446,0.1495947
65,-1.3259293,-1.5820942,"('insecure', 'secure')",-0.33304447,-0.14847116,0.24973461,0.38350448,-0.4697464,-0.4490203,-0.0207261
57,-1.2357402,-0.9758235,"('unimaginative', 'imaginative')",-1.4344966,-1.3965021,-3.862784,-3.7632203,-2.1776737,-2.0451819,-0.1324918
84,1.2158102,1.210905,"('inferior', 'superior')",1.0516943,1.1671479,0.5756899,0.55586946,0.9477315,0.9779741,-0.0302426
28,-1.206085,-1.3259599,"('disloyal', 'loyal')",-0.3780822,-0.5561067,0.93637085,1.0236603,-0.2159321,-0.2861354,0.0702033
14,-1.1877164,-1.0933025,"('antisocial', 'social')",-0.034258835,-0.0667405,-0.4678713,-0.3165372,-0.5632822,-0.4921934,-0.0710888
17,-1.0881898,-0.7469345,"('nasty', 'nice')",-0.7095372,-0.6411208,-0.7685201,-0.65245247,-0.8554157,-0.6801693,-0.1752464
33,1.0456662,0.78616565,"('wrong', 'right')",0.24599718,0.047477815,-0.4189076,-0.56561786,0.2909186,0.0893419,0.2015767
