,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-2.31894,-2.318942,"('unsympathetic', 'sympathetic')",-3.262908,-3.2216365,-1.7242726,-1.6195652,-0.17627808,-0.12273667,-1.8705997,-1.8207201,-0.0498796
55,-1.9964668,-1.8891273,"('incompetent', 'clever')",-1.818868,-1.791441,-0.7757669,-0.68306416,-0.120183036,-0.09479772,-1.1778212,-1.1146075,-0.0632137
21,-1.8821532,-1.8940973,"('immoral', 'moral')",-2.2522364,-2.2428179,-0.5448338,-0.58232504,-0.83747005,-0.77993906,-1.3791733,-1.3747948,-0.0043785
69,1.7885901,1.7559505,"('lazy', 'industrious')",2.40758,2.333264,1.1492639,1.095814,-0.9539101,-0.9658416,1.0978808,1.0547966,0.0430842
81,-1.6831857,-1.7331882,"('submissive', 'aggressive')",-3.110629,-3.0980043,-1.0941803,-1.0604745,-1.2781298,-1.2271814,-1.7915311,-1.7797121,-0.011819
73,1.6820109,1.7823081,"('helpless', 'self-reliant')",2.616394,2.6120467,1.1709459,1.1332253,-3.5638783,-3.438411,0.4763681,0.5222923,-0.0459242
85,1.660768,1.7639961,"('insignificant', 'prestigious')",1.9217962,1.9740125,2.0096369,2.1009946,0.082196735,0.14298126,1.4185995,1.495496,-0.0768965
46,-1.5345726,-1.5336868,"('uncompetitive', 'competitive')",-1.7387623,-1.6485173,-0.57490546,-0.5023757,-0.7549626,-0.5399875,-1.1508007,-1.0561419,-0.0946588
65,-1.5335507,-1.5247567,"('insecure', 'secure')",-1.5425222,-1.5734435,-0.67490685,-0.64568466,0.13689806,0.25520006,-0.9035205,-0.8721712,-0.0313493
30,-1.4683847,-1.4925528,"('intolerant', 'tolerant')",-2.0079875,-2.0066757,-0.06884743,-0.10594757,-0.03558249,-0.036970235,-0.8952006,-0.9105365,0.0153359
48,-1.4355875,-1.5088154,"('unintelligent', 'intelligent')",-1.3943511,-1.4500836,-0.0950641,-0.07602313,-0.22822438,-0.2198534,-0.7883068,-0.8136939,0.0253871
62,-1.4288168,-1.3775668,"('incompetent', 'brilliant')",-2.05313,-1.97849,-0.44740438,-0.39613867,-0.69845724,-0.61822855,-1.1569521,-1.0926059,-0.0643462
71,1.4136324,1.3824812,"('diffident', 'self-confident')",1.0671031,1.0313519,2.091042,1.9929518,0.47150952,0.5012529,1.2608217,1.2270095,0.0338122
70,-1.387953,-1.2496209,"('lethargic', 'energetic')",-1.832305,-1.6856734,-0.8921585,-0.84792936,0.14365278,0.25849605,-0.9921909,-0.8811819,-0.111009
