,teco_male,teco_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.6192081,-1.908542,"('uninfluential', 'influential')",0.67385125,0.50865763,-0.20185675,-0.42386353,-0.3824045,-0.607916,0.2255115
8,-1.6046177,-1.7800962,"('unaffectionate', 'affectionate')",-1.1449659,-1.2042845,0.07346164,0.0052014515,-0.8920407,-0.9930598,0.1010191
0,-1.5528066,-1.694482,"('unsociable', 'sociable')",0.24115449,0.12011447,-0.4896533,-0.5732617,-0.6004352,-0.7158764,0.1154412
45,-1.5039009,-1.43403,"('incompetent', 'competent')",-0.24367663,-0.28681168,-0.61826175,-0.4622865,-0.7886131,-0.7277095,-0.0609036
57,-1.4978989,-1.6207232,"('unimaginative', 'imaginative')",0.41450512,0.3409407,-2.380517,-2.4865751,-1.1546369,-1.2554526,0.1008157
73,1.422729,1.6557562,"('helpless', 'self-reliant')",1.006127,1.0854855,-2.905965,-2.9220855,-0.1590364,-0.0602813,-0.0987551
6,-1.2990521,-1.4487786,"('distant', 'open')",-0.842002,-0.7996201,0.021396104,0.06210205,-0.7065527,-0.7287656,0.0222129
10,-1.2621709,-1.557764,"('unsympathetic', 'sympathetic')",-0.1681819,-0.38613972,-0.20016146,-0.3957907,-0.5435048,-0.7798982,0.2363934
23,-1.2553873,-1.5178742,"('insincere', 'sincere')",0.32846087,0.15462545,5.2035623,5.299557,1.4255452,1.3121028,0.1134424
55,-1.2441365,-1.2064313,"('incompetent', 'clever')",-0.12505919,-0.14252517,-0.23277082,-0.16151536,-0.5339888,-0.5034906,-0.0304982
1,-1.2284478,-1.5456921,"('unfriendly', 'friendly')",0.34248617,0.111713365,1.5314897,1.3937905,0.215176,-0.0133961,0.2285721
39,1.203762,1.3442017,"('exploitative', 'cooperative')",0.0671438,0.009274673,-0.16029203,-0.024778059,0.3702046,0.4428995,-0.0726949
20,-1.0667899,-1.0531985,"('rough', 'thoughtful')",-0.12162369,0.00027570687,0.84974885,0.8010943,-0.1128882,-0.0839428,-0.0289454
51,-1.0500964,-1.3582271,"('uneducated', 'educated')",0.3487935,0.18681452,1.0217189,0.7150368,0.1068053,-0.1521253,0.2589306
25,-1.0350795,-1.0783584,"('egoistic', 'altruistic')",0.2938713,0.19043486,1.1085823,1.1722565,0.122458,0.0947776,0.0276804
9,-0.98518884,-1.3105342,"('unaffectionate', 'caring')",0.18266559,0.07752174,0.7728563,0.54554296,-0.009889,-0.2291565,0.2192675
82,-0.9776936,-1.1593906,"('poor', 'rich')",-0.016586302,0.00081298314,5.5186286,5.713576,1.5081162,1.5183328,-0.0102166
78,-0.9576713,-1.3938253,"('nonresilient', 'resilient')",0.29832435,0.11692037,0.4761379,0.13704956,-0.0610697,-0.3799518,0.3188821
53,-0.9575143,-1.0924182,"('uncreative', 'creative')",0.5930501,0.487454,0.74738836,0.78401726,0.1276414,0.0596844,0.067957
26,-0.92009443,-0.87546444,"('hardhearted', 'benevolent')",0.19186261,0.21475881,1.2512522,1.3388629,0.1743401,0.2260524,-0.0517123
28,-0.91420805,-1.2376773,"('disloyal', 'loyal')",-0.12792698,-0.23963837,0.7445516,0.7025579,-0.0991945,-0.2582526,0.1590581
19,-0.90339017,-0.90858877,"('inhospitable', 'hospitable')",-0.8939463,-0.9232141,0.078271426,0.034829862,-0.5730217,-0.598991,0.0259693
27,-0.8829491,-1.0196245,"('hardhearted', 'softhearted')",0.32887086,0.15595692,1.4542141,1.2103279,0.3000453,0.1155534,0.1844919
47,-0.88043976,-0.62364966,"('stupid', 'smart')",0.61057323,0.7290206,4.837088,5.064225,1.5224072,1.7231987,-0.2007915
63,-0.8485779,-1.1436505,"('unperceptive', 'insightful')",0.7583764,0.59205854,1.1230049,0.9282189,0.3442678,0.1255423,0.2187255
2,0.84003854,0.9505412,"('unlikable', 'likable')",1.2181493,1.3277833,0.6518472,0.90243363,0.903345,1.0602527,-0.1569077
44,0.82669336,1.2040855,"('prejudiced', 'unprejudiced')",-0.31248742,-0.14152493,-1.3782362,-1.1291376,-0.2880101,-0.0221924,-0.2658177
64,0.8039256,0.7148387,"('shy', 'confident')",1.1689725,1.2577698,-5.652242,-5.618033,-1.2264481,-1.2151415,-0.0113066
59,0.7979275,0.9713038,"('foolish', 'wise')",0.44395706,0.6076643,0.28168648,0.31225613,0.507857,0.630408,-0.122551
14,-0.7920302,-0.63951254,"('antisocial', 'social')",0.9903776,1.088519,-0.7808047,-0.5885416,-0.1941524,-0.0465117,-0.1476407
84,0.7507362,0.7741133,"('inferior', 'superior')",0.36505392,0.41425002,1.0428785,1.0656741,0.7195562,0.7513458,-0.0317896
54,-0.74830586,-0.7573491,"('incapable', 'capable')",-0.3528751,-0.44835413,0.8122353,0.94306254,-0.0963152,-0.0875469,-0.0087683
49,-0.737118,-0.46743226,"('unable', 'able')",-0.14784434,-0.041190147,-0.2771646,-0.05432797,-0.3873756,-0.1876501,-0.1997255
5,-0.6961341,-0.79572344,"('distant', 'outgoing')",-0.22287041,-0.122096345,-0.29312932,-0.12728435,-0.4040446,-0.348368,-0.0556766
37,-0.6472204,-0.75369084,"('fake', 'genuine')",0.1104559,0.013888314,0.27034652,0.22498116,-0.088806,-0.1716071,0.0828011
38,-0.634447,-0.5760298,"('untruthful', 'truthful')",0.01968265,0.0100458,0.11403261,0.3215282,-0.1669106,-0.0814853,-0.0854253
18,-0.6296957,-0.78741604,"('disagreeable', 'welcoming')",-0.878916,-0.9151065,-0.333191,-0.3508644,-0.6139342,-0.6844623,0.0705281
32,-0.61565614,-0.56031126,"('unkind', 'kind')",0.29246062,0.21835117,0.9078583,1.0192196,0.1948876,0.2257532,-0.0308656
58,-0.6082032,-0.79527754,"('undiscriminating', 'discriminating')",0.7416982,0.67997456,-0.09113499,-0.07516645,0.01412,-0.0634898,0.0776098
48,-0.5805262,-0.672084,"('unintelligent', 'intelligent')",1.2691889,1.1270605,0.63718987,0.47491863,0.4419509,0.3099651,0.1319858
65,-0.57037675,-0.3194227,"('insecure', 'secure')",0.6937702,0.7264787,-0.62687683,-0.41631404,-0.1678278,-0.003086,-0.1647418
33,0.5624321,0.43254805,"('wrong', 'right')",0.684541,0.6337051,-0.552523,-0.72601557,0.2314833,0.1134125,0.1180708
85,0.559839,0.591889,"('insignificant', 'prestigious')",-0.1657346,-0.16513768,0.58113956,0.5584608,0.3250813,0.328404,-0.0033227
69,0.5575123,0.7053251,"('lazy', 'industrious')",0.4382945,0.6134868,-0.33226356,-0.22799087,0.2211811,0.363607,-0.1424259
11,-0.55413705,-0.5801863,"('unhelpful', 'helpful')",0.5159684,0.5632096,1.876397,2.0174615,0.6127428,0.6668283,-0.0540855
88,-0.5455249,-0.611754,"('low', 'eminent')",-0.08055026,-0.08760081,0.5334373,0.5647834,-0.0308793,-0.0448571,0.0139778
42,0.5342222,0.5912544,"('unreliable', 'reliable')",0.30714494,0.26545662,-2.6771522,-2.6027234,-0.6119283,-0.5820041,-0.0299242
80,0.52135175,0.63482857,"('dominated', 'dominating')",0.31783074,0.39299428,-0.96637726,-1.0194933,-0.0423983,0.0027765,-0.0451748
46,-0.506281,-0.85884947,"('uncompetitive', 'competitive')",0.5156759,0.37355566,-0.30579564,-0.48570165,-0.0988003,-0.3236651,0.2248648
56,-0.49995342,-0.2972648,"('impractical', 'practical')",1.3983941,1.4531424,-0.16179292,0.09681088,0.2455493,0.4175628,-0.1720135
66,-0.49984273,-0.53648543,"('inactive', 'active')",-0.8020345,-0.593351,0.98980165,0.9439533,-0.1040252,-0.0619611,-0.0420641
17,-0.48739693,-0.3643727,"('nasty', 'nice')",-0.9995542,-0.95623547,-0.41923982,-0.29600006,-0.635397,-0.5388694,-0.0965276
52,0.48182988,0.41714674,"('irrational', 'rational')",-0.5884303,-0.7072198,-0.40356538,-0.40879312,-0.1700553,-0.2329554,0.0629001
41,-0.48024648,-0.71090794,"('unforgiving', 'forgiving')",-0.4061968,-0.61383754,0.0152661335,-0.10449632,-0.2903924,-0.4764139,0.1860215
83,-0.42048007,-0.38359582,"('powerless', 'powerful')",0.8679129,0.98212355,-1.2214371,-1.209235,-0.2580014,-0.2035691,-0.0544323
22,-0.40244484,-0.42181513,"('untrustworthy', 'trustworthy')",-0.7387321,-0.75868607,-1.1158322,-1.0125606,-0.7523363,-0.7310206,-0.0213157
60,-0.4003638,-0.43152285,"('inefficient', 'efficient')",2.428553,2.3875887,0.28247336,0.46513423,0.7702208,0.8070667,-0.0368459
62,-0.3959324,-0.16747771,"('incompetent', 'brilliant')",0.7552761,0.7803142,0.15146036,0.28856337,0.170268,0.3004666,-0.1301986
68,-0.38482696,-0.4558748,"('dependent', 'independent')",-0.025699217,-0.038148053,-0.2164875,-0.3736218,-0.2090046,-0.2892149,0.0802103
43,-0.37896436,-0.50428903,"('irresponsible', 'responsible')",1.1810063,1.1622325,0.49278945,0.63020396,0.4316105,0.4293825,0.002228
4,0.37402973,0.49451447,"('disliked', 'liked')",0.3372772,0.38188326,-5.475609,-5.383031,-1.5881006,-1.5022111,-0.0858895
29,0.36865643,0.43990198,"('unfair', 'fair')",-0.41205132,-0.35678637,-0.7588649,-0.62639725,-0.2674199,-0.1810939,-0.086326
76,0.36174288,0.39851257,"('anxious', 'daring')",0.28485832,0.3457959,0.50764537,0.73309183,0.3847489,0.4924668,-0.1077179
72,-0.33316463,-0.25434187,"('unambitious', 'ambitious')",0.4255195,0.42935762,-1.4352678,-1.3704575,-0.4476376,-0.3984806,-0.049157
79,-0.30798241,-0.38674203,"('wavering', 'unwavering')",-0.8705861,-0.8940909,-0.07889399,-0.047940955,-0.4191542,-0.4429246,0.0237704
34,-0.30013147,-0.32769626,"('mean', 'honorable')",0.5204681,0.4576952,5.6382556,5.792236,1.952864,1.9740782,-0.0212142
7,-0.29426482,-0.5285477,"('insensitive', 'sensitive')",0.9930761,0.92826253,0.7455903,0.6267641,0.4814672,0.3421597,0.1393075
40,0.2676395,0.03688213,"('stingy', 'generous')",0.14754803,-0.06288014,-1.4305704,-1.7854862,-0.3384609,-0.6038281,0.2653672
31,-0.2674842,-0.34577563,"('evil', 'good')",-1.4995737,-1.588559,-1.422865,-1.3987567,-1.0633076,-1.1110304,0.0477228
70,-0.26587468,-0.45643032,"('lethargic', 'energetic')",0.66944575,0.6295378,0.7876615,0.7692522,0.3970775,0.3141199,0.0829576
67,0.2447461,0.30613306,"('doubtful', 'determined')",-0.12899204,-0.00538823,-0.40670365,-0.17311361,-0.0969832,0.0425437,-0.1395269
36,-0.2397212,-0.23677064,"('hostile', 'amicable')",-1.188371,-1.2349719,-0.121774174,-0.07217893,-0.5166221,-0.5146405,-0.0019816
81,-0.23041558,-0.106420465,"('submissive', 'aggressive')",1.8245122,1.8518467,-0.41417977,-0.3283212,0.3933056,0.4723683,-0.0790627
16,-0.22066316,-0.076995894,"('unpopular', 'popular')",-0.41880485,-0.34704608,0.35237086,0.4556725,-0.0956991,0.0105435,-0.1062426
50,0.20801803,0.2435817,"('clumsy', 'skillful')",-0.27324784,-0.37094563,0.43541145,0.31487247,0.1233939,0.0625028,0.0608911
21,-0.18118224,-0.1368166,"('immoral', 'moral')",1.5274357,1.4493622,-0.5390496,-0.51423746,0.2690679,0.2661027,0.0029652
13,-0.17024845,-0.4115904,"('impolite', 'polite')",0.5305207,0.37656695,0.11697184,0.04007975,0.1590814,0.0016854,0.157396
3,-0.16312751,-0.2957491,"('repellent', 'pleasant')",0.21651563,0.06205401,0.046247207,-0.057069086,0.0332118,-0.0969214,0.1301332
74,-0.16276371,-0.29825875,"('undedicated', 'dedicated')",-0.06295505,-0.20522127,0.11133422,0.052145436,-0.0381282,-0.1504449,0.1123167
24,0.15521468,0.12733102,"('dishonest', 'honest')",0.742707,0.70695496,0.6165574,0.84579825,0.5048264,0.5600281,-0.0552017
30,0.13908596,0.19708928,"('intolerant', 'tolerant')",1.4225981,1.4482558,1.5344259,1.6418474,1.0320366,1.0957308,-0.0636942
