,comerica_male,comerica_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-1.9708458,-1.761314,"('uninfluential', 'influential')",-0.27108377,-0.27410316,-1.1209648,-1.0177085,-0.1032563
6,-1.9502534,-2.0854332,"('distant', 'open')",0.5372209,0.5094317,-0.7065163,-0.7880008,0.0814845
5,-1.6355207,-1.5783402,"('distant', 'outgoing')",0.0020688996,0.11025414,-0.8167259,-0.734043,-0.0826829
79,-1.5378163,-1.1656069,"('wavering', 'unwavering')",0.01253279,0.11875528,-0.7626417,-0.5234258,-0.2392159
31,-1.5087838,-1.5615354,"('evil', 'good')",-0.6741436,-0.6013311,-1.0914637,-1.0814333,-0.0100304
57,-1.3531767,-1.0621572,"('unimaginative', 'imaginative')",-2.7769861,-2.6517832,-2.0650814,-1.8569702,-0.2081112
84,1.2262014,0.78130186,"('inferior', 'superior')",1.0907954,0.99352944,1.1584984,0.8874156,0.2710828
16,-1.0515398,-1.3212088,"('unpopular', 'popular')",0.09597975,0.08931744,-0.47778,-0.6159457,0.1381657
75,-1.0006212,-0.9045204,"('meek', 'impulsive')",-0.6210868,-0.5059867,-0.810854,-0.7052535,-0.1056005
39,0.9664327,0.9806655,"('exploitative', 'cooperative')",0.24602166,0.3894357,0.6062272,0.6850506,-0.0788234
53,-0.93630064,-1.028171,"('uncreative', 'creative')",0.79979676,0.7608126,-0.0682519,-0.1336792,0.0654273
72,-0.90392953,-0.8560172,"('unambitious', 'ambitious')",-0.119252585,-0.40305674,-0.5115911,-0.629537,0.1179459
10,-0.8905637,-0.4515495,"('unsympathetic', 'sympathetic')",-0.5309742,-0.43482393,-0.7107689,-0.4431867,-0.2675822
80,0.8800758,1.0140958,"('dominated', 'dominating')",-1.3337206,-1.4054121,-0.2268224,-0.1956581,-0.0311643
14,0.8633129,1.0338612,"('antisocial', 'social')",-0.43900266,-0.43454915,0.2121551,0.299656,-0.0875009
48,0.81076205,0.51771986,"('unintelligent', 'intelligent')",0.68652654,0.5777559,0.7486443,0.5477379,0.2009064
19,-0.79629725,-0.51464504,"('inhospitable', 'hospitable')",-0.03615931,0.22386758,-0.4162283,-0.1453887,-0.2708396
1,-0.78589904,-0.899234,"('unfriendly', 'friendly')",1.9412466,1.9966676,0.5776738,0.5487168,0.028957
36,-0.78538966,-0.73533696,"('hostile', 'amicable')",0.27957967,0.45686394,-0.252905,-0.1392365,-0.1136685
8,-0.7846204,-0.71414953,"('unaffectionate', 'affectionate')",1.231949,1.2734393,0.2236643,0.2796449,-0.0559806
77,-0.77263975,-0.8453064,"('unmotivated', 'motivated')",-1.1131104,-1.3948349,-0.9428751,-1.1200707,0.1771956
4,-0.75658077,-0.45104063,"('disliked', 'liked')",-6.9656334,-6.9088006,-3.8611071,-3.6799207,-0.1811864
37,0.7545664,0.57170236,"('fake', 'genuine')",0.6394091,0.49773702,0.6969877,0.5347197,0.162268
9,-0.73944974,-0.823075,"('unaffectionate', 'caring')",1.6034179,1.450806,0.4319841,0.3138655,0.1181186
51,-0.71589243,-0.1708592,"('uneducated', 'educated')",0.11785952,0.30136067,-0.2990164,0.0652507,-0.3642671
11,0.6967205,0.7165644,"('unhelpful', 'helpful')",1.4908961,1.5204256,1.0938083,1.118495,-0.0246867
76,0.6617627,0.9409776,"('anxious', 'daring')",0.17936334,0.15657878,0.420563,0.5487782,-0.1282152
25,0.65067446,0.34066787,"('egoistic', 'altruistic')",1.840642,1.9200222,1.2456582,1.1303451,0.1153131
62,0.6505994,0.63709414,"('incompetent', 'brilliant')",0.6533562,0.16881096,0.6519778,0.4029526,0.2490252
13,-0.6427919,0.20565034,"('impolite', 'polite')",-0.9223767,-0.63085717,-0.7825843,-0.2126034,-0.5699809
44,0.63140947,0.42680624,"('prejudiced', 'unprejudiced')",-1.5238318,-1.4328618,-0.4462112,-0.5030278,0.0568166
30,0.6304257,1.0129219,"('intolerant', 'tolerant')",1.0779364,1.1530625,0.8541811,1.0829922,-0.2288111
60,0.62374043,1.0565213,"('inefficient', 'efficient')",0.035716046,-0.15796824,0.3297282,0.4492765,-0.1195483
45,-0.6128795,-0.5647885,"('incompetent', 'competent')",-0.042981274,-0.2900354,-0.3279304,-0.427412,0.0994816
82,-0.6126099,-0.8374299,"('poor', 'rich')",6.566631,6.1762757,2.9770105,2.6694229,0.3075876
85,-0.609341,-0.58685386,"('insignificant', 'prestigious')",0.3127021,0.7828622,-0.1483195,0.0980042,-0.2463237
59,0.572072,0.23232536,"('foolish', 'wise')",0.5423507,0.5388905,0.5572114,0.3856079,0.1716035
55,0.5710755,0.6340651,"('incompetent', 'clever')",0.46349883,0.19352998,0.5172871,0.4137975,0.1034896
74,-0.5685692,-0.30018476,"('undedicated', 'dedicated')",-0.0698055,-0.01743253,-0.3191873,-0.1588086,-0.1603787
69,0.542483,0.31644836,"('lazy', 'industrious')",-0.70358646,-0.47521406,-0.0805517,-0.0793829,-0.0011688
66,-0.5397191,-0.40994135,"('inactive', 'active')",0.28823993,0.5520894,-0.1257396,0.071074,-0.1968136
38,-0.5313056,-0.44467708,"('untruthful', 'truthful')",-0.19021219,-0.17343307,-0.3607589,-0.3090551,-0.0517038
50,0.49654928,0.29398227,"('clumsy', 'skillful')",0.31194463,0.09495911,0.404247,0.1944707,0.2097763
73,0.49081153,0.36048016,"('helpless', 'self-reliant')",-2.394436,-2.7764084,-0.9518121,-1.2079642,0.2561521
0,-0.48358044,-0.29798403,"('unsociable', 'sociable')",-0.5629916,-0.7129232,-0.523286,-0.5054536,-0.0178324
47,0.447529,0.51286083,"('stupid', 'smart')",5.3444357,5.4917917,2.8959823,3.0023263,-0.106344
61,-0.43803394,-0.14132339,"('illogical', 'logical')",0.38845038,0.33140498,-0.0247918,0.0950408,-0.1198326
54,-0.42745733,-0.5193547,"('incapable', 'capable')",1.4976385,1.384642,0.5350906,0.4326437,0.1024469
88,-0.4141414,0.009044899,"('low', 'eminent')",0.22796087,0.34223652,-0.0930903,0.1756407,-0.268731
49,0.4029125,-0.002509432,"('unable', 'able')",0.33648556,-0.10216662,0.369699,-0.052338,0.422037
42,0.40215072,0.6732622,"('unreliable', 'reliable')",-2.9475439,-3.1800036,-1.2726966,-1.2533708,-0.0193258
40,0.39949644,0.15297902,"('stingy', 'generous')",-1.0743341,-1.4665867,-0.3374189,-0.6568038,0.3193849
15,-0.33504573,0.05675766,"('boring', 'funny')",0.31929412,0.5454827,-0.0078758,0.3011202,-0.308996
65,0.32971776,0.38952228,"('insecure', 'secure')",-0.05093915,-0.4416946,0.1393893,-0.0260862,0.1654755
46,-0.3264839,-0.073997624,"('uncompetitive', 'competitive')",-0.9471823,-1.0036736,-0.6368331,-0.5388356,-0.0979975
78,0.32429585,-0.13764712,"('nonresilient', 'resilient')",0.24894184,0.04717839,0.2866188,-0.0452344,0.3318532
71,0.31818038,0.017856674,"('diffident', 'self-confident')",0.50420135,0.3979909,0.4111909,0.2079238,0.2032671
17,-0.3094143,-0.06320208,"('nasty', 'nice')",-0.6717984,-0.30515915,-0.4906064,-0.1841806,-0.3064258
83,-0.28301865,0.06660311,"('powerless', 'powerful')",-0.6438148,-0.83320594,-0.4634167,-0.3833014,-0.0801153
81,0.27989733,0.8607095,"('submissive', 'aggressive')",-0.97074735,-0.86359954,-0.345425,-0.001445,-0.34398
2,0.27287182,0.5286484,"('unlikable', 'likable')",0.3981319,0.6103864,0.3355018,0.5695174,-0.2340156
64,-0.2681821,0.016964309,"('shy', 'confident')",-6.899827,-6.8624706,-3.5840046,-3.4227531,-0.1612515
26,-0.25477552,0.14535138,"('hardhearted', 'benevolent')",1.3212188,1.9785099,0.5332217,1.0619307,-0.528709
43,-0.23924808,-0.023688108,"('irresponsible', 'responsible')",0.50447583,0.58522224,0.1326139,0.2807671,-0.1481532
21,0.23147222,0.59243953,"('immoral', 'moral')",-0.6171962,-0.67727995,-0.192862,-0.0424202,-0.1504418
52,-0.22682193,-0.25422448,"('irrational', 'rational')",0.34191316,0.36350408,0.0575456,0.0546398,0.0029058
24,-0.21227178,0.007936569,"('dishonest', 'honest')",0.97123384,0.8681363,0.379481,0.4380364,-0.0585554
28,-0.19213335,-0.5364169,"('disloyal', 'loyal')",1.2182417,0.876127,0.5130542,0.1698551,0.3431991
22,-0.17103687,-0.038802646,"('untrustworthy', 'trustworthy')",-0.62157685,-0.7753073,-0.3963069,-0.407055,0.0107481
87,0.15963176,0.21665643,"('unsuccessful', 'successful')",0.74658006,0.70568997,0.4531059,0.4611732,-0.0080673
34,0.15922493,0.10020246,"('mean', 'honorable')",6.056998,5.991536,3.1081114,3.0458694,0.062242
68,0.1577976,-0.3329193,"('dependent', 'independent')",-0.14701751,-0.49999213,0.00539,-0.4164557,0.4218457
70,0.1560409,0.2857129,"('lethargic', 'energetic')",0.6133659,0.36449674,0.3847034,0.3251048,0.0595986
3,0.14175686,-0.09467877,"('repellent', 'pleasant')",0.5496057,0.34509858,0.3456813,0.1252099,0.2204714
29,0.14104176,-0.24564838,"('unfair', 'fair')",-0.19530085,-0.15405826,-0.0271295,-0.1998533,0.1727238
32,0.11255579,0.6162867,"('unkind', 'kind')",0.4952253,0.83353364,0.3038906,0.7249101,-0.4210195
67,0.10215008,0.3303382,"('doubtful', 'determined')",-1.263773,-0.7722328,-0.5808114,-0.2209473,-0.3598641
41,-0.093299754,0.17608978,"('unforgiving', 'forgiving')",-0.06057187,0.056136653,-0.0769358,0.1161132,-0.193049
56,0.07797438,0.3898637,"('impractical', 'practical')",-0.3105147,-0.4429666,-0.1162702,-0.0265515,-0.0897187
18,0.075953096,0.0074020103,"('disagreeable', 'welcoming')",0.030314215,-0.23647076,0.0531337,-0.1145344,0.1676681
27,0.07520827,-0.18943813,"('hardhearted', 'softhearted')",1.7153836,1.6296635,0.895296,0.7201127,0.1751833
63,-0.064690195,-0.0058658193,"('unperceptive', 'insightful')",0.90245324,0.753083,0.4188815,0.3736086,0.0452729
12,0.061537813,0.12497929,"('unsupportive', 'supportive')",-1.615659,-1.7474906,-0.7770606,-0.8112557,0.0341951
58,-0.05924992,-0.21188757,"('undiscriminating', 'discriminating')",0.33983117,0.27756608,0.1402906,0.0328393,0.1074513
7,0.054884322,-0.24812962,"('insensitive', 'sensitive')",1.228487,0.7796324,0.6416857,0.2657514,0.3759343
35,-0.030267242,-0.5476627,"('corrupt', 'incorrupt')",-0.10677672,0.09950974,-0.068522,-0.2240765,0.1555545
33,0.023210835,0.10809455,"('wrong', 'right')",-0.3277214,-0.3657935,-0.1522553,-0.1288495,-0.0234058
20,0.016279384,-0.22961815,"('rough', 'thoughtful')",0.9934002,1.1446992,0.5048398,0.4575405,0.0472993
23,0.0012349263,-0.09406024,"('insincere', 'sincere')",6.342791,5.911965,3.172013,2.9089522,0.2630608
