,verisign_male,verisign_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.3035748,-2.2445617,"('uninfluential', 'influential')",-0.36259887,-0.08312658,-1.3330868,-1.1638441,-0.1692427
9,-2.083784,-1.4598243,"('unaffectionate', 'caring')",0.8162031,1.1591465,-0.6337905,-0.1503389,-0.4834516
0,-2.0333896,-1.9350152,"('unsociable', 'sociable')",-0.4358131,-0.25185493,-1.2346014,-1.093435,-0.1411664
10,-1.9747256,-2.2002783,"('unsympathetic', 'sympathetic')",-0.5046828,-0.4259404,-1.2397041,-1.3131094,0.0734053
12,-1.9655608,-1.7805966,"('unsupportive', 'supportive')",-1.9892005,-1.600685,-1.9773806,-1.6906408,-0.2867398
8,-1.827795,-1.0872135,"('unaffectionate', 'affectionate')",0.46826318,0.9051181,-0.6797659,-0.0910477,-0.5887182
43,-1.8027151,-1.7947558,"('irresponsible', 'responsible')",0.48393294,0.40723813,-0.659391,-0.6937588,0.0343678
72,-1.6804053,-1.4831597,"('unambitious', 'ambitious')",-0.63841915,-0.73288745,-1.1594121,-1.1080235,-0.0513886
1,-1.6657488,-0.96421295,"('unfriendly', 'friendly')",1.386528,1.9395759,-0.1396104,0.4876815,-0.6272919
13,-1.4940517,-1.2117182,"('impolite', 'polite')",-0.39938903,-0.42745066,-0.9467204,-0.8195844,-0.127136
69,1.482912,1.7308661,"('lazy', 'industrious')",-0.9005119,-0.40976143,0.2912,0.6605523,-0.3693523
41,-1.469443,-0.95205957,"('unforgiving', 'forgiving')",-0.17959274,0.034746926,-0.8245178,-0.4586563,-0.3658615
24,-1.4562073,-1.0141072,"('dishonest', 'honest')",0.3895904,0.53212386,-0.5333084,-0.2409917,-0.2923167
28,-1.4071432,-1.17172,"('disloyal', 'loyal')",0.75647235,0.8694284,-0.3253354,-0.1511458,-0.1741896
45,-1.3844672,-1.3333511,"('incompetent', 'competent')",-0.2837659,-0.30514067,-0.8341166,-0.8192459,-0.0148707
35,1.3656316,1.3779938,"('corrupt', 'incorrupt')",-0.37480837,-0.15994316,0.4954116,0.6090254,-0.1136138
63,-1.3536112,-1.3356392,"('unperceptive', 'insightful')",0.8170498,0.9519866,-0.2682807,-0.1918263,-0.0764544
51,-1.2721988,-1.3107108,"('uneducated', 'educated')",0.59643924,0.77682805,-0.3378798,-0.2669414,-0.0709384
73,1.2604169,1.277427,"('helpless', 'self-reliant')",-2.7391086,-2.4894645,-0.7393458,-0.6060188,-0.133327
18,-1.2532566,-0.9680749,"('disagreeable', 'welcoming')",-0.42246222,-0.11718759,-0.8378594,-0.5426313,-0.2952281
44,1.1616553,0.9864701,"('prejudiced', 'unprejudiced')",-1.321537,-1.5201874,-0.0799409,-0.2668586,0.1869177
57,-1.1560136,-0.96934354,"('unimaginative', 'imaginative')",-2.6263318,-1.9971024,-1.8911726,-1.483223,-0.4079496
55,-1.0723357,-1.4931041,"('incompetent', 'clever')",0.39537358,0.27660054,-0.3384811,-0.6082518,0.2697707
7,-1.0571756,-0.97192967,"('insensitive', 'sensitive')",0.630668,0.93982774,-0.2132538,-0.016051,-0.1972028
84,1.0018609,0.8462415,"('inferior', 'superior')",0.9826847,1.1971952,0.9922727,1.0217183,-0.0294456
62,-0.94956434,-1.0527831,"('incompetent', 'brilliant')",0.24025303,0.066087276,-0.3546557,-0.4933479,0.1386922
48,-0.9076974,-0.89816356,"('unintelligent', 'intelligent')",0.58246565,0.8201238,-0.1626159,-0.0390199,-0.123596
70,-0.89944416,-0.8493736,"('lethargic', 'energetic')",0.6040026,0.5547669,-0.1477208,-0.1473033,-0.0004175
38,-0.89479035,-0.8771904,"('untruthful', 'truthful')",-0.32569999,-0.40498275,-0.6102452,-0.6410866,0.0308414
