,international_male,international_female,tuple,paper_male,paper_female,co_male,co_female,average_male,average_female,male-female
69,1.5190747,1.4769579,"('lazy', 'industrious')",0.85234445,0.97302765,-0.9926238,-1.1255856,0.4595985,0.4414666,0.0181319
74,1.4354957,1.281733,"('undedicated', 'dedicated')",0.3102991,0.39674535,0.054322988,-0.07232359,0.6000392,0.5353849,0.0646543
82,-1.4224855,-1.2412721,"('poor', 'rich')",-0.25489745,-0.16800031,6.2953005,6.260515,1.5393058,1.617081,-0.0777752
56,1.2642928,1.395495,"('impractical', 'practical')",1.4291722,1.6719843,0.3192998,0.64790356,1.0042549,1.238461,-0.2342061
39,1.2374153,1.1538459,"('exploitative', 'cooperative')",0.30828708,0.22354712,0.4292681,0.49140862,0.6583235,0.6229339,0.0353896
66,1.1665964,1.1247845,"('inactive', 'active')",-0.7560876,-0.73467803,0.06951398,-0.19999272,0.1600076,0.0633712,0.0966364
51,0.9930962,1.0064793,"('uneducated', 'educated')",-0.9821283,-0.9975638,0.48049408,0.3101332,0.1638206,0.1063496,0.057471
87,0.98891056,0.89734775,"('unsuccessful', 'successful')",0.6813878,0.61042637,0.621031,0.5038074,0.7637765,0.6705271,0.0932494
3,-0.98726714,-0.8187239,"('repellent', 'pleasant')",-0.8305893,-0.77422935,0.69211125,0.597971,-0.3752484,-0.3316607,-0.0435877
26,0.9856851,0.94336677,"('hardhearted', 'benevolent')",2.049607,1.7825733,1.4308932,1.4230223,1.4887285,1.3829875,0.105741
18,0.90353966,0.920938,"('disagreeable', 'welcoming')",-0.9436511,-0.85422677,-1.0360149,-1.0749967,-0.3587088,-0.3360952,-0.0226136
53,-0.90168846,-0.810228,"('uncreative', 'creative')",0.9645981,0.8165604,0.2599363,0.33030432,0.1076153,0.1122122,-0.0045969
13,0.89197934,1.0983194,"('impolite', 'polite')",-0.056331486,0.02498794,0.22510101,0.31481957,0.3535829,0.4793756,-0.1257927
11,0.8608345,0.8071173,"('unhelpful', 'helpful')",-0.535271,-0.53972083,2.6969397,2.833955,1.007501,1.0337838,-0.0262828
33,0.8605795,0.94500625,"('wrong', 'right')",0.61121726,0.756383,-0.60519814,-0.5471105,0.2888662,0.3847596,-0.0958934
12,0.8593422,0.8469673,"('unsupportive', 'supportive')",0.21527722,0.31452125,-1.8645833,-1.8187771,-0.2633213,-0.2190962,-0.0442251
80,0.84844047,0.7513503,"('dominated', 'dominating')",-0.097361825,-0.21718046,0.06803498,-0.04820779,0.2730379,0.1619873,0.1110506
2,0.83544904,1.0392638,"('unlikable', 'likable')",0.1735087,0.32812154,0.910507,1.0807711,0.6398216,0.8160521,-0.1762305
9,0.835183,0.82353115,"('unaffectionate', 'caring')",0.897237,0.8276953,0.82905644,1.0589793,0.8538255,0.9034019,-0.0495764
49,-0.82114494,-0.5263466,"('unable', 'able')",-0.92217636,-0.76101375,-0.31570584,-0.17108946,-0.6863424,-0.4861499,-0.2001925
15,0.80830234,0.76259583,"('boring', 'funny')",0.26368758,0.30766368,0.22814125,0.31397814,0.433377,0.4614126,-0.0280356
63,0.7840273,0.6551187,"('unperceptive', 'insightful')",-0.37017208,-0.28349966,0.5522077,0.48462647,0.322021,0.2854152,0.0366058
77,-0.7608738,-0.63074225,"('unmotivated', 'motivated')",-0.49514985,-0.5857503,-0.9932366,-1.0281963,-0.7497534,-0.7482297,-0.0015237
