,cbre_male,cbre_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,2.1943772,1.8743107,"('exploitative', 'cooperative')",2.3044186,2.299019,0.41515562,0.327306,1.6379836,1.5002119,0.1377717
69,1.5460671,1.5643228,"('lazy', 'industrious')",-0.22444835,-0.25902513,-0.7255504,-0.7902582,0.1986895,0.1716798,0.0270097
82,-1.415621,-1.2366383,"('poor', 'rich')",-0.42052937,-0.26250952,5.9478106,6.3252206,1.3705533,1.6086909,-0.2381376
73,1.2116042,1.1618066,"('helpless', 'self-reliant')",-0.20639254,-0.30065048,-3.1102462,-3.2174227,-0.7016781,-0.7854222,0.0837441
86,-1.1969056,-1.391019,"('uninfluential', 'influential')",0.035487592,-0.0027348418,-0.17953579,-0.27779096,-0.4469846,-0.5571816,0.110197
87,1.1962874,1.4023185,"('unsuccessful', 'successful')",1.6793714,1.8701413,0.8935223,0.852785,1.2563937,1.3750815,-0.1186878
2,1.188451,1.375389,"('unlikable', 'likable')",1.4467794,1.567084,0.3645234,0.5186826,0.999918,1.1537185,-0.1538005
33,1.182233,1.0272508,"('wrong', 'right')",-0.70461094,-0.80218214,-0.39485952,-0.4337608,0.0275875,-0.0695641,0.0971516
46,-1.1246164,-1.116117,"('uncompetitive', 'competitive')",1.5267608,1.4363694,-0.62090266,-0.9339674,-0.0729194,-0.2045717,0.1316523
58,1.1046479,0.9780053,"('undiscriminating', 'discriminating')",1.3837483,1.2974682,0.48924705,0.38316032,0.9925478,0.8862113,0.1063365
71,1.0736622,0.9784513,"('diffident', 'self-confident')",0.17377749,0.11349516,0.51083875,0.5343367,0.5860928,0.5420944,0.0439984
10,-1.0523807,-1.1427206,"('unsympathetic', 'sympathetic')",0.2831313,0.26814944,-0.24848999,-0.29090515,-0.3392465,-0.3884921,0.0492456
52,1.0459716,0.8997039,"('irrational', 'rational')",-0.78507304,-0.9826257,0.04387336,0.06544778,0.1015907,-0.0058247,0.1074154
