,masco_male,masco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.2515614,-1.6948409,"('distant', 'open')",-0.86472565,-0.381117,-1.5581435,-1.0379789,-0.5201646
19,-2.1354008,-1.6461667,"('inhospitable', 'hospitable')",-0.8283206,-0.35858133,-1.4818606,-1.0023741,-0.4794865
5,-1.582936,-1.0736619,"('distant', 'outgoing')",-0.6256013,-0.13053654,-1.1042687,-0.6020992,-0.5021695
86,-1.4135594,-1.4558469,"('uninfluential', 'influential')",-0.31747097,-0.49015835,-0.8655152,-0.9730026,0.1074874
53,-1.3727288,-1.1220052,"('uncreative', 'creative')",0.27428266,0.48950404,-0.5492231,-0.3162506,-0.2329725
8,-1.3443048,-1.1971962,"('unaffectionate', 'affectionate')",0.65442127,0.89658266,-0.3449418,-0.1503068,-0.194635
1,-1.3147011,-0.9209984,"('unfriendly', 'friendly')",1.3526025,1.6577003,0.0189507,0.368351,-0.3494003
9,-1.3105706,-1.0890806,"('unaffectionate', 'caring')",1.1195952,1.3064417,-0.0954877,0.1086805,-0.2041682
79,-1.2827789,-1.1198425,"('wavering', 'unwavering')",-0.718774,-0.482315,-1.0007764,-0.8010788,-0.1996976
66,-1.2258674,-1.1496081,"('inactive', 'active')",-0.08931239,-0.08230096,-0.6575899,-0.6159545,-0.0416354
31,-1.1761138,-0.7086221,"('evil', 'good')",-0.8368027,-0.5327109,-1.0064583,-0.6206665,-0.3857918
57,-1.1010302,-1.1320279,"('unimaginative', 'imaginative')",-3.3607209,-3.4744143,-2.2308755,-2.3032212,0.0723457
43,-1.0631589,-1.1887352,"('irresponsible', 'responsible')",0.2367352,-0.040100727,-0.4132118,-0.614418,0.2012062
28,-1.0503737,-0.8762988,"('disloyal', 'loyal')",0.9962596,0.9277797,-0.027057,0.0257404,-0.0527974
30,1.0221198,0.94717515,"('intolerant', 'tolerant')",0.97575754,0.93040925,0.9989387,0.9387922,0.0601465
2,1.0101441,0.9104772,"('unlikable', 'likable')",0.8209831,0.6954031,0.9155636,0.8029401,0.1126235
14,1.0009705,0.5870861,"('antisocial', 'social')",0.42488948,-0.011292848,0.71293,0.2878966,0.4250334
81,0.9810259,0.37229767,"('submissive', 'aggressive')",-0.6053625,-0.940436,0.1878317,-0.2840692,0.4719009
52,-0.96295464,-0.6818732,"('irrational', 'rational')",-0.026935518,0.2544794,-0.4949451,-0.2136969,-0.2812482
76,0.8255548,0.22773354,"('anxious', 'daring')",-0.290078,-0.59552646,0.2677384,-0.1838965,0.4516349
11,-0.8023649,-1.0296065,"('unhelpful', 'helpful')",1.7238361,1.508699,0.4607356,0.2395463,0.2211893
60,0.7997969,0.68685746,"('inefficient', 'efficient')",0.3986489,0.021582182,0.5992229,0.3542198,0.2450031
35,-0.7719304,-0.35514182,"('corrupt', 'incorrupt')",-0.61422217,-0.1609989,-0.6930763,-0.2580703,-0.435006
38,-0.7655307,-0.64314437,"('untruthful', 'truthful')",-0.19541305,0.075956315,-0.4804719,-0.283594,-0.1968779
87,0.7530068,0.5171674,"('unsuccessful', 'successful')",1.0072917,0.89286625,0.8801492,0.7050169,0.1751323
58,-0.7431521,-0.627192,"('undiscriminating', 'discriminating')",0.28890103,0.37420183,-0.2271255,-0.1264951,-0.1006304
62,0.7380042,0.8605356,"('incompetent', 'brilliant')",0.597166,0.61287004,0.6675851,0.7367028,-0.0691177
37,-0.73664784,-0.5370087,"('fake', 'genuine')",0.08955239,0.24978253,-0.3235477,-0.1436131,-0.1799346
10,-0.7231084,-0.97228277,"('unsympathetic', 'sympathetic')",-0.7921632,-0.9215585,-0.7576358,-0.9469206,0.1892848
73,0.7046593,0.9535945,"('helpless', 'self-reliant')",-3.3246114,-2.9153137,-1.3099761,-0.9808596,-0.3291165
63,-0.6929119,-0.710292,"('unperceptive', 'insightful')",0.48026174,0.536723,-0.1063251,-0.0867845,-0.0195406
55,0.632472,0.23646632,"('incompetent', 'clever')",0.6435824,0.2791548,0.6380272,0.2578106,0.3802166
71,-0.6275564,-0.47826654,"('diffident', 'self-confident')",0.05558976,0.098415464,-0.2859833,-0.1899255,-0.0960578
7,-0.61815786,-0.7278689,"('insensitive', 'sensitive')",0.5018447,0.42260656,-0.0581566,-0.1526312,0.0944746
88,-0.6181046,-0.5667188,"('low', 'eminent')",-0.2899042,-0.33897564,-0.4540044,-0.4528472,-0.0011572
70,-0.6082334,-0.6568102,"('lethargic', 'energetic')",-0.004127715,-0.08347719,-0.3061806,-0.3701437,0.0639631
